"file","action","hunt_code","details"
"bible","updated","DB1076","{""hunt_code"":""DB1076"",""action"":""updated"",""before"":{""boundary"":""7"",""map"":""processed_data/boundaries/7.geojson"",""species"":""Deer"",""sex"":""Buck"",""name"":""Book Cliffs (North & South)"",""weapon"":""Muzzleloader"",""org"":"""",""permits"":""""},""after"":{""boundary"":""7"",""map"":""processed_data/boundaries/7.geojson"",""species"":""Deer"",""sex"":""Buck"",""name"":""Book Cliffs (North & South)"",""weapon"":""Muzzleloader"",""org"":""UHA;WCF"",""permits"":""2""}}"
"bible","inserted","BR7324","{}"
"bible","inserted","DB1118","{}"
"bible","inserted","DS1002","{}"
"bible","inserted","DS1003","{}"
"bible","inserted","DS1004","{}"
"bible","inserted","DS1006","{}"
"bible","inserted","DS1007","{}"
"bible","inserted","DS6605","{}"
"bible","inserted","EB3128","{}"
"bible","inserted","EB3209","{}"
"staged","updated","BR7324","{""hunt_code"":""BR7324"",""action"":""updated"",""before"":{""species"":""Black Bear"",""area"":""Chalk Creek/East Canyon/Morgan-South Rich"",""condition"":""Multiseason"",""org"":""DSC"",""name"":""Chalk Creek/East Canyon/Morgan-South Rich"",""sex"":""Either Sex"",""weapon"":""Multiseason""},""after"":{""species"":""Black Bear"",""area"":""Chalk Creek/East Canyon/Morgan-South Rich"",""condition"":""Multiseason"",""org"":""DSC"",""name"":""Chalk Creek/East Canyon/Morgan-South Rich"",""sex"":""Either Sex"",""weapon"":""Multiseason""}}"
"staged","updated","DB1076","{""hunt_code"":""DB1076"",""action"":""updated"",""before"":{""species"":""Deer"",""area"":""Book Cliffs (North & South)"",""condition"":""Muzzleloader"",""org"":"""",""name"":""Book Cliffs (North & South)"",""sex"":""Buck"",""weapon"":""Muzzleloader""},""after"":{""species"":""Deer"",""area"":""Book Cliffs (North & South)"",""condition"":""Muzzleloader"",""org"":""UHA;WCF"",""name"":""Book Cliffs (North & South)"",""sex"":""Buck"",""weapon"":""Muzzleloader""}}"
"staged","updated","DB1118","{""hunt_code"":""DB1118"",""action"":""updated"",""before"":{""species"":""Deer"",""area"":""Dolores Triangle"",""condition"":""Multiseason"",""org"":"""",""name"":""Dolores Triangle"",""sex"":""Buck"",""weapon"":""Multiseason""},""after"":{""species"":""Deer"",""area"":""Dolores Triangle"",""condition"":""Multiseason"",""org"":""SCI"",""name"":""Dolores Triangle"",""sex"":""Buck"",""weapon"":""Multiseason""}}"
"staged","updated","DS1002","{""hunt_code"":""DS1002"",""action"":""updated"",""before"":{""species"":""Desert Bighorn Sheep"",""area"":""Kaiparowits, East"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Kaiparowits, East"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""},""after"":{""species"":""Desert Bighorn Sheep"",""area"":""Kaiparowits, East"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Kaiparowits, East"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""}}"
"staged","updated","DS1003","{""hunt_code"":""DS1003"",""action"":""updated"",""before"":{""species"":""Desert Bighorn Sheep"",""area"":""Kaiparowits, Escalante East/West"",""condition"":""Any Legal Weapon"",""org"":"""",""name"":""Kaiparowits, Escalante East/West"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""},""after"":{""species"":""Desert Bighorn Sheep"",""area"":""Kaiparowits, Escalante East/West"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Kaiparowits, Escalante East/West"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""}}"
"staged","updated","DS1004","{""hunt_code"":""DS1004"",""action"":""updated"",""before"":{""species"":""Desert Bighorn Sheep"",""area"":""San Rafael, Dirty Devil"",""condition"":""Any Legal Weapon"",""org"":""SCI"",""name"":""San Rafael, Dirty Devil"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""},""after"":{""species"":""Desert Bighorn Sheep"",""area"":""San Rafael, Dirty Devil"",""condition"":""Any Legal Weapon"",""org"":""SCI"",""name"":""San Rafael, Dirty Devil"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""}}"
"staged","updated","DS1006","{""hunt_code"":""DS1006"",""action"":""updated"",""before"":{""species"":""Desert Bighorn Sheep"",""area"":""Kaiparowits, West"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Kaiparowits, West"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""},""after"":{""species"":""Desert Bighorn Sheep"",""area"":""Kaiparowits, West"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Kaiparowits, West"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""}}"
"staged","updated","DS1007","{""hunt_code"":""DS1007"",""action"":""updated"",""before"":{""species"":""Desert Bighorn Sheep"",""area"":""San Rafael, South"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""San Rafael, South"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""},""after"":{""species"":""Desert Bighorn Sheep"",""area"":""San Rafael, South"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""San Rafael, South"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""}}"
"staged","updated","DS6605","{""hunt_code"":""DS6605"",""action"":""updated"",""before"":{""species"":""Desert Bighorn Sheep"",""area"":""Pine Valley, Beaver Dam"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Pine Valley, Beaver Dam"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""},""after"":{""species"":""Desert Bighorn Sheep"",""area"":""Pine Valley, Beaver Dam"",""condition"":""Any Legal Weapon"",""org"":""UWSF"",""name"":""Pine Valley, Beaver Dam"",""sex"":""Male Only"",""weapon"":""Any Legal Weapon""}}"
"staged","updated","EB3128","{""hunt_code"":""EB3128"",""action"":""updated"",""before"":{""species"":""Elk"",""area"":""Box Elder, Grouse Creek"",""condition"":""Multiseason"",""org"":""SFW"",""name"":""Box Elder, Grouse Creek"",""sex"":""Bull"",""weapon"":""Multiseason""},""after"":{""species"":""Elk"",""area"":""Box Elder, Grouse Creek"",""condition"":""Multiseason"",""org"":""SFW"",""name"":""Box Elder, Grouse Creek"",""sex"":""Bull"",""weapon"":""Multiseason""}}"
