xlsx_row,source_no,hunt_code_cell,hunt_code_count,mapped_code_count,geojson_code_count,row_mapping_status,boundary_ids,member_boundary_ids,geometry_statuses,boundary_geojson_paths,dwr_boundary_links,species,sex,hunt_name,weapon,organization,permits
2,1,EA2041,1,1,1,single_code_mapped,5117,29;33;38;39;40;302;303,mapped,processed_data/boundaries/EA2041.geojson,, Elk,Antlerless,Cache,Any Legal Weapon,RMEF,12
3,2,EA2041,1,1,1,single_code_mapped,5117,29;33;38;39;40;302;303,mapped,processed_data/boundaries/EA2041.geojson,, Elk,Antlerless,Cache,Any Legal Weapon,WCF,1
4,3,EA2041,1,1,1,single_code_mapped,5117,29;33;38;39;40;302;303,mapped,processed_data/boundaries/EA2041.geojson,, Elk,Antlerless,Cache,Any Legal Weapon,NWTF,1
5,4,EA2041,1,1,1,single_code_mapped,5117,29;33;38;39;40;302;303,mapped,processed_data/boundaries/EA2041.geojson,, Elk,Antlerless,Cache,Any Legal Weapon,RMEF,1
6,5,EA1270,1,1,1,single_code_mapped,5114,175;698;699,mapped,processed_data/boundaries/EA1270.geojson,, Elk,Antlerless,Fishlake,Any Legal Weapon,SCI,1
7,6,EA1270,1,1,1,single_code_mapped,5114,175;698;699,mapped,processed_data/boundaries/EA1270.geojson,, Elk,Antlerless,Fishlake,Any Legal Weapon,SFW,1
8,7,EA1270,1,1,1,single_code_mapped,5114,175;698;699,mapped,processed_data/boundaries/EA1270.geojson,, Elk,Antlerless,Fishlake,Any Legal Weapon,SFW,1
9,8,EA1270,1,1,1,single_code_mapped,5114,175;698;699,mapped,processed_data/boundaries/EA1270.geojson,, Elk,Antlerless,Fishlake,Any Legal Weapon,SFW,1
10,9,EA1180,1,1,1,single_code_mapped,5111,108;617;684;879,mapped,processed_data/boundaries/EA1180.geojson,, Elk,Antlerless,La Sal,Any Legal Weapon,NWTF,1
11,10,EA1180,1,1,1,single_code_mapped,5111,108;617;684;879,mapped,processed_data/boundaries/EA1180.geojson,, Elk,Antlerless,La Sal,Any Legal Weapon,UAA,1
12,11,EA1180,1,1,1,single_code_mapped,5111,108;617;684;879,mapped,processed_data/boundaries/EA1180.geojson,, Elk,Antlerless,La Sal,Any Legal Weapon,WCF,1
13,12,EA1180,1,1,1,single_code_mapped,5111,108;617;684;879,mapped,processed_data/boundaries/EA1180.geojson,, Elk,Antlerless,La Sal,Any Legal Weapon,WCF,1
14,13,EA1271,1,1,1,single_code_mapped,5115,43;45;47;49;51;55;58;861;862;938,mapped,processed_data/boundaries/EA1271.geojson,, Elk,Antlerless,Manti,Any Legal Weapon,SFW,1
15,14,EA1271,1,1,1,single_code_mapped,5115,43;45;47;49;51;55;58;861;862;938,mapped,processed_data/boundaries/EA1271.geojson,, Elk,Antlerless,Manti,Any Legal Weapon,MDF,1
16,15,EA1271,1,1,1,single_code_mapped,5115,43;45;47;49;51;55;58;861;862;938,mapped,processed_data/boundaries/EA1271.geojson,, Elk,Antlerless,Manti,Any Legal Weapon,SFW,1
17,16,EA1271,1,1,1,single_code_mapped,5115,43;45;47;49;51;55;58;861;862;938,mapped,processed_data/boundaries/EA1271.geojson,, Elk,Antlerless,Manti,Any Legal Weapon,SFW,1
18,17,EA2045,1,1,1,single_code_mapped,5118,222;224;225;227;234;238;240;480;817;845;920;921,mapped,processed_data/boundaries/EA2045.geojson,, Elk,Antlerless,Wasatch Mtns,Any Legal Weapon,RMEF,1
19,18,EA2045,1,1,1,single_code_mapped,5118,222;224;225;227;234;238;240;480;817;845;920;921,mapped,processed_data/boundaries/EA2045.geojson,, Elk,Antlerless,Wasatch Mtns,Any Legal Weapon,MDF,1
