row,no,species,hunt_name,old_sex_type,new_sex_type,old_weapon,new_weapon,old_season,new_season,notes
66,65,Bison,"Book Cliffs, Bitter Creek",Hunter's Choice,Either Sex,Any Legal Weapon,Any Legal Weapon,,Hunter's Choice,moved_hunters_choice_from_sex_type_to_season
67,66,Bison,"Book Cliffs, Little Creek/South",Hunter's Choice,Either Sex,Any Legal Weapon,Any Legal Weapon,,Hunter's Choice,moved_hunters_choice_from_sex_type_to_season
68,67,Bison,Henry Mtns,Hunter's Choice,Either Sex,"Any Legal Weapon, early",Any Legal Weapon,,Hunter's Choice; Early,moved_hunters_choice_from_sex_type_to_season;moved_timing_from_weapon_to_season
69,68,Bison,Henry Mtns,Cow Only,Cow Only,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
70,69,Bison,Henry Mtns,Hunter's Choice,Either Sex,"Any Legal Weapon, late",Any Legal Weapon,,Hunter's Choice; Late,moved_hunters_choice_from_sex_type_to_season;moved_timing_from_weapon_to_season
71,70,Bison,Statewide,Hunter's Choice,Either Sex,Any Legal Weapon,Any Legal Weapon,,Hunter's Choice,moved_hunters_choice_from_sex_type_to_season
80,79,Deer,Henry Mtns,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
83,82,Deer,Paunsaugunt,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
84,83,Deer,Paunsaugunt,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
91,90,Deer,Book Cliffs,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
92,91,Deer,Book Cliffs,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
98,97,Deer,Diamond Mtn,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
99,98,Deer,Diamond Mtn,Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
103,102,Deer,"Fillmore, Oak Creek LE",Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
107,106,Deer,"San Juan, Elk Ridge",Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
112,111,Deer,"West Desert, Vernon",Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
113,112,Deer,"West Desert, Vernon",Buck,Buck,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
118,117,Deer,Statewide,Buck,Buck,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
119,118,Elk,"Beaver, East",Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
121,120,Elk,"Beaver, East",Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
123,122,Elk,"Book Cliffs, Bitter Creek/East",Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
125,124,Elk,"Book Cliffs, Bitter Creek/East",Bull,Bull,Hunter's Choice,,,Hunter's Choice,moved_hunters_choice_from_weapon_to_season
127,126,Elk,Boulder,Bull,Bull,"Any Legal Weapon, late",Any Legal Weapon,,Late,moved_timing_from_weapon_to_season
