"row","source_no","hunt_code","reason","species","area","condition","db_species","db_weapon","db_hunt_name"
"22","21","BR7318","code_content_mismatch","Bear","Beaver","Multiseason","Black Bear","Multiseason","Beaver"
"23","22","BR7300","code_content_mismatch","Bear","Book Cliffs, Bitter Creek/South","Multiseason","Black Bear","Multiseason","Book Cliffs Bitter Creek/South"
"24","23","BR7300","code_content_mismatch","Bear","Book Cliffs, Bitter Creek/South","Multiseason","Black Bear","Multiseason","Book Cliffs Bitter Creek/South"
"25","24","BR7300","code_content_mismatch","Bear","Book Cliffs, Bitter Creek/South","Multiseason","Black Bear","Multiseason","Book Cliffs Bitter Creek/South"
"26","25","BR7300","code_content_mismatch","Bear","Book Cliffs, Bitter Creek/South","Multiseason","Black Bear","Multiseason","Book Cliffs Bitter Creek/South"
"27","26","BR7301","code_content_mismatch","Bear","Book Cliffs, Little Creek Roadless","Multiseason","Black Bear","Multiseason","Book Cliffs Little Creek Roadless"
"28","27","BR7310","code_content_mismatch","Bear","Boulder/Kaiparowits","Multiseason","Black Bear","Multiseason","Boulder/Kaiparowits"
"29","28","BR7310","code_content_mismatch","Bear","Boulder/Kaiparowits","Multiseason","Black Bear","Multiseason","Boulder/Kaiparowits"
"30","29","BR7310","code_content_mismatch","Bear","Boulder/Kaiparowits","Multiseason","Black Bear","Multiseason","Boulder/Kaiparowits"
"31","30","BR7310","code_content_mismatch","Bear","Boulder/Kaiparowits","Multiseason","Black Bear","Multiseason","Boulder/Kaiparowits"
"33","32","BR7313","code_content_mismatch","Bear","Diamond Mtn/Vernal/Bonanza","Multiseason","Black Bear","Multiseason","Diamond Mtn/Vernal/Bonanza"
"34","33","BR7313","code_content_mismatch","Bear","Diamond Mtn/Vernal/Bonanza","Multiseason","Black Bear","Multiseason","Diamond Mtn/Vernal/Bonanza"
"35","34","BR7311","code_content_mismatch","Bear","Fishlake/Thousand Lakes","Multiseason","Black Bear","Multiseason","Fishlake/Thousand Lakes"
"36","35","BR7321","code_content_mismatch","Bear","Kamas/North Slope, Summit","Multiseason","Black Bear","Multiseason","Kamas/North Slope Summit"
"37","36","BR7307","code_content_mismatch","Bear","La Sal","Multiseason","Black Bear","Multiseason","La Sal"
"38","37","BR7307","code_content_mismatch","Bear","La Sal","Multiseason","Black Bear","Multiseason","La Sal"
"39","38","BR7307","code_content_mismatch","Bear","La Sal","Multiseason","Black Bear","Multiseason","La Sal"
"40","39","BR7307","code_content_mismatch","Bear","La Sal","Multiseason","Black Bear","Multiseason","La Sal"
"41","40","BR7303","code_content_mismatch","Bear","Manti-North","Multiseason","Black Bear","Multiseason","Manti North"
"42","41","BR7303","code_content_mismatch","Bear","Manti-North","Multiseason","Black Bear","Multiseason","Manti North"
"43","42","BR7303","code_content_mismatch","Bear","Manti-North","Multiseason","Black Bear","Multiseason","Manti North"
"44","43","BR7304","code_content_mismatch","Bear","Manti-South/San Rafael, North","Multiseason","Black Bear","Multiseason","Manti South/San Rafael North"
"45","44","BR7304","code_content_mismatch","Bear","Manti-South/San Rafael, North","Multiseason","Black Bear","Multiseason","Manti South/San Rafael North"
"46","45","BR7304","code_content_mismatch","Bear","Manti-South/San Rafael, North","Multiseason","Black Bear","Multiseason","Manti South/San Rafael North"
"47","46","BR7305","code_content_mismatch","Bear","Nebo","Multiseason","Black Bear","Multiseason","Nebo"
"48","47","BR7317","code_content_mismatch","Bear","Nine Mile","Multiseason","Black Bear","Multiseason","Nine Mile"
"49","48","BR7317","code_content_mismatch","Bear","Nine Mile","Multiseason","Black Bear","Multiseason","Nine Mile"
"50","49","BR7317","code_content_mismatch","Bear","Nine Mile","Multiseason","Black Bear","Multiseason","Nine Mile"
"51","50","BR7317","code_content_mismatch","Bear","Nine Mile","Multiseason","Black Bear","Multiseason","Nine Mile"
"52","51","BR7309","code_content_mismatch","Bear","Panguitch Lake/Zion","Multiseason","Black Bear","Multiseason","Panguitch Lake/Zion"
"53","52","BR7323","code_content_mismatch","Bear","Paunsaugunt","Multiseason","Black Bear","Multiseason","Paunsaugunt"
"54","53","BR7312","code_content_mismatch","Bear","San Juan","Multiseason","Black Bear","Multiseason","San Juan"
"55","54","BR7312","code_content_mismatch","Bear","San Juan","Multiseason","Black Bear","Multiseason","San Juan"
"56","55","BR7312","code_content_mismatch","Bear","San Juan","Multiseason","Black Bear","Multiseason","San Juan"
"57","56","BR7312","code_content_mismatch","Bear","San Juan","Multiseason","Black Bear","Multiseason","San Juan"
"58","57","BR7315","code_content_mismatch","Bear","Wasatch Mtns, Avintaquin/Currant Creek","Multiseason","Black Bear","Multiseason","Wasatch Mtns Avintaquin/Currant Creek"
"59","58","BR7315","code_content_mismatch","Bear","Wasatch Mtns, Avintaquin/Currant Creek","Multiseason","Black Bear","Multiseason","Wasatch Mtns Avintaquin/Currant Creek"
"60","59","BR7316","code_content_mismatch","Bear","Wasatch Mtns, West-Central","Multiseason","Black Bear","Multiseason","Wasatch Mtns West-Central"
"61","60","BR7316","code_content_mismatch","Bear","Wasatch Mtns, West-Central","Multiseason","Black Bear","Multiseason","Wasatch Mtns West-Central"
"62","61","BR7316","code_content_mismatch","Bear","Wasatch Mtns, West-Central","Multiseason","Black Bear","Multiseason","Wasatch Mtns West-Central"
"63","62","BR7316","code_content_mismatch","Bear","Wasatch Mtns, West-Central","Multiseason","Black Bear","Multiseason","Wasatch Mtns West-Central"
"64","63","BR7314","code_content_mismatch","Bear","Yellowstone","Multiseason","Black Bear","Multiseason","Yellowstone"
