source_file,page_number,hunt_code,hunt_name,year,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,success_ratio
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,22,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,22,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,21,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,21,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,20,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,20,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,19,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,19,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,18,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,18,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,17,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,17,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,16,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,16,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,15,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,15,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,14,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,14,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,13,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Nonresident,13,0,0,0,0,N/A
25_drawing_odds.pdf,5,BR1008,Book Cliffs - Pursuit,2025,Resident,12,0,0,0,0,N/A
