hunt_code,hunt_name,hunt_category_name,species_subtype_name,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,source_file
DB0008,Deer Extended Archery Only,General-Season,General Buck Deer,Resident,,380,0,375,375,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Deer Extended Archery Only,General-Season,General Buck Deer,Resident,,20,0,20,20,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Deer Extended Archery Only,General-Season,General Buck Deer,Nonresident,,31,0,30,30,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Box Elder,General-Season,General Buck Deer,Nonresident,,26,0,26,26,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Box Elder,General-Season,General Buck Deer,Resident,,321,0,317,317,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Box Elder,General-Season,General Buck Deer,Resident,,7,0,7,7,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Cache,General-Season,General Buck Deer,Nonresident,,24,0,24,24,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Cache,General-Season,General Buck Deer,Nonresident,,1,0,1,1,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Cache,General-Season,General Buck Deer,Resident,,32,0,32,32,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Cache,General-Season,General Buck Deer,Resident,,818,0,740,740,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Manti/San Rafael,General-Season,General Buck Deer,Resident,,1079,0,181,181,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Manti/San Rafael,General-Season,General Buck Deer,Resident,,61,0,61,61,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Manti/San Rafael,General-Season,General Buck Deer,Nonresident,,93,0,92,92,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1504,Nebo,General-Season,General Buck Deer,Resident,,505,0,495,495,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1504,Nebo,General-Season,General Buck Deer,Resident,,11,0,11,11,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
