hunt_code,residency,points,field,fresh_download_value,canonical_value,fresh_hunt_name,canonical_hunt_name,source_file
DB0008,Resident,2,eligible_applicants,17,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,2,regular_permits,16,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,2,total_permits,16,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Nonresident,1,eligible_applicants,1,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Nonresident,1,regular_permits,1,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Nonresident,1,total_permits,1,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,1,eligible_applicants,55,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,1,regular_permits,55,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,1,total_permits,55,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,3,eligible_applicants,5,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,3,regular_permits,5,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,3,total_permits,5,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,4,eligible_applicants,4,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,4,regular_permits,4,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Resident,4,total_permits,4,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Nonresident,4,eligible_applicants,1,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Nonresident,4,regular_permits,1,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB0008,Nonresident,4,total_permits,1,0,Deer Extended Archery Only,Deer Extended Archery Only,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,4,eligible_applicants,,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,1,eligible_applicants,14,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,1,regular_permits,14,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,1,total_permits,14,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,3,eligible_applicants,1,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,3,regular_permits,1,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Resident,3,total_permits,1,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Nonresident,2,eligible_applicants,2,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Nonresident,2,regular_permits,2,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1501,Nonresident,2,total_permits,2,0,Box Elder,Box Elder,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,1,eligible_applicants,143,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,1,regular_permits,143,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,1,total_permits,143,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,2,eligible_applicants,24,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,2,regular_permits,24,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,2,total_permits,24,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,4,eligible_applicants,4,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,4,regular_permits,4,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1502,Resident,4,total_permits,4,0,Cache,Cache,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,3,eligible_applicants,27,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,3,regular_permits,27,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,3,total_permits,27,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,1,eligible_applicants,10,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,1,regular_permits,10,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,1,total_permits,10,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,10,eligible_applicants,1,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,10,regular_permits,1,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,10,total_permits,1,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,5,eligible_applicants,,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,4,eligible_applicants,9,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,4,regular_permits,9,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Resident,4,total_permits,9,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,1,eligible_applicants,22,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,1,regular_permits,22,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,1,total_permits,22,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,3,eligible_applicants,5,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,3,regular_permits,5,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,3,total_permits,5,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,2,eligible_applicants,4,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,2,regular_permits,4,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
DB1503,Nonresident,2,total_permits,4,0,Manti/San Rafael,Manti/san Rafael,utahdraws_big_game_2026_general_season_buck_deer_mht5.json
