hunt_code,sportsman_hunt_name,sportsman_species,sportsman_sex_type,sportsman_weapon,sportsman_eligible_applicants,sportsman_total_permits,conservation_rows,conservation_hunt_names,conservation_species,conservation_sex_types,conservation_weapons,conservation_organizations,conservation_boundary_ids,classification
BI1000,Sportsman Bison,Bison,Either Sex,Any Legal Weapon,7893,1,2,Statewide,,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
BR1000,Sportsman Black Bear,Black Bear,Either Sex,Any Legal Weapon,3490,1,5,"Book Cliffs, Bitter Creek,|Book Cliffs, Little Creek/South, Hunter's Choice|Henry Mtns,|Henry Mtns, Cow Only|Statewide",,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
DB0007,Sportsman Buck Deer,Deer,Buck,Any Legal Weapon,15826,1,4,"Henry Mtns|Kaiparowits, Escalante|Statewide",,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
DS1000,Sportsman Desert Bighorn Sheep,Desert Bighorn Sheep,Ram,Any Legal Weapon,7132,1,1,Statewide,,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
EB1000,Sportsman,Elk,Bull,Any Legal Weapon,16001,1,1,Statewide,,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
GO1000,Sportsman Mountain Goat,Mountain Goat,Either Sex,Any Legal Weapon,5675,1,28,"Beaver|Book Cliffs, Bitter Creek|Book Cliffs, South|Box Elder, Promontory|Box Elder, Puddle Valley|Box Elder, Snowville|Box Elder, West|Fillmore, Oak Creek South|La Sal, Potash/South Cisco|Mt Dutton/Paunsaugunt|Nebo|Nine Mile, Anthro-Myton Bench|Statewide|Wasatch Mtns, Timpanogos",,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
MB1000,Sportsman Bull Moose,Moose,Bull,Any Legal Weapon,9193,1,2,"North Slope, Summit|Statewide",,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
PB1000,Sportsman Buck Pronghorn,Pronghorn,Buck,Any Legal Weapon,6415,1,6,"Book Cliffs, South|Statewide|West Desert, Snake Valley",,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
RS0001,Sportsman Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,7220,1,32,"Box Elder, Newfoundland Mtns|Central Area|Fillmore, Oak Creek (late)|Nine Mile, Gray Canyon|Northeastern Area|Northern Area|Southeastern Area|Statewide",,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
TK0001,Sportsman Bearded Turkey,Turkey,Bearded,Any Legal Weapon,1922,1,6,Southern Area|Statewide,,,,,,same_hunt_code_reused_by_sportsman_draw_and_conservation_allocation
