actual_draw_year,model_target_year,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,hunt_code,hunt_name,species,sex_type,draw_design,weapon,hunt_type,season,residency,points,eligible_applicants,bonus_permits,regular_permits,total_permits,successful_applicants,unsuccessful_applicants,success_ratio,p_draw,p_draw_percent,record_type,boundary_id,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,permits_2025_res,permits_2025_nr,permits_2025_total,audit_action
2025,2026,BLACK_BEAR_CONSERVATION_ORGANIZATION_ALLOCATION,official_2026_hunt_specific_conservation_organization_allocation,official_2026_hunt_specific_conservation_organization_allocation,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 Black Bear Draw odds.pdf,83,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,,,,,,,14,,,,,,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,black_bear_2025_draw_odds_model_target_2026_permit_totals,SOURCE_RECONCILED_FROM_HUNT_SPECIFIC_TEXT,manual_source_reconciliation,OK,"Preserved supplemental normalized artifact for year-specific comparison. Conservation permit is auctioned/organization allocation; not a scorable draw result. Conservation permit is purchased from assigned conservation organizations; not a draw-odds permit. Assigned organizations: Mule Deer Foundation; Sportsmen for Fish and Wildlife; Utah Houndsmen Association. Source text: Hunt# BR7307 - Multiseason - Conservation Either Sex Black Bear (2026), La Sal.",13,1,14,kept_single_allocation_row_after_source_reconciliation
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,0,5,0,0,0,0,5,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,1,8,0,0,0,0,8,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,2,2,0,0,0,0,2,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,3,3,0,0,0,0,3,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,4,1,0,0,0,0,1,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,5,2,0,0,0,0,2,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,6,2,0,0,0,0,2,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,7,2,0,0,0,0,2,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,8,0,0,0,0,0,0,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,9,1,0,0,0,0,1,,0.0,0,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
2025,2026,BLACK_BEAR,official_2025_remaining_pdf_family_metadata_repair,official_2025_remaining_pdf_family_metadata_repair,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf,85,,BR7307,La Sal,Black Bear,Either Sex,Organizations,Multiseason,Conservation,"Mar. 28 - May 25 & May 25 - June 28 & Aug. 1 - Aug. 31 & Nov 2 - Nov. 8, 2026",Nonresident,10,2,0,1,1,1,1,1 in 2.0,0.5,50,conservation_auction_allocation,684,NOT_SCORABLE_AUCTIONED_CONSERVATION,official_2025_remaining_pdf_family_metadata_repair,,,OK,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,13,1,14,removed_point_ladder_row_not_a_draw_permit
