row_number,field,before,after,hunt_code,hunt_name,source_file
1,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
1,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
1,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
1,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
1,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
2,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
2,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
2,algorithm_status,,NOT_SCORABLE_AUCTIONED_CONSERVATION,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
2,qa_status,,OK,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
2,notes,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR,2025 family metadata repaired from canonical source-file lineage; no numeric fields changed. source_classification=BLACK_BEAR Conservation permit is auctioned/organization allocation; not a scorable draw result.,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
3,draw_design,Allocation / Reference Only,Organizations,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
3,record_type,point_level_draw_result,conservation_auction_allocation,BR7307,La Sal,2025_PERMITS=2026_MODEL__BEAR DRAW RESULTS.pdf
