hunt_code,source_pdf_2023_bid,pdf_mentions,pdf_weapon_suffixes,source_join_selected,join_selected_source_nos,source_join_possible,join_possible_source_nos,source_full_backcheck,backcheck_species,backcheck_hunt_family,backcheck_hunt_name,backcheck_quota_2026_conservation_total_selected,backcheck_conservation_2025_total_selected,backcheck_conservation_2026_total_selected,backcheck_conservation_2027_total_selected,backcheck_match_confidence,backcheck_assignment_scope,backcheck_source_rows
BI1000,True,1,ALW,True,70,True,70,True,Bison,Bison,Bison - Statewide Permit,1,1.0,1.0,1.0,HIGH/MEDIUM_SELECTED,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,1.0
BI6500,False,0,,False,,False,,True,Bison,Bison,Antelope Island,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6503,True,1,ALW,False,,True,67|68|69,True,Bison,Bison,Henry Mtns,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6504,True,1,ALW,False,,True,67|68|69,True,Bison,Bison,Henry Mtns,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6505,True,1,ALW,False,,True,67|68|69,True,Bison,Bison,Henry Mtns,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6506,True,1,ALW,False,,True,67|68|69,True,Bison,Bison,Henry Mtns,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6509,False,0,,False,,True,67|68|69,True,Bison,Bison,Henry Mtns,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6516,True,1,ALW,False,,True,67|68|69,True,Bison,Bison,Henry Mtns,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6517,False,0,,False,,False,,True,Bison,Bison,Bison (hunter’s Choice) - Book Cliffs (hunter's Choice) - Any Legal Weapon,0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
BI6519,False,0,,False,,False,,True,Bison,Bison,"Bison (hunter’s Choice) - Book Cliffs, Little Creek Roadless (hunter's Choice) - Any Legal Weapon",0,0.0,0.0,0.0,HIGH,hunt_code_selected_only; aggregate annual conservation total is 336 but not all rows can be assigned to a single code,
