reported_hunt_year,model_target_year,hunt_code,species,hunt_name,hunt_type,permits,permit_overlay_class,permit_overlay_use,public_draw_odds_use,p_draw_math_use,source_file,source_container,canonical_years_found
2021,2022,BR7307,Black Bear,La Sal,,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,2019|2020|2021|2022|2023|2024|2025
2021,2022,DB1056,Deer,Book Cliffs (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,DB1075,Deer,Book Cliffs (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,DB1076,Deer,Book Cliffs (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,DS6613,Desert Bighorn Sheep,Zion (conservation),,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,DS6616,Desert Bighorn Sheep,"Kaiparowits, East/Escalante/West (conservation)",,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,DS6617,Desert Bighorn Sheep,"San Rafael, North/South (conservation)",,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,RS6715,Rocky Mountain Bighorn Sheep,"Book Cliffs, South (conservation)",,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,RS6716,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn (conservation)",,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,RS6717,Rocky Mountain Bighorn Sheep,"Nine Mile, Gray Canyon (conservation)",,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2021,2022,RS6723,Rocky Mountain Bighorn Sheep,"Box Elder, Newfoundland Mtn (conservation)",,,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,harvest_results_2021_for_2022_hunt_code_keyed.csv,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2021_for_2022_database.zip,
2022,2023,BR7307,Black Bear,La Sal,Black Bear Multi-season Limited Entry,14,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,22_black_bear_report.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,2019|2020|2021|2022|2023|2024|2025
2022,2023,BR7324,Black Bear,Chalk Creek/East Canyon/Morgan-South Rich,Black Bear Multi-season Limited Entry,1,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,22_black_bear_report.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,
2022,2023,DB0009,Limited Entry Buck Deer,Antelope Island,Conservation,1,EXPO,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,968EFF87__2022_le_oial_all.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,
2022,2023,DB1056,Limited Entry Buck Deer,Book Cliffs,Conservation,3,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,968EFF87__2022_le_oial_all.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,
2022,2023,DB1075,Limited Entry Buck Deer,Book Cliffs,Conservation,2,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,968EFF87__2022_le_oial_all.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,
2022,2023,DB1076,Limited Entry Buck Deer,Book Cliffs,Conservation,2,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,968EFF87__2022_le_oial_all.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,
2022,2023,DS1001,Once-in-a-Lifetime Desert Bighorn Sheep,Henry Mtns,Conservation,1,CONSERVATION,TOTAL_PERMIT_RECONCILIATION_ONLY,NO,NO,968EFF87__2022_le_oial_all.pdf,data_truth\harvest_results_truth\source_package_bundles\HUNTS_harvest_truth_and_overlay_packages_for_codex\harvest_results_2022_for_2023_database.zip,
