workbook,row,old_hunt_code,old_boundary_id,species,sex_type,hunt_name,candidate_count,best_code,best_boundary_id,best_hunt_name,best_species,best_sex_type,best_weapon,score,apply_safe,reason
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,46,BR1000,5001,Bison,Either Sex,"Book Cliffs, Bitter Creek, ",7,BI6535,667,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,47,BR1000,5001,Bison,Either Sex,"Book Cliffs, Little Creek/South, Hunter's Choice",4,BI6537,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,0.95,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,48,BR1000,5001,Bison,Cow Only,"Henry Mtns, Cow Only ",0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,49,BR1000,5001,Bison,Either Sex,"Henry Mtns,  ",4,BI6516,94,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,53,EB3025,685,Deer,Bull,"Beaver, East",0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,73,DS6604,688,Deer,Ram,"La Sal, Potash/South Cisco",0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,79,DS6604,688,Deer,Buck,Paunsaugunt,11,LD1006,163,Paunsaugunt,Deer,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,80,DS6604,688,Deer,Buck,Paunsaugunt,11,LD1006,163,Paunsaugunt,Deer,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,81,DS6604,688,Deer,Buck,Paunsaugunt,11,LD1006,163,Paunsaugunt,Deer,Buck,Muzzleloader,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,88,DS1000,5110,Deer,Ram,Statewide,0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,99,DB1008,163,Desert Bighorn Sheep,Buck,Book Cliffs,0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,100,DB1000,94,Desert Bighorn Sheep,Buck,Book Cliffs (North & South),0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,104,DB1008,163,Desert Bighorn Sheep,Buck,Paunsaugunt,0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,125,MB6000,29,Elk,Bull,"Cache, Meadowville",13,EL3169,33,Cache Meadowville,Elk,Bull,Any Legal Weapon,1.0,False,ambiguous_or_low_confidence
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,191,MB6006,138,Elk,Bull,"North Slope, Summit",0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,192,MB6006,138,Elk,Bull,"North Slope, Summit",0,,,,,,,0,False,no_candidate
data_truth/conservation_permit_truth/2025-27 Conservation Permits.xlsx,221,GO6808,148,Moose,Either Sex,High Uintas West,0,,,,,,,0,False,no_candidate
