csv_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,old_hunt_class,new_hunt_class
4,DB1002,1,Deer,Buck,Any Legal Weapon,Antelope Island Premium,Antelope Island,Premium Limited Entry,Premium Limited Entry
6,RS1000,1,Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,Antelope Island Conservation,Antelope Island,Once-in-a-lifetime,Once-in-a-lifetime
155,DB1012,85,Deer,Buck,Archery,"Fillmore, Oak Creek LE","Fillmore, Oak Creek",Limited Entry,Limited Entry
156,DB1019,85,Deer,Buck,Any Legal Weapon,"Fillmore, Oak Creek LE","Fillmore, Oak Creek",Limited Entry,Limited Entry
157,DB1029,85,Deer,Buck,Muzzleloader,"Fillmore, Oak Creek LE","Fillmore, Oak Creek",Limited Entry,Limited Entry
158,DB1045,85,Deer,Buck,Multiseason,"Fillmore, Oak Creek LE","Fillmore, Oak Creek",Limited Entry,Limited Entry
159,EA1209,85,Elk,Antlerless,Any Legal Weapon,"Fillmore, Oak Creek LE","Fillmore, Oak Creek",Antlerless,Antlerless
193,DB1000,94,Deer,Buck,Archery,Henry Mtns Premium,Henry Mtns,Premium Limited Entry,Premium Limited Entry
194,DB1003,94,Deer,Buck,Any Legal Weapon,Henry Mtns Premium,Henry Mtns,Premium Limited Entry,Premium Limited Entry
195,DB1005,94,Deer,Buck,Muzzleloader,Henry Mtns Premium,Henry Mtns,Premium Limited Entry,Premium Limited Entry
196,DB1007,94,Deer,Buck,Multiseason,Henry Mtns Premium,Henry Mtns,Premium Limited Entry,Premium Limited Entry
281,DB1001,163,Deer,Buck,Archery,Paunsaugunt Premium,Paunsaugunt,Premium Limited Entry,Premium Limited Entry
282,DB1004,163,Deer,Buck,Any Legal Weapon,Paunsaugunt Premium,Paunsaugunt,Premium Limited Entry,Premium Limited Entry
283,DB1006,163,Deer,Buck,Muzzleloader,Paunsaugunt Premium,Paunsaugunt,Premium Limited Entry,Premium Limited Entry
284,DB1008,163,Deer,Buck,Multiseason,Paunsaugunt Premium,Paunsaugunt,Premium Limited Entry,Premium Limited Entry
326,EB3019,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
327,EB3066,183,Elk,Bull,Early Any Legal Weapon,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
328,EB3067,183,Elk,Bull,Late Any Legal Weapon,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
329,EB3097,183,Elk,Bull,Muzzleloader,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
330,EB3121,183,Elk,Bull,Multiseason,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
331,EB3193,183,Elk,Bull,Late Archery,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
332,EB3194,183,Elk,Bull,Mid Any Legal Weapon,San Juan Bull Elk,San Juan,Mature Bull,Mature Bull
333,EL3019,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Private Land Only,Private Land Only
334,EL3066,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Private Land Only,Private Land Only
335,EL3067,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Private Land Only,Private Land Only
336,EL3097,183,Elk,Bull,Muzzleloader,San Juan Bull Elk,San Juan,Private Land Only,Private Land Only
337,EL3193,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Private Land Only,Private Land Only
338,EL3194,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Private Land Only,Private Land Only
489,TK0001,454,Turkey,Bearded,Any Legal Weapon,Turkey - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1204,DB0004,865,Deer,Buck,Any Legal Weapon,Southern Navajo Buck Deer,Southern Navajo,Tribal,Tribal
1205,DB0005,865,Deer,Buck,Archery,Southern Navajo Buck Deer,Southern Navajo,Tribal,Tribal
1206,DB0006,865,Deer,Buck,Muzzleloader,Southern Navajo Buck Deer,Southern Navajo,Tribal,Tribal
1207,DB0010,865,Deer,Buck,Any Legal Weapon,Southern Paiute Buck Deer (early),Southern Paiute,Tribal,Tribal
1208,DB0011,865,Deer,Buck,Archery,Southern Paiute Buck Deer,Southern Paiute,Tribal,Tribal
1209,DB0012,865,Deer,Buck,Muzzleloader,Southern Paiute Buck Deer,Southern Paiute,Tribal,Tribal
1210,DB0013,865,Deer,Buck,Any Legal Weapon,Southern Paiute Buck Deer (late),Southern Paiute,Tribal,Tribal
1211,DB0001,866,Deer,Buck,Any Legal Weapon,Southeastern Navajo Buck Deer,Southeastern Navajo,Tribal,Tribal
1212,DB0002,866,Deer,Buck,Archery,Southeastern Navajo Buck Deer,Southeastern Navajo,Tribal,Tribal
1213,DB0003,866,Deer,Buck,Muzzleloader,Southeastern Navajo Buck Deer,Southeastern Navajo,Tribal,Tribal
1343,EB1012,931,Elk,Bull,Any Legal Weapon,Uinta Basin Private Lands Any Bull Elk,Uinta Basin,General Bull,Private Lands
1354,BI1000,5000,Bison,Hunters Choice,Any Legal Weapon,Bison - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1355,BR1000,5001,Black Bear,Either Sex,Any Legal Weapon,Black Bear - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1362,CG9999,5107,Cougar,Either Sex,Any Legal Weapon,Cougar - Statewide,Statewide,Statewide Permit,Statewide Permit
1363,DB0007,5108,Deer,Buck,Any Legal Weapon,Buck Deer - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1364,DB0008,5109,Deer,Hunters Choice,Archery,Extended Archery Deer,Extended Archery,Extended Archery,Extended Archery
1365,DS1000,5110,Desert Bighorn Sheep,Male Only,Any Legal Weapon,Desert Bighorn Sheep - Statewide Permit,Statewide,,
1366,EA1180,5111,Elk,Antlerless,Any Legal Weapon,La Sal (Conservation),La Sal,Conservation,Conservation
1369,EA1270,5114,Elk,Antlerless,Any Legal Weapon,Fishlake (Conservation),Fishlake,Conservation,Conservation
1370,EA1271,5115,Elk,Antlerless,Any Legal Weapon,Manti (Conservation),Manti,Conservation,Conservation
1372,EA2041,5117,Elk,Antlerless,Any Legal Weapon,Cache (Conservation),Cache,Conservation,Conservation
1373,EA2045,5118,Elk,Antlerless,Any Legal Weapon,Wasatch Mtns (Conservation),Wasatch Mtns,Conservation,Conservation
1374,EB1000,5119,Elk,Bull,Any Legal Weapon,Elk - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1379,EB1005,5124,Elk,Bull,Archery,Archery Hunters Choice Elk,Any Bull Units,General Bull,General Bull
1380,EB1007,5125,Elk,Bull,Any Legal Weapon,Draw-only Youth Any Bull/Hunters Choice Elk,Youth Any Bull Units,Youth,Youth
1381,EB1009,5126,Elk,Bull,Multiseason,Spike Only Elk Units - Multiseason,Spike Only Elk Units,Spike Only,Spike Only
1383,EB1011,5128,Elk,Bull,Any Legal Weapon,Youth General Season Bull Elk,Youth General Season Units,General Bull,General Bull
1386,GO1000,5131,Mountain Goat,Hunters Choice,Any Legal Weapon,Mountain Goat - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1387,MB1000,5133,Moose,Bull,Any Legal Weapon,Moose - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1388,PB1000,5134,Pronghorn,Buck,Any Legal Weapon,Pronghorn - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
1389,RS0001,5135,Rocky Mountain Bighorn Sheep,Ram,Any Legal Weapon,Rocky Mountain Bighorn Sheep - Statewide Permit,Statewide,Statewide Permit,Statewide Permit
