csv_row,hunt_code,boundary_id,species,sex_type,weapon,old_hunt_name,new_hunt_name,old_hunt_type,new_hunt_type,old_hunt_class,new_hunt_class,change_category
29,EL3002,12,Elk,Bull,Archery,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
30,EL3028,12,Elk,Bull,Any Legal Weapon,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
31,EL3079,12,Elk,Bull,Muzzleloader,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
32,EL3167,12,Elk,Bull,Any Legal Weapon,Book Cliffs Little Creek Roadless,Book Cliffs Little Creek Roadless,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
39,EA2026,18,Elk,Antlerless,Any Legal Weapon,"Box Elder, Hansel Mtn","Box Elder, Hansel Mtn",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
65,EA2027,29,Elk,Antlerless,Any Legal Weapon,Cache,Cache,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
66,LO1502,29,Deer,Buck,Archery,Cache,Cache,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
67,LO1627,29,Deer,Buck,Restricted Rifle,Cache,Cache,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
68,LO1628,29,Deer,Buck,Restricted Muzzleloader,Cache,Cache,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
78,EL3003,33,Elk,Bull,Archery,Cache Meadowville,Cache Meadowville,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
79,EL3032,33,Elk,Bull,Any Legal Weapon,Cache Meadowville,Cache Meadowville,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
80,EL3033,33,Elk,Bull,Any Legal Weapon,Cache Meadowville,Cache Meadowville,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
81,EL3081,33,Elk,Bull,Muzzleloader,Cache Meadowville,Cache Meadowville,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
82,EL3168,33,Elk,Bull,Archery,Cache Meadowville,Cache Meadowville,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
83,EL3169,33,Elk,Bull,Any Legal Weapon,Cache Meadowville,Cache Meadowville,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
86,EL3132,36,Elk,Bull,Archery,Cache North,Cache North,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
87,EL3139,36,Elk,Bull,"HAMSS (Handgun, Archery, Muzzleloader, Shotgun or Straight-walled rifle)",Cache North,Cache North,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
103,EL3005,41,Elk,Bull,Archery,Cache South,Cache South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
104,EL3036,41,Elk,Bull,Any Legal Weapon,Cache South,Cache South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
105,EL3037,41,Elk,Bull,Any Legal Weapon,Cache South,Cache South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
106,EL3083,41,Elk,Bull,Muzzleloader,Cache South,Cache South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
107,EL3170,41,Elk,Bull,Archery,Cache South,Cache South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
108,EL3171,41,Elk,Bull,Any Legal Weapon,Cache South,Cache South,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
113,EA2011,51,Elk,Antlerless,Any Legal Weapon,Manti,Manti,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
121,EL3006,51,Elk,Bull,Archery,Manti,Manti,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
122,EL3038,51,Elk,Bull,Any Legal Weapon,Manti,Manti,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
123,EL3039,51,Elk,Bull,Any Legal Weapon,Manti,Manti,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
124,EL3084,51,Elk,Bull,Muzzleloader,Manti,Manti,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
125,EL3126,51,Elk,Bull,Any Legal Weapon,Manti,Manti,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
126,EL3172,51,Elk,Bull,Archery,Manti,Manti,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
140,EA2004,69,Elk,Antlerless,Any Legal Weapon,Chalk Creek,Chalk Creek,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
141,LO1599,69,Deer,Buck,Any Legal Weapon (Late),Chalk Creek,Chalk Creek,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
142,LO1600,69,Deer,Buck,Archery,Chalk Creek,Chalk Creek,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
143,LO1601,69,Deer,Buck,Any Legal Weapon (Early),Chalk Creek,Chalk Creek,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
144,LO1602,69,Deer,Buck,Muzzleloader,Chalk Creek,Chalk Creek,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
149,LP5033,81,Pronghorn,Buck,Any Legal Weapon,"Fillmore, Oak Creek South - Private Land Only","Fillmore, Oak Creek South",Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
160,LD1019,85,Deer,Buck,Any Legal Weapon,"Fillmore, Oak Creek LE - Private Land Only","Fillmore, Oak Creek",Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
167,EA2039,88,Elk,Antlerless,Any Legal Weapon,"Fillmore, Pahvant","Fillmore, Pahvant",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
175,EL3008,88,Elk,Bull,Archery,Fillmore Pahvant,Fillmore Pahvant,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
176,EL3042,88,Elk,Bull,Any Legal Weapon,Fillmore Pahvant,Fillmore Pahvant,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
177,EL3043,88,Elk,Bull,Any Legal Weapon,Fillmore Pahvant,Fillmore Pahvant,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
178,EL3086,88,Elk,Bull,Muzzleloader,Fillmore Pahvant,Fillmore Pahvant,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
179,EL3180,88,Elk,Bull,Archery,Fillmore Pahvant,Fillmore Pahvant,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
180,EL3181,88,Elk,Bull,Any Legal Weapon,Fillmore Pahvant,Fillmore Pahvant,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
218,EL3044,108,Elk,Bull,Any Legal Weapon,La Sal Dolores Triangle,La Sal Dolores Triangle,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
222,EA2019,116,Elk,Antlerless,Any Legal Weapon,"West Desert, Tintic Valley","West Desert, Tintic Valley",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
231,EA2002,117,Elk,Antlerless,Any Legal Weapon,Morgan-South Rich,Morgan-South Rich,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
233,EL3208,117,Elk,Bull,Any Legal Weapon (Late),Morgan-South Rich,Morgan-South Rich,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
234,LO1607,117,Deer,Buck,Any Legal Weapon (Late),Morgan-South Rich,Morgan-South Rich,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
235,LO1608,117,Deer,Buck,Archery,Morgan-South Rich,Morgan-South Rich,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
236,LO1609,117,Deer,Buck,Any Legal Weapon (Early),Morgan-South Rich,Morgan-South Rich,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
237,LO1610,117,Deer,Buck,Muzzleloader,Morgan-South Rich,Morgan-South Rich,General Season - Private Land Only,General Season,Private Land Only,Private Land Only,private_land_split_to_hunt_class
243,EA2008,129,Elk,Antlerless,Any Legal Weapon,"Nine Mile, Anthro-Myton Bench","Nine Mile, Anthro-Myton Bench",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
262,EL3013,140,Elk,Bull,Archery,North Slope Three Corners,North Slope Three Corners,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
263,EL3053,140,Elk,Bull,Any Legal Weapon,North Slope Three Corners,North Slope Three Corners,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
264,EL3091,140,Elk,Bull,Muzzleloader,North Slope Three Corners,North Slope Three Corners,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
265,EL3210,140,Elk,Bull,Any Legal Weapon,North Slope Three Corners,North Slope Three Corners,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
270,EA2005,142,Elk,Antlerless,Any Legal Weapon,"North Slope, West Daggett","North Slope, West Daggett",Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
290,EA2015,163,Elk,Antlerless,Any Legal Weapon,Paunsaugunt,Paunsaugunt,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
291,LD1001,163,Deer,Buck,Archery,Paunsaugunt - Private Land Only,Paunsaugunt,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
292,LD1004,163,Deer,Buck,Any Legal Weapon,Paunsaugunt - Private Land Only,Paunsaugunt,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
293,LD1006,163,Deer,Buck,Muzzleloader,Paunsaugunt - Private Land Only,Paunsaugunt,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
302,EL3145,172,Elk,Bull,Archery,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
303,EL3148,172,Elk,Bull,Any Legal Weapon,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
304,EL3151,172,Elk,Bull,Any Legal Weapon,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
305,EL3154,172,Elk,Bull,Muzzleloader,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
306,EL3190,172,Elk,Bull,Archery,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
307,EL3191,172,Elk,Bull,Any Legal Weapon,Boulder,Boulder,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
320,EL3018,175,Elk,Bull,Archery,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
321,EL3063,175,Elk,Bull,Any Legal Weapon,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
322,EL3064,175,Elk,Bull,Any Legal Weapon,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
323,EL3065,175,Elk,Bull,Any Legal Weapon,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
324,EL3096,175,Elk,Bull,Muzzleloader,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
325,EL3192,175,Elk,Bull,Archery,Fishlake/Thousand Lakes,Fishlake/Thousand Lakes,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
333,EL3019,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
334,EL3066,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
335,EL3067,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
336,EL3097,183,Elk,Bull,Muzzleloader,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
337,EL3193,183,Elk,Bull,Archery,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
338,EL3194,183,Elk,Bull,Any Legal Weapon,San Juan Bull Elk,San Juan,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
351,LP5046,194,Pronghorn,Buck,Any Legal Weapon,"San Rafael, North - Private Land Only","San Rafael, North",Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
366,EA2030,206,Elk,Antlerless,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Private Lands Only,O.T.C.,Antlerless,Private Land Only,private_land_split_to_hunt_class
374,EL3020,206,Elk,Bull,Archery,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
375,EL3068,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
376,EL3069,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
377,EL3098,206,Elk,Bull,Muzzleloader,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
378,EL3195,206,Elk,Bull,Archery,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
379,EL3196,206,Elk,Bull,Any Legal Weapon,Diamond Mtn,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
380,LD1023,206,Deer,Buck,Any Legal Weapon,Diamond Mtn - Private Land Only,Diamond Mtn,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
381,LO0008,206,Deer,Buck,Archery,Diamond Mtn Landowner Association,Diamond Mtn Landowner Association,Limited Entry - Private Land Only,Limited Entry,Private Land Only,Private Land Only,private_land_split_to_hunt_class
