hunt_code,in_guidebook,in_hunt_planner,guidebook_rows,hunt_planner_rows
BI6505,False,True,0,1
BI6506,False,True,0,1
BI6529,False,True,0,1
BI6536,False,True,0,1
BI6539,False,True,0,1
DA1001,True,True,1,1
DA1002,True,True,1,1
DA1003,True,True,1,1
DA1009,True,True,1,1
DA1011,True,True,1,1
DA1012,True,True,1,1
DA1013,True,True,2,1
DA1018,True,True,1,1
DA1027,True,True,1,1
DA1030,True,True,1,1
DA1031,True,True,1,1
DA1033,True,True,1,1
DA1041,True,True,1,1
DA1042,True,True,1,1
DA1045,True,True,1,1
DA1046,True,True,1,1
DA1047,True,True,1,1
DA1048,True,True,1,1
DA1049,True,True,1,1
DA1050,True,True,1,1
DA1051,True,True,1,1
EA1007,True,True,1,1
EA1010,True,True,1,1
EA1011,True,True,1,1
EA1013,True,True,1,1
EA1015,True,True,1,1
EA1017,True,True,1,1
EA1018,True,True,1,1
EA1020,True,True,1,1
EA1021,True,True,1,1
EA1022,True,True,1,1
EA1023,True,True,1,1
EA1024,True,True,1,1
EA1025,True,True,1,1
EA1026,True,True,1,1
EA1030,True,True,1,1
EA1031,True,True,1,1
EA1033,True,True,1,1
EA1035,True,True,1,1
EA1037,True,True,1,1
EA1038,True,True,1,1
EA1039,True,True,1,1
EA1044,True,True,1,1
EA1053,True,True,1,1
EA1054,True,True,1,1
EA1056,True,True,1,1
EA1058,True,True,1,1
EA1060,True,True,1,1
EA1061,True,True,1,1
EA1063,True,True,1,1
EA1064,True,True,1,1
EA1069,True,True,1,1
EA1073,True,True,1,1
EA1075,True,True,1,1
EA1076,True,True,1,1
EA1077,True,True,1,1
EA1078,True,True,1,1
EA1079,True,True,1,1
EA1080,True,True,1,1
EA1081,True,True,1,1
EA1082,True,True,1,1
EA1084,True,True,1,1
EA1085,True,True,1,1
EA1087,True,True,1,1
EA1089,True,True,1,1
EA1090,True,True,1,1
EA1094,True,True,1,1
EA1101,True,True,1,1
EA1106,True,True,1,1
EA1107,True,True,1,1
EA1110,True,True,1,1
EA1111,True,True,1,1
EA1112,True,True,1,1
EA1113,True,True,1,1
EA1114,True,True,1,1
EA1117,True,True,1,1
EA1118,True,True,1,1
EA1119,True,True,1,1
EA1120,True,True,1,1
EA1121,True,True,1,1
EA1122,True,True,1,1
EA1124,True,True,1,1
EA1125,True,True,1,1
EA1129,True,True,1,1
EA1130,True,True,1,1
EA1131,True,True,1,1
EA1132,True,True,1,1
EA1134,True,True,1,1
EA1135,True,True,1,1
EA1136,True,True,1,1
EA1137,True,True,1,1
EA1138,True,True,1,1
EA1139,True,True,1,1
EA1140,True,True,1,1
EA1141,True,True,1,1
EA1142,True,True,1,1
EA1143,True,True,1,1
EA1145,True,True,1,1
EA1146,True,True,1,1
EA1147,True,True,1,1
EA1149,True,True,1,1
EA1151,True,True,1,1
EA1153,True,True,1,1
EA1156,True,True,1,1
EA1157,True,True,1,1
EA1158,True,True,1,1
EA1159,True,True,1,1
EA1160,True,True,1,1
EA1161,True,True,1,1
EA1162,True,True,1,1
EA1163,True,True,1,1
EA1164,True,True,1,1
EA1165,True,True,1,1
EA1166,True,True,1,1
EA1167,True,True,1,1
EA1168,True,True,1,1
EA1170,True,True,1,1
EA1171,True,True,1,1
EA1172,True,True,1,1
EA1175,True,True,1,1
EA1177,True,True,1,1
EA1180,False,True,0,1
EA1189,True,True,1,1
EA1192,True,True,1,1
EA1193,True,True,1,1
EA1196,True,True,1,1
EA1198,True,True,1,1
EA1200,True,True,1,1
EA1201,True,True,1,1
EA1203,True,True,1,1
EA1204,True,True,1,1
EA1207,True,True,1,1
EA1208,True,True,1,1
EA1209,True,True,1,1
EA1217,True,True,1,1
EA1220,False,True,0,1
EA1221,False,True,0,1
EA1222,True,True,1,2
EA1223,True,True,1,1
EA1224,True,True,1,1
EA1225,True,True,1,1
EA1226,True,True,1,1
EA1228,True,True,1,1
EA1229,True,True,1,1
EA1231,True,True,1,1
EA1233,True,True,1,1
EA1235,True,True,1,1
EA1236,True,True,1,1
EA1237,True,True,1,1
EA1239,True,True,1,1
EA1240,True,True,1,1
EA1242,True,True,1,1
EA1243,True,True,1,1
EA1244,True,True,1,1
EA1245,True,True,1,1
EA1250,True,True,1,1
EA1251,True,True,1,1
EA1254,True,True,1,1
EA1256,True,True,1,1
EA1257,True,True,1,1
EA1258,False,True,0,1
EA1260,True,True,1,1
EA1261,True,True,1,1
EA1263,True,True,1,1
EA1264,True,True,1,1
EA1265,True,True,1,1
EA1266,True,True,1,1
EA1267,True,True,1,1
EA1268,True,True,1,1
EA1269,True,True,1,1
EA1270,False,True,0,1
EA1271,False,True,0,1
EA1272,True,True,1,1
EA1273,True,True,1,1
EA1274,True,True,1,1
EA1276,True,True,1,1
EA1277,True,True,1,1
EA1281,False,True,0,1
EA1283,True,True,1,1
EA1284,True,True,1,2
EA1285,True,True,1,1
EA1286,True,True,1,1
EA1288,True,True,1,1
EA1289,True,True,1,1
EA1290,True,True,1,1
EA1291,True,True,1,1
EA1292,True,True,1,1
EA1293,True,True,1,1
EA1294,True,True,1,1
EA1295,True,True,1,1
EA1296,True,True,1,1
EA1297,True,True,1,1
EA1298,True,True,1,1
EA1299,True,True,1,1
EA1300,True,True,1,1
EA1301,True,True,1,1
EA2000,False,True,0,1
EA2002,True,True,1,1
EA2003,True,True,1,1
EA2004,True,True,1,1
EA2005,True,True,1,1
EA2006,True,True,1,1
EA2008,True,True,1,1
EA2009,True,True,1,1
EA2010,True,True,1,1
EA2011,True,True,1,1
EA2012,True,True,1,1
EA2013,True,True,1,1
EA2014,True,True,1,1
EA2015,True,True,1,1
EA2016,True,True,1,1
EA2017,False,True,0,1
EA2018,True,True,1,1
EA2019,True,True,1,1
EA2020,True,True,1,1
EA2021,True,True,1,1
EA2026,True,True,1,1
EA2027,True,True,1,1
EA2028,True,True,1,1
EA2029,True,True,1,1
EA2030,True,True,1,1
EA2033,True,True,1,1
EA2034,True,True,1,1
EA2036,True,True,1,1
EA2037,True,True,1,1
EA2038,True,True,1,1
EA2039,True,True,1,1
EA2040,True,True,1,1
EA2041,False,True,0,1
EA2045,False,True,0,1
EA2046,True,True,1,1
MA1005,True,True,1,1
MA1007,True,True,1,1
MA1008,True,True,1,1
MA1010,True,True,1,1
MA1011,True,True,1,1
PD1000,True,True,1,1
PD1011,True,True,1,1
PD1012,True,True,1,1
PD1016,True,True,1,1
PD1017,True,True,1,1
PD1026,True,True,1,1
PD1031,True,True,1,1
PD1033,True,True,1,1
PD1034,True,True,1,1
PD1035,True,True,1,1
PD1039,True,True,1,1
PD1041,True,True,1,1
PD1043,True,True,1,1
PD1044,True,True,1,1
PD1047,True,True,1,1
PD1048,True,True,1,1
PD1050,True,True,1,1
PD1053,True,True,1,1
PD1054,True,True,1,1
PD1055,True,True,1,1
PD1056,True,True,1,1
PD1057,True,True,1,1
PD1058,True,True,1,1
PD1059,True,True,1,1
PD1060,True,True,1,1
RE1000,True,True,1,1
