species,sex_type,hunt_code,hunt_name,hunt_type_raw,weapon,season,permits_res,permits_nr,permits_total,quota_field_raw,boundary_id
Deer,Antlerless,DA1001,"Box Elder, West Bear River",General Season,"Archery, Muzzleloader, Shotgun",Aug 18 2026 - Aug 30 2026,,,30,30,
Deer,Antlerless,DA1002,"Box Elder, West Bear River",General Season,"Archery, Muzzleloader, Shotgun",Nov 24 2026 - Nov 29 2026,,,30,30,
Deer,Antlerless,DA1003,"Monroe/Plateau, Sevier Valley",General Season,"Archery, Muzzleloader, Shotgun",Sept 01 2026 - Sept 30 2026,,,15,15,
Deer,Antlerless,DA1009,"Pine Valley, Enterprise",General Season,Any Legal Weapon,Aug 01 2026 - Aug 12 2026,,,20,20,
Deer,Antlerless,DA1011,George Creek CWMU,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,5,5,
Deer,Antlerless,DA1012,Junction Valley CWMU,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,15,15,
Deer,Antlerless,DA1013,Mt Carmel CWMU,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,5,5,
Deer,Antlerless,DA1018,"Pine Valley, New Harmony",General Season,"Archery, Muzzleloader, Shotgun",Aug 01 2026 - Aug 12 2026,,,15,15,
Deer,Antlerless,DA1027,"East Canyon, Davis-North Salt Lake",General Season,Any Legal Weapon,Aug 01 2026 - Sept 15 2026,,,30,30,
Deer,Antlerless,DA1030,"Nine Mile, Price River Valley",General Season,Archery,Aug 15 2026 - Sept 11 2026,,,25,25,
Deer,Antlerless,DA1031,"Oquirrh-Stansbury, Settlement Cyn",General Season,Archery,Aug 15 2026 - Sept 11 2026,,,20,20,
Deer,Antlerless,DA1033,"San Juan, Monticello",General Season,Archery,Aug 01 2026 - Sept 14 2026,,,10,10,
Deer,Antlerless,DA1041,"Nine Mile, Green River Valley",General Season,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,,,15,15,
Deer,Antlerless,DA1042,"San Juan, Monticello",General Season,Archery,Nov 24 2026 - Dec 31 2026,,,5,5,
Deer,Antlerless,DA1045,"Fillmore, Oak City",General Season,Archery,Aug 01 2026 - Sept 04 2026,,,20,20,
Deer,Antlerless,DA1046,"Nine Mile, Price River Valley",General Season,"Archery, Muzzleloader, Shotgun",Sept 12 2026 - Oct 09 2026,,,25,25,
Deer,Antlerless,DA1047,Vernal-Ouray Valley,General Season,Any Legal Weapon,Sept 26 2026 - Dec 11 2026,,,25,25,
Deer,Antlerless,DA1048,Fillmore City,General Season,Archery,Aug 01 2026 - Sept 04 2026,,,15,15,
Deer,Antlerless,DA1049,"Vernal, Ashley Valley",General Season,Archery,Aug 15 2026 - Dec 11 2026,,,35,35,
Deer,Antlerless,DA1050,The Rose of Snowville CWMU,CWMU,Any Legal Weapon,Contact Operator for 2026 season dates,,,8,8,
Deer,Antlerless,DA1051,Beaver City,General-Season,Archery,Aug 01 2026 - Sept 04 2026,,,10,10,
Elk,Antlerless,EA1007,"Box Elder, Grouse Creek",General Season,Any Legal Weapon,Nov 06 2026 - Jan 31 2027,27,3,30,,
Elk,Antlerless,EA1010,"Cache, Rich",General Season,Any Legal Weapon,Oct 03 2026 - Oct 25 2026,31,4,35,,
Elk,Antlerless,EA1011,"Cache, Richards Hollow",General Season,Any Legal Weapon,Nov 14 2026 - Dec 31 2026,18,2,20,,
Elk,Antlerless,EA1013,"Manti, Central",General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,63,7,70,,
Elk,Antlerless,EA1015,"Manti, Ferron Canyon",General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,63,7,70,,
Elk,Antlerless,EA1017,"Manti, Gordon Creek-Price Canyon",General Season,Any Legal Weapon,Nov 25 2026 - Jan 31 2027,90,10,100,,
Elk,Antlerless,EA1018,"Manti, Horn Mtn",General Season,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,54,6,60,,
Elk,Antlerless,EA1020,"Manti, Mohrland-Stump Flat",General Season,Any Legal Weapon,Nov 25 2026 - Jan 31 2027,108,12,120,,
Elk,Antlerless,EA1021,Nebo,General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,252,28,280,,
Elk,Antlerless,EA1022,"Manti, North",General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,270,30,300,,
Elk,Antlerless,EA1023,"Manti, South",General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,90,10,100,,
Elk,Antlerless,EA1024,"Manti, South",General Season,Any Legal Weapon,Nov 19 2026 - Jan 31 2027,90,10,100,,
Elk,Antlerless,EA1025,"Manti, West",General Season,Any Legal Weapon,Nov 19 2026 - Jan 31 2027,108,12,120,,
Elk,Antlerless,EA1026,Chalk Creek,General Season,Any Legal Weapon,Nov 07 2026 - Jan 30 2027,315,35,350,,
Elk,Antlerless,EA1030,"Fillmore, Pahvant",General Season,Any Legal Weapon,Nov 14 2026 - Dec 05 2026,45,5,50,,
Elk,Antlerless,EA1031,"Fillmore, Pahvant",General Season,Any Legal Weapon,Dec 12 2026 - Jan 29 2027,45,5,50,,
Elk,Antlerless,EA1033,Kamas,General Season,Any Legal Weapon,Nov 07 2026 - Jan 17 2027,90,10,100,,
Elk,Antlerless,EA1035,"Kamas, Oakley",General Season,Any Legal Weapon,Nov 07 2026 - Dec 30 2026,90,10,100,,
Elk,Antlerless,EA1037,Dolores Triangle,General Season,Any Legal Weapon,Dec 12 2026 - Jan 31 2027,45,5,50,,
Elk,Antlerless,EA1038,La Sal Mtns,General Season,Any Legal Weapon,Oct 03 2026 - Oct 15 2026,180,20,200,,
Elk,Antlerless,EA1039,La Sal Mtns,General Season,Any Legal Weapon,Nov 19 2026 - Dec 31 2026,135,15,150,,
Elk,Antlerless,EA1044,"Morgan-South Rich, South Rich",General Season,Any Legal Weapon,Dec 01 2026 - Jan 31 2027,31,4,35,,
Elk,Antlerless,EA1053,"Nine Mile, West Anthro",General Season,Any Legal Weapon,Jan 16 2027 - Jan 24 2027,45,5,50,,
Elk,Antlerless,EA1054,"Nine Mile, West Anthro",General Season,Any Legal Weapon,Dec 12 2026 - Dec 31 2026,90,10,100,,
Elk,Antlerless,EA1056,"North Slope, Greendale",General Season,Any Legal Weapon,Nov 14 2026 - Nov 29 2026,4,1,5,,
Elk,Antlerless,EA1058,"North Slope, Henry's Fork-Burnt Fork",General Season,Any Legal Weapon,Nov 07 2026 - Jan 30 2027,90,10,100,,
Elk,Antlerless,EA1060,"North Slope, West Daggett",General Season,Muzzleloader,Oct 28 2026 - Nov 05 2026,18,2,20,,
Elk,Antlerless,EA1061,"North Slope, West Daggett",General Season,Muzzleloader,Sept 23 2026 - Oct 01 2026,18,2,20,,
