hunt_code,in_cwmu_workbook,workbook_rows,in_2026_canonical_cwmu,canonical_cwmu_rows,in_2026_scorable_cwmu,scorable_cwmu_rows,in_2026_quota_cwmu,quota_cwmu_rows
DA1011,True,1,True,1,False,0,True,1
DA1012,True,1,True,1,False,0,True,1
DA1013,True,1,True,1,False,0,True,1
DA1050,True,1,True,1,False,0,True,1
DB1200,True,1,True,29,True,29,False,0
DB1201,True,1,True,20,True,20,False,0
DB1202,True,1,True,4,True,4,False,0
DB1203,True,1,True,4,True,4,False,0
DB1204,True,1,True,15,True,15,False,0
DB1205,True,1,True,6,True,6,False,0
DB1206,True,1,True,7,True,7,False,0
DB1207,True,1,True,8,True,8,False,0
DB1208,True,1,True,9,True,9,False,0
DB1209,True,1,True,7,True,7,False,0
DB1211,True,1,True,7,True,7,False,0
DB1212,True,1,True,10,True,10,False,0
DB1213,True,1,True,6,True,6,False,0
DB1215,True,1,True,9,True,9,False,0
DB1216,True,1,True,10,True,10,False,0
DB1217,True,1,True,11,True,11,False,0
DB1219,True,1,True,17,True,17,False,0
DB1222,True,1,True,19,True,19,False,0
DB1224,True,1,True,7,True,7,False,0
DB1227,True,1,True,13,True,13,False,0
DB1228,True,1,True,21,True,21,False,0
DB1229,True,1,True,7,True,7,False,0
DB1230,True,1,True,12,True,12,False,0
DB1231,True,1,True,13,True,13,False,0
DB1232,True,1,True,17,True,17,False,0
DB1233,True,1,True,14,True,14,False,0
DB1234,True,1,True,11,True,11,False,0
DB1236,True,1,True,10,True,10,False,0
DB1237,True,1,True,23,True,23,False,0
DB1238,True,1,True,16,True,16,False,0
DB1239,True,1,True,8,True,8,False,0
DB1240,True,1,True,6,True,6,False,0
DB1241,True,1,True,10,True,10,False,0
DB1242,True,1,True,17,True,17,False,0
DB1243,True,1,True,4,True,4,False,0
DB1244,True,1,True,10,True,10,False,0
DB1245,True,1,True,15,True,15,False,0
DB1246,True,1,True,11,True,11,False,0
DB1248,True,1,True,25,True,25,False,0
DB1249,True,1,True,5,True,5,False,0
DB1250,True,1,True,3,True,3,False,0
DB1251,True,1,True,16,True,16,False,0
DB1252,True,1,True,8,True,8,False,0
DB1253,True,1,True,11,True,11,False,0
DB1255,True,1,True,10,True,10,False,0
DB1256,True,1,True,13,True,13,False,0
DB1258,True,1,True,13,True,13,False,0
DB1259,True,1,True,12,True,12,False,0
DB1260,True,1,True,3,True,3,False,0
DB1261,True,1,True,12,True,12,False,0
DB1263,True,1,True,10,True,10,False,0
DB1264,True,1,True,5,True,5,False,0
DB1265,True,1,True,7,True,7,False,0
DB1266,True,1,True,14,True,14,False,0
DB1269,True,1,True,15,True,15,False,0
DB1270,True,1,True,11,True,11,False,0
DB1271,True,1,True,4,True,4,False,0
DB1272,True,1,True,6,True,6,False,0
DB1273,True,1,True,7,True,7,False,0
DB1274,True,1,True,12,True,12,False,0
DB1275,True,1,True,5,True,5,False,0
DB1277,True,1,True,11,True,11,False,0
DB1279,True,1,True,18,True,18,False,0
DB1280,True,1,True,18,True,18,False,0
DB1281,True,1,True,15,True,15,False,0
DB1282,True,1,True,9,True,9,False,0
DB1283,True,1,True,10,True,10,False,0
DB1285,True,1,True,10,True,10,False,0
DB1286,True,1,True,10,True,10,False,0
DB1287,True,1,True,13,True,13,False,0
DB1288,True,1,True,16,True,16,False,0
DB1289,True,1,True,18,True,18,False,0
DB1290,True,1,True,19,True,19,False,0
DB1291,True,1,True,10,True,10,False,0
DB1292,True,1,True,16,True,16,False,0
