row_number,hunt_code,field,target_before,canonical_value,strict_key
716,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|0|point_level_draw_result
716,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|0|point_level_draw_result
716,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|0|point_level_draw_result
716,BR7000,successful_applicants,1,,2026|2027|BR7000|Nonresident|0|point_level_draw_result
716,BR7000,success_ratio,0.1428571429,0.142857143,2026|2027|BR7000|Nonresident|0|point_level_draw_result
716,BR7000,p_draw,0.1428571429,0.142857143,2026|2027|BR7000|Nonresident|0|point_level_draw_result
716,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|0|point_level_draw_result
717,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|1|point_level_draw_result
717,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|1|point_level_draw_result
717,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|1|point_level_draw_result
717,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|1|point_level_draw_result
717,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|1|point_level_draw_result
718,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|2|point_level_draw_result
718,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|2|point_level_draw_result
718,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|2|point_level_draw_result
718,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|2|point_level_draw_result
718,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|2|point_level_draw_result
719,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|3|point_level_draw_result
719,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|3|point_level_draw_result
719,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|3|point_level_draw_result
719,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|3|point_level_draw_result
719,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|3|point_level_draw_result
720,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|4|point_level_draw_result
720,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|4|point_level_draw_result
720,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|4|point_level_draw_result
720,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|4|point_level_draw_result
720,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|4|point_level_draw_result
721,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|5|point_level_draw_result
721,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|5|point_level_draw_result
721,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|5|point_level_draw_result
721,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|5|point_level_draw_result
721,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|5|point_level_draw_result
722,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|6|point_level_draw_result
722,BR7000,hunt_type,Bear,Limited Entry,2026|2027|BR7000|Nonresident|6|point_level_draw_result
722,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|6|point_level_draw_result
722,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|6|point_level_draw_result
723,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|7|point_level_draw_result
723,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|7|point_level_draw_result
723,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|7|point_level_draw_result
723,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|7|point_level_draw_result
723,BR7000,boundary_id,,628,2026|2027|BR7000|Nonresident|7|point_level_draw_result
724,BR7000,sex_type,,Either Sex,2026|2027|BR7000|Nonresident|8|point_level_draw_result
724,BR7000,draw_design,standard,Max/Weighted Split,2026|2027|BR7000|Nonresident|8|point_level_draw_result
724,BR7000,hunt_type,Limited-Entry,Limited Entry,2026|2027|BR7000|Nonresident|8|point_level_draw_result
724,BR7000,successful_applicants,0,,2026|2027|BR7000|Nonresident|8|point_level_draw_result
