hunt_code,prefix,source_count,sources
BI1000,BI,1,utahdraws_sportsman_2026_sportsman_bison_mht26.json
BI6500,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6503,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6504,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6505,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6506,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6509,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6516,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6528,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6529,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6531,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6532,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6534,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6535,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6536,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6537,BI,1,utahdraws_big_game_2026_bison_mht12.json
BI6539,BI,1,utahdraws_big_game_2026_bison_mht12.json
BR1000,BR,1,utahdraws_sportsman_2026_sportsman_black_bear_mht30.json
BR1008,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1009,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1010,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1011,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1012,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1013,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1015,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1016,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR1017,BR,1,utahdraws_black_bear_2026_black_bear_restricted_pursuit_mht16.json
BR7000,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7001,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7003,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7004,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7005,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7007,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7009,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7010,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7011,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7012,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7013,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7014,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7015,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7016,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7017,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
BR7018,BR,1,utahdraws_black_bear_2026_black_bear_mht1.json
