hunt_code,prefix,source_count,sources
BI1000,BI,3,2026_PERMITS=2027_MODEL__SPORTSMAN BISON DRAW RESULTS.pdf; 2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6500,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6503,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6504,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6505,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6506,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6509,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6516,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6528,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6529,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6531,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6532,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6534,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6535,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6536,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6537,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BI6539,BI,2,2026_PERMITS=2027_MODEL__O.I.L. BISON DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1000,BR,3,2026_PERMITS=2027_MODEL__SPORTSMAN BLACK BEAR DRAW RESULTS.pdf; 2026_PERMITS=2027_MODEL__SPORTSMAN DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1008,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1009,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1010,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
BR1011,BR,2,2026_PERMITS=2027_MODEL__BEAR RESTRICTED PURSUIT DRAW RESULTS.pdf; 2026_PERMITS_2027_MODEL__COMPREHENSIVE_SPECIES_HUNT_FAMILY_UOGA_FORMAT.pdf
