hunt_code,prefix,source_count,sources
BI1000,BI,4,2025-27 Conservation Permits.xlsx; 2026 BISON HUNTERS CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6500,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6503,BI,4,2025-27 Conservation Permits.xlsx; 2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6504,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6505,BI,4,2025-27 Conservation Permits.xlsx; 2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_COW.xlsx; MASTER.xlsx
BI6506,BI,3,2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_COW.xlsx; MASTER.xlsx
BI6509,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6516,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6527,BI,3,2026 BISON HUNTERS CHOICE GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6528,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6529,BI,3,2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_COW.xlsx; MASTER.xlsx
BI6530,BI,1,MASTER.xlsx
BI6531,BI,4,2025-27 Conservation Permits.xlsx; 2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6532,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6534,BI,4,2025-27 Conservation Permits.xlsx; 2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6535,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6536,BI,3,2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_COW.xlsx; MASTER.xlsx
BI6537,BI,3,2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6538,BI,3,2026 BISON HUNTERS CHOICE GENERAL SEASON ANY LEGAL WEAPON.xlsx; 2026_BISON_HUNTER_CHOICE.xlsx; MASTER.xlsx
BI6539,BI,3,2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx; 2026_BISON_COW.xlsx; MASTER.xlsx
BR1000,BR,4,2025-27 Conservation Permits.xlsx; 2026 BLACK BEAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1001,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1007,BR,3,2026 BLACK BEAR EITHER SEX PURSUIT PURSUIT ONLY.xlsx; 2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1008,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1009,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1010,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1011,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1012,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1013,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1015,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1016,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1017,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR1018,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7000,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7001,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7003,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7004,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7005,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7007,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7008,BR,1,MASTER.xlsx
BR7009,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7010,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7011,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7012,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7013,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7014,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7015,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7016,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7017,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7018,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7019,BR,1,MASTER.xlsx
BR7020,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7021,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7022,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7100,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7101,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7102,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7104,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7105,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
BR7106,BR,2,2026_BLACK_BEAR.xlsx; MASTER.xlsx
