surface,source_csv,hunt_code,legacy_hunt_code_prefix,hunt_code_prefix_status,residency,point_level,hunt_name,species,hunt_category,applicants,permits,source_file,source_namespace,raw_hunt_code_status
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,6,General Deer Preference Point,Buck Deer,Preference Point,575,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,10,General Deer Preference Point,Buck Deer,Preference Point,110,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,14,General Deer Preference Point,Buck Deer,Preference Point,289,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,1,General Deer Preference Point,Buck Deer,Preference Point,4410,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,11,General Deer Preference Point,Buck Deer,Preference Point,64,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,4,General Deer Preference Point,Buck Deer,Preference Point,1447,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,3,General Deer Preference Point,Buck Deer,Preference Point,1735,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,19,General Deer Preference Point,Buck Deer,Preference Point,7,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,8,General Deer Preference Point,Buck Deer,Preference Point,254,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,25,General Deer Preference Point,Buck Deer,Preference Point,11,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,24,General Deer Preference Point,Buck Deer,Preference Point,1,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,19,General Deer Preference Point,Buck Deer,Preference Point,34,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,21,General Deer Preference Point,Buck Deer,Preference Point,2,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Resident,20,General Deer Preference Point,Buck Deer,Preference Point,1,0,,,FAMILY_AGGREGATE_LABEL
endpoint,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_big_game_05_general_season_buck_deer.csv,GDR,,,Nonresident,22,General Deer Preference Point,Buck Deer,Preference Point,19,0,,,FAMILY_AGGREGATE_LABEL
