hunt_code,residency,point_level,hunt_name,applicants,permits,source_file,source_namespace,legacy_hunt_code_prefix,hunt_code_prefix_status,raw_hunt_code_status
BER,Nonresident,22,"Bear Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Black_Bear__Black_Bear.pdf,2026_PERMITS=2027_MODEL,BR,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,FAMILY_AGGREGATE_LABEL
BER,Nonresident,24,"Bear Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Black_Bear__Black_Bear.pdf,2026_PERMITS=2027_MODEL,BR,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,FAMILY_AGGREGATE_LABEL
BER,Nonresident,25,"Bear Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Black_Bear__Black_Bear.pdf,2026_PERMITS=2027_MODEL,BR,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,FAMILY_AGGREGATE_LABEL
BER,Nonresident,26,"Bear Bonus Point - No Weapon | Jan 01, 2026 - Dec 31, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Black_Bear__Black_Bear.pdf,2026_PERMITS=2027_MODEL,BR,FAMILY_AGGREGATE_LABEL_NOT_UNIQUE_HUNT_CODE,FAMILY_AGGREGATE_LABEL
BI1000,Nonresident,0,"Sportsman Bison - Any Legal Weapon | Aug 01, 2026 - Jan 31, 2027",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Sportsman__Sportsman_Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,0,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,1,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,10,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,11,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,12,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,13,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,14,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,15,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,16,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,17,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
BI6500,Nonresident,18,"Antelope Island - Any Legal Weapon | Dec 07-09, 2026",0,0,utahdraws_2026_UOGA_DESIGN_STYLE__Big_Game__Bison.pdf,2026_PERMITS=2027_MODEL,BI,UNCHANGED_2026_LEGACY_PREFIX,VALID_CODE_SHAPE
