HuntID,HuntCode,residency,point,duplicate_rows,participant_values,successful_values,hunt_name,hunt_category,source_csv,decision
1080,TKY,Resident,0.0,2,268|64,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Resident,1.0,2,228|32,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Nonresident,2.0,2,1|20,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Nonresident,3.0,2,1|26,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Nonresident,4.0,2,1|6,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Nonresident,1.0,2,21|6,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Resident,2.0,2,18|206,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Resident,5.0,2,2|81,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Resident,4.0,2,142|7,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
1080,TKY,Resident,3.0,2,195|8,0,Turkey Bonus Point,Bonus Point,pipeline\RAW\hunt_unit_database\2026\exports\utahdraws_draw_odds_20260603\csv\2026_turkey_03_turkey.csv,BLOCK_PATCH_UNTIL_TURKEY_ROW_GRAIN_DECODED
