row,hunt_code,boundary_id,dwr_boundary_id,boundary_geojson_path,geojson_property_ids_sample
1,BI1000,5000,,processed_data/boundaries/BI1000.geojson,637|667|889
21,BR1000,5001,,processed_data/boundaries/BR1000.geojson,12|138|163|175|289|444|448|449
22,BR1001,5002,,processed_data/boundaries/BR1001.geojson,175|251|289|444|449|455|462|463
23,BR1007,5003,,processed_data/boundaries/BR1007.geojson,163|175|289|444|448|455|456|457
33,BR1018,5013,,processed_data/boundaries/BR1018.geojson,163|175|289|444|448|455|456|457
76,BR7123,5053,,processed_data/boundaries/BR7123.geojson,138|611
103,BR7229,5079,,processed_data/boundaries/BR7229.geojson,138|611
125,BR7321,5101,,processed_data/boundaries/BR7321.geojson,138|611
131,CG9999,5107,,processed_data/boundaries/CG9999.geojson,117|140|143|16|163|172|26|29
160,DB0007,5108,,processed_data/boundaries/DB0007.geojson,108|138|15|163|185|206|248|32
161,DB0008,5109,,processed_data/boundaries/DB0008.geojson,101|106|109|218|28|280|311|312
513,DS1000,5110,,processed_data/boundaries/DS1000.geojson,100|187|190|193|194|635|636|688
515,DS1003,5141,,processed_data/boundaries/DS1003.geojson,933|934
663,EA1220,5112,,processed_data/boundaries/EA1220.geojson,43|45|47|49|51|55|58|861
664,EA1221,5145,,processed_data/boundaries/EA1221.geojson,175|698|699
690,EA1258,5113,,processed_data/boundaries/EA1258.geojson,108|617|684|879
731,EA2000,5116,,processed_data/boundaries/EA2000.geojson,117|276|609|611|635|636|69|94
764,EA2045,5118,,processed_data/boundaries/EA2045.geojson,222|224|225|227|234|238|240|480
766,EB1000,5119,,processed_data/boundaries/EB1000.geojson,108|12|128|140|163|17|175|183
767,EB1001,5120,,processed_data/boundaries/EB1001.geojson,107|117|129|138|142|163|18|188
768,EB1002,5121,,processed_data/boundaries/EB1002.geojson,107|117|129|138|142|163|18|188
769,EB1003,5122,,processed_data/boundaries/EB1003.geojson,108|12|175|183|206|222|241|302
770,EB1004,5123,,processed_data/boundaries/EB1004.geojson,108|12|175|183|206|222|241|302
771,EB1005,5124,,processed_data/boundaries/EB1005.geojson,107|108|117|12|129|138|142|175
772,EB1007,5125,,processed_data/boundaries/EB1007.geojson,107|117|129|143|163|18|188|194
773,EB1009,5126,,processed_data/boundaries/EB1009.geojson,108|12|175|183|206|222|241|302
774,EB1010,5127,,processed_data/boundaries/EB1010.geojson,107|117|129|138|142|163|18|188
775,EB1011,5128,,processed_data/boundaries/EB1011.geojson,107|108|117|12|129|138|142|163
1118,EX1000,5130,,processed_data/boundaries/EX1000.geojson,218|282|313
1119,GO1000,5131,,processed_data/boundaries/GO1000.geojson,102|145|146|147|148|157|200|225
1269,MB1000,5133,,processed_data/boundaries/MB1000.geojson,117|138|276|289|29|452|609|611
1310,PB1000,5134,,processed_data/boundaries/PB1000.geojson,129|138|15|171|186|194|208|24
1434,RS0001,5135,,processed_data/boundaries/RS0001.geojson,15|20|616|620|668|75|820|821
1456,TK1001,5136,,processed_data/boundaries/TK1001.geojson,911|912|913|914|915|916
1468,TK1019,5137,,processed_data/boundaries/TK1019.geojson,849|946
1471,TK1022,5138,,processed_data/boundaries/TK1022.geojson,942|943|944|945
