hunt_code,residency,points
DA1046,Nonresident,16
DA1046,Nonresident,17
DA1046,Nonresident,18
DA1046,Nonresident,19
DA1046,Nonresident,20
DA1046,Resident,16
DA1046,Resident,17
DA1046,Resident,18
DA1046,Resident,19
DA1046,Resident,20
EA1245,Nonresident,16
EA1245,Nonresident,17
EA1245,Nonresident,18
EA1245,Nonresident,19
EA1245,Nonresident,20
EA1245,Resident,16
EA1245,Resident,17
EA1245,Resident,18
EA1245,Resident,19
EA1245,Resident,20
MA1005,Nonresident,16
MA1005,Nonresident,17
MA1005,Nonresident,18
MA1005,Nonresident,19
MA1005,Nonresident,20
MA1005,Resident,16
MA1005,Resident,17
MA1005,Resident,18
MA1005,Resident,19
MA1005,Resident,20
PD1043,Nonresident,16
PD1043,Nonresident,17
PD1043,Nonresident,18
PD1043,Nonresident,19
PD1043,Nonresident,20
PD1043,Resident,16
PD1043,Resident,17
PD1043,Resident,18
PD1043,Resident,19
PD1043,Resident,20
