hunt_code,year,harvest_permits,draw_total_permits_reconciled,field_permit_gap,overlay_matched_permits,overlay_gap_status,matched_overlay_families,matched_overlay_sources,matched_overlay_areas,max_overlay_match_score,harvest_hunt_name,draw_hunt_name,harvest_species,draw_species,harvest_weapon,draw_weapon
BI6503,2021,18,14,4,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns (hunter's choice),Bison (hunter’s Choice) - Henry Mtns (hunter's Choice) - Any Legal Weapon,Bison,,,
BI6504,2021,15,17,-2,0,NOT_OVERLAY_EXPLAINED_DRAW_GE_HARVEST,,,,,Henry Mtns (hunter's choice),Bison (hunter’s Choice) - Henry Mtns (hunter's Choice) - Any Legal Weapon,Bison,,,
BI6505,2021,14,13,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns (cow only),Bison (cow Only) - Henry Mtns (cow Only) - Any Legal Weapon,Bison,,,
BI6506,2021,13,12,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns (cow only),Bison (cow Only) - Henry Mtns (cow Only) - Any Legal Weapon,Bison,,,
BI6509,2021,7,6,1,0,NO_OVERLAY_MATCH_FOUND,,,,,"Henry Mtns (archery, hunter's choice)",Bison Archery (hunter’s Choice) - Henry Mtns (hunter's Choice) - Archery,Bison,,,
BI6516,2021,15,14,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns (hunter's choice),Bison (hunter’s Choice) - Henry Mtns (hunter's Choice) - Any Legal Weapon,Bison,,,
BI6517,2021,9,5,4,0,NO_OVERLAY_MATCH_FOUND,,,,,Book Cliffs (hunter's choice),Bison (hunter’s Choice) - Book Cliffs (hunter's Choice) - Any Legal Weapon,Bison,,,
BI6519,2021,19,18,1,0,NO_OVERLAY_MATCH_FOUND,,,,,"Book Cliffs, Little Creek Roadless (hunter's choice)","Bison (hunter’s Choice) - Book Cliffs, Little Creek Roadless (hunter's Choice) - Any Legal Weapon",Bison,,,
BI6520,2021,6,3,3,0,NO_OVERLAY_MATCH_FOUND,,,,,Book Cliffs (cow only),Bison (cow Only) - Book Cliffs (cow Only) - Any Legal Weapon,Bison,,,
BI6523,2021,5,3,2,0,NO_OVERLAY_MATCH_FOUND,,,,,"Book Cliffs, Bitter Creek/South (hunter's choice)","Bison (hunter’s Choice) - Book Cliffs, Bitter Creek/south (hunter's Choice) - Any Legal Weapon",Bison,,,
BI6524,2021,18,19,-1,0,NOT_OVERLAY_EXPLAINED_DRAW_GE_HARVEST,,,,,"Book Cliffs, Little Creek Roadless (cow only)","Bison (cow Only) - Book Cliffs, Little Creek Roadless (cow Only) - Any Legal Weapon",Bison,,,
DB1000,2021,11,10,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns,Premium Le Archery Buck Deer - Henry Mtns - Archery,Deer,,,
DB1001,2021,35,23,12,0,NO_OVERLAY_MATCH_FOUND,,,,,Paunsaugunt,Premium Le Archery Buck Deer - Paunsaugunt - Archery,Deer,,,
DB1003,2021,28,12,16,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns,Premium Le Alw (rifle) Buck Deer - Henry Mtns - Any Legal Weapon,Deer,,,
DB1004,2021,86,60,26,0,NO_OVERLAY_MATCH_FOUND,,,,,Paunsaugunt,Premium Le Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Deer,,,
DB1005,2021,12,10,2,0,NO_OVERLAY_MATCH_FOUND,,,,,Henry Mtns,Premium Le Muzzleloader Buck Deer -Henr y Mtns - Muzzleloader,Deer,,,
DB1006,2021,35,17,18,0,NO_OVERLAY_MATCH_FOUND,,,,,Paunsaugunt,Premium Le Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,Deer,,,
DB1010,2021,6,3,3,0,NO_OVERLAY_MATCH_FOUND,,,,,Paunsaugunt (any legal weapon),Management Alw (rifle) Buck Deer - Paunsaugunt - Any Legal Weapon,Deer,,,
DB1011,2021,53,32,21,0,NO_OVERLAY_MATCH_FOUND,,,,,Book Cliffs,Limited-entry Archery Buck Deer - Book Cliffs - Archery,Deer,,,
DB1012,2021,10,7,3,0,NO_OVERLAY_MATCH_FOUND,,,,,"Fillmore, Oak Creek LE","Limited-entry Archery Buck Deer - Fillmore, Oak Creek Le - Archery",Deer,,,
DB1014,2021,13,11,2,0,NO_OVERLAY_MATCH_FOUND,,,,,"San Juan, Elk Ridge","Limited-entry Archery Buck Deer - San Juan, Elk Ridge - Archery",Deer,,,
DB1015,2021,37,14,23,0,NO_OVERLAY_MATCH_FOUND,,,,,"South Slope, Diamond Mtn","Limited-entry Archery Buck Deer - South Slope, Diamond Mtn - Archery",Deer,,,
DB1016,2021,53,26,27,0,NO_OVERLAY_MATCH_FOUND,,,,,"West Desert, Vernon","Limited-entry Archery Buck Deer - West Desert, Vernon - Archery",Deer,,,
DB1017,2021,127,92,35,0,NO_OVERLAY_MATCH_FOUND,,,,,"Book Cliffs, North","Limited-entry Alw (rifle) Buck Deer - Book Cliffs, North - Any Legal Weapon",Deer,,,
DB1018,2021,33,12,21,0,NO_OVERLAY_MATCH_FOUND,,,,,"Book Cliffs, South","Limited-entry Alw (rifle) Buck Deer - Book Cliffs, South - Any Legal Weapon",Deer,,,
DB1019,2021,27,21,6,0,NO_OVERLAY_MATCH_FOUND,,,,,"Fillmore, Oak Creek LE","Limited-entry Alw (rifle) Buck Deer - Fillmore, Oak Creek Le - Any Legal Weapon",Deer,,,
DB1020,2021,12,11,1,0,NO_OVERLAY_MATCH_FOUND,,,,,"La Sal, Dolores Triangle","Limited-entry Alw (rifle) Buck Deer - La Sal, Dolores Triangle - Any Legal Weapon",Deer,,,
DB1022,2021,36,30,6,0,NO_OVERLAY_MATCH_FOUND,,,,,"San Juan, Elk Ridge","Limited-entry Alw (rifle) Buck Deer - San Juan, Elk Ridge - Any Legal Weapon",Deer,,,
DB1023,2021,81,41,40,0,NO_OVERLAY_MATCH_FOUND,,,,,"South Slope, Diamond Mtn","Limited-entry Alw (rifle) Buck Deer - South Slope, Diamond Mtn - Any Legal Weapon",Deer,,,
DB1024,2021,152,75,77,0,NO_OVERLAY_MATCH_FOUND,,,,,"West Desert, Vernon","Limited-entry Alw (rifle) Buck Deer - West Desert, Vernon - Any Legal Weapon",Deer,,,
DB1025,2021,52,36,16,0,NO_OVERLAY_MATCH_FOUND,,,,,Book Cliffs,Limited-entry Muzzleloader Buck Deer - Book Cliffs - Muzzleloader,Deer,,,
DB1026,2021,16,11,5,0,NO_OVERLAY_MATCH_FOUND,,,,,"Cache, Crawford Mtn","Limited-entry Muzzleloader Buck Deer - Cache, Crawford Mtn - Muzzleloader",Deer,,,
DB1027,2021,40,38,2,0,NO_OVERLAY_MATCH_FOUND,,,,,,Limited-entry Muzzleloader Buck Deer - Chalk Creek/east Canyon/morgan-south Rich - Muzzleloader,Deer,,,
DB1029,2021,11,7,4,0,NO_OVERLAY_MATCH_FOUND,,,,,"Fillmore, Oak Creek LE","Limited-entry Muzzleloader Buck Deer - Fillmore, Oak Creek Le - Muzzleloader",Deer,,,
DB1030,2021,14,13,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Kamas,Limited-entry Muzzleloader Buck Deer - Kamas - Muzzleloader,Deer,,,
DB1031,2021,3,4,-1,0,NOT_OVERLAY_EXPLAINED_DRAW_GE_HARVEST,,,,,"La Sal, Dolores Triangle","Limited-entry Muzzleloader Buck Deer - La Sal, Dolores Triangle - Muzzleloader",Deer,,,
DB1032,2021,5,3,2,0,NO_OVERLAY_MATCH_FOUND,,,,,Monroe,Limited-entry Muzzleloader Buck Deer - Monroe - Muzzleloader,Deer,,,
DB1033,2021,8,7,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Nine Mile,Limited-entry Muzzleloader Buck Deer - Nine Mile - Muzzleloader,Deer,,,
DB1034,2021,18,15,3,0,NO_OVERLAY_MATCH_FOUND,,,,,Pine Valley,Limited-entry Muzzleloader Buck Deer - Pine Valley - Muzzleloader,Deer,,,
DB1036,2021,5,2,3,0,NO_OVERLAY_MATCH_FOUND,,,,,"Plateau, Thousand Lakes","Limited-entry Muzzleloader Buck Deer - Plateau, Thousand Lakes - Muzzleloader",Deer,,,
DB1037,2021,12,10,2,0,NO_OVERLAY_MATCH_FOUND,,,,,"San Juan, Elk Ridge","Limited-entry Muzzleloader Buck Deer - San Juan, Elk Ridge - Muzzleloader",Deer,,,
DB1038,2021,29,15,14,0,NO_OVERLAY_MATCH_FOUND,,,,,"South Slope, Diamond Mtn","Limited-entry Muzzleloader Buck Deer - South Slope, Diamond Mtn - Muzzleloader",Deer,,,
DB1039,2021,7,6,1,0,NO_OVERLAY_MATCH_FOUND,,,,,"South Slope, Yellowstone","Limited-entry Muzzleloader Buck Deer - South Slope, Yellowstone - Muzzleloader",Deer,,,
DB1040,2021,5,3,2,0,NO_OVERLAY_MATCH_FOUND,,,,,Southwest Desert,Limited-entry Muzzleloader Buck Deer - Southwest Desert - Muzzleloader,Deer,,,
DB1041,2021,21,12,9,0,NO_OVERLAY_MATCH_FOUND,,,,,"Wasatch Mtns, East","Limited-entry Muzzleloader Buck Deer - Wasatch Mtns, East - Muzzleloader",Deer,,,
DB1042,2021,57,38,19,0,NO_OVERLAY_MATCH_FOUND,,,,,"West Desert, Vernon","Limited-entry Muzzleloader Buck Deer - West Desert, Vernon - Muzzleloader",Deer,,,
DB1048,2021,7,6,1,0,NO_OVERLAY_MATCH_FOUND,,,,,"West Desert, Vernon","Multi-season Limited-entry Buck Deer - West Desert, Vernon - Any Legal Weapon",Deer,,,
DB1053,2021,5,4,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Mt Dutton,Limited-entry Muzzleloader Buck Deer - Mt Dutton - Muzzleloader,Deer,,,
DB1054,2021,12,11,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Ogden,Limited-entry Muzzleloader Buck Deer - Ogden - Muzzleloader,Deer,,,
DB1058,2021,26,29,-3,0,NOT_OVERLAY_EXPLAINED_DRAW_GE_HARVEST,,,,,Paunsaugunt,"Management Alw (rifle) Cactus Buck Deer - Paunsaugunt, Cactus Buck - Any Legal Weapon",Deer,,,
DB1059,2021,5,2,3,0,NO_OVERLAY_MATCH_FOUND,,,,,Beaver,Limited-entry Muzzleloader Buck Deer - Beaver - Muzzleloader,Deer,,,
DB1065,2021,12,11,1,0,NO_OVERLAY_MATCH_FOUND,,,,,North Slope,Limited-entry Muzzleloader Buck Deer - North Slope - Muzzleloader,Deer,,,
DB1073,2021,5,3,2,0,NO_OVERLAY_MATCH_FOUND,,,,,Paunsaugunt (archery),Management Archery Buck Deer - Paunsaugunt - Archery,Deer,,,
DB1074,2021,5,4,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Paunsaugunt (muzzleloader),Management Muzzleloader Buck Deer - Paunsaugunt - Muzzleloader,Deer,,,
DB1077,2021,18,17,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Box Elder,Limited-entry Muzzleloader Buck Deer - Box Elder - Muzzleloader,Deer,,,
DB1078,2021,5,4,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Cache,Limited-entry Muzzleloader Buck Deer - Cache - Muzzleloader,Deer,,,
DB1079,2021,24,18,6,0,NO_OVERLAY_MATCH_FOUND,,,,,"Central Mtns, Manti/San Rafael","Limited-entry Muzzleloader Buck Deer - Central Mtns, Manti/san Rafael - Muzzleloader",Deer,,,
DB1080,2021,19,5,14,0,NO_OVERLAY_MATCH_FOUND,,,,,"Central Mtns, Nebo","Limited-entry Muzzleloader Buck Deer - Central Mtns, Nebo - Muzzleloader",Deer,,,
DB1082,2021,12,11,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Oquirrh-Stansbury,Limited-entry Muzzleloader Buck Deer - Oquirrh-stansbury - Muzzleloader,Deer,,,
DB1083,2021,5,4,1,0,NO_OVERLAY_MATCH_FOUND,,,,,Panguitch Lake,Limited-entry Muzzleloader Buck Deer - Panguitch Lake - Muzzleloader,Deer,,,
DB1084,2021,5,3,2,0,NO_OVERLAY_MATCH_FOUND,,,,,"Plateau, Boulder/Kaiparowits","Limited-entry Muzzleloader Buck Deer - Plateau, Boulder/kaiparowits - Muzzleloader",Deer,,,
