overlay_family,source_file,year_start,year_end,species,area,condition,permit_count,confidence,notes
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Antlerless Elk,Cache,Any Legal Weapon,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Antlerless Elk,Fishlake,Any Legal Weapon,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Antlerless Elk,La Sal,Any Legal Weapon,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Antlerless Elk,Manti,Any Legal Weapon,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Antlerless Elk,Wasatch Mtns,Any Legal Weapon,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Beaver,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,"Book Cliffs, Bitter Creek/South",Multiseason,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,"Book Cliffs, Little Creek Roadless",Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Boulder/Kaiparowits,Multiseason,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Chalk Creek/East Canyon/Morgan-South Rich,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Diamond Mtn/Vernal/Bonanza,Multiseason,2,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Fishlake/Thousand Lakes,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,"Kamas/North Slope, Summit",Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,La Sal,Multiseason,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Manti-North,Multiseason,3,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,"Manti-South/San Rafael, North",Multiseason,3,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Nebo,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Nine Mile,Multiseason,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Panguitch Lake/Zion,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Paunsaugunt,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,San Juan,Multiseason,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Statewide,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,"Wasatch Mtns, Avintaquin/Currant Creek",Multiseason,2,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,"Wasatch Mtns, West-Central",Multiseason,4,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bear,Yellowstone,Multiseason,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
CONSERVATION_2025_2027,pipeline/RAW/hunt_unit_database/2026/reports/conservation_permits_2025_2027_grouped.csv,2025,2027,Bison,"Book Cliffs, Bitter Creek, Hunter's Choice",Any Legal Weapon,1,STRUCTURED_SOURCE,Grouped conservation permit row; count applies to each year in 2025-2027 source window unless later source proves otherwise.
