source_csv,raw_path,raw_exists,raw_size_bytes,raw_rows,raw_columns,has_hunt_code,hunt_codes,reported_hunt_years,model_target_years,top_source_files,species_counts,status
harvest_results_2021_for_2022_mountain_goat.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_mountain_goat.csv,True,8164,17,28,True,17,2021,2022,"{""21_bg_report.pdf"": 17}","{""Mountain Goat"": 17}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_pronghorn.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_pronghorn.csv,True,36352,85,28,True,85,2021,2022,"{""21_bg_report.pdf"": 85}","{""Pronghorn"": 85}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_rocky_mountain_bighorn_sheep.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_rocky_mountain_bighorn_sheep.csv,True,8844,18,28,True,18,2021,2022,"{""21_bg_report.pdf"": 18}","{""Rocky Mountain Bighorn Sheep"": 18}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_summary.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_summary.csv,True,587,11,6,False,0,,,"{""21_bg_report.pdf"": 10, ""21_black_bear_report.pdf"": 1}","{""Antlerless Deer"": 1, ""Antlerless Elk"": 1, ""Bison"": 1, ""Deer"": 1, ""Desert Bighorn Sheep"": 1, ""Elk"": 1, ""Moose"": 1, ""Mountain Goat"": 1}",RAW_GENERATED_CSV_PRESENT
harvest_quality_features_by_hunt_code_2021_for_2022.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_quality_features_by_hunt_code_2021_for_2022.csv,True,183117,974,13,True,974,2021,2022,{},"{""Antlerless Deer"": 27, ""Antlerless Elk"": 186, ""Black Bear"": 91, ""Deer"": 306, ""Desert Bighorn Sheep"": 21, ""Elk"": 172, ""Moose"": 38, ""Pronghorn"": 85}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_all_long.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_all_long.csv,True,449927,1047,28,True,974,2021,2022,"{""21_bg_report.pdf"": 921, ""21_black_bear_report.pdf"": 126}","{""Antlerless Deer"": 27, ""Antlerless Elk"": 186, ""Black Bear"": 126, ""Deer"": 344, ""Desert Bighorn Sheep"": 21, ""Elk"": 172, ""Moose"": 38, ""Pronghorn"": 85}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_antlerless_deer.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_antlerless_deer.csv,True,12779,27,28,True,27,2021,2022,"{""21_bg_report.pdf"": 27}","{""Antlerless Deer"": 27}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_antlerless_elk.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_antlerless_elk.csv,True,84752,186,28,True,186,2021,2022,"{""21_bg_report.pdf"": 186}","{""Antlerless Elk"": 186}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_bison.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_bison.csv,True,6372,13,28,True,13,2021,2022,"{""21_bg_report.pdf"": 13}","{""Bison"": 13}",RAW_GENERATED_CSV_PRESENT
harvest_results_2021_for_2022_black_bear.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2022\csv\harvest_results_2021_for_2022_black_bear.csv,True,58512,126,28,True,91,2021,2022,"{""21_black_bear_report.pdf"": 126}","{""Black Bear"": 126}",RAW_GENERATED_CSV_PRESENT
