source_csv,raw_path,raw_exists,raw_size_bytes,raw_rows,raw_columns,has_hunt_code,hunt_codes,reported_hunt_years,model_target_years,source_classes,species_counts,status
harvest_results_2023_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_ROCKY_MOUNTAIN_BIGHORN_SHEEP_hunt_success.csv,True,8608,14,29,True,14,2023,2024,harvest_results,"{""Rocky Mountain Bighorn Sheep"": 14}",RAW_GENERATED_CSV_PRESENT
harvest_results_2023_species_summary.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_species_summary.csv,True,1344,8,14,False,0,2023,2024,,"{""Bison"": 1, ""Deer"": 1, ""Desert Bighorn Sheep"": 1, ""Elk"": 1, ""Moose"": 1, ""Mountain Goat"": 1, ""Pronghorn"": 1, ""Rocky Mountain Bighorn Sheep"": 1}",RAW_GENERATED_CSV_PRESENT
harvest_location_hunt_code_crosswalk_2023_bighorn_sheep.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_location_hunt_code_crosswalk_2023_bighorn_sheep.csv,True,37311,138,14,True,3,2023,,,"{""Bighorn Sheep"": 138}",RAW_GENERATED_CSV_PRESENT
harvest_quality_features_bighorn_by_hunt_code_2023.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_quality_features_bighorn_by_hunt_code_2023.csv,True,4589,30,18,True,30,2023,2024,,"{""Desert Bighorn Sheep"": 16, ""Rocky Mountain Bighorn Sheep"": 14}",RAW_GENERATED_CSV_PRESENT
harvest_quality_features_by_hunt_code_all_species_2023.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_quality_features_by_hunt_code_all_species_2023.csv,True,142410,592,18,True,592,2023,2024,,"{""Bison"": 18, ""Deer"": 192, ""Desert Bighorn Sheep"": 16, ""Elk"": 211, ""Moose"": 36, ""Mountain Goat"": 17, ""Pronghorn"": 88, ""Rocky Mountain Bighorn Sheep"": 14}",RAW_GENERATED_CSV_PRESENT
harvest_results_2023_all_species_hunt_success_long.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_all_species_hunt_success_long.csv,True,317592,592,29,True,592,2023,2024,harvest_results,"{""Bison"": 18, ""Deer"": 192, ""Desert Bighorn Sheep"": 16, ""Elk"": 211, ""Moose"": 36, ""Mountain Goat"": 17, ""Pronghorn"": 88, ""Rocky Mountain Bighorn Sheep"": 14}",RAW_GENERATED_CSV_PRESENT
harvest_results_2023_bighorn_sheep_hunt_success_aggregate.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_bighorn_sheep_hunt_success_aggregate.csv,True,11281,30,23,True,30,2023,2024,harvest_results,"{""Desert Bighorn Sheep"": 16, ""Rocky Mountain Bighorn Sheep"": 14}",RAW_GENERATED_CSV_PRESENT
harvest_results_2023_bighorn_sheep_measurements_crosswalked.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_bighorn_sheep_measurements_crosswalked.csv,True,93909,138,38,True,3,2023,2024,harvest_measurements,"{""Bighorn Sheep"": 138}",RAW_GENERATED_CSV_PRESENT
harvest_results_2023_BISON_hunt_success.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_BISON_hunt_success.csv,True,9996,18,29,True,18,2023,2024,harvest_results,"{""Bison"": 18}",RAW_GENERATED_CSV_PRESENT
harvest_results_2023_DEER_hunt_success.csv,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\pipeline\RAW\hunt_unit_database\2023\harvest_results_2023_all_species_database\harvest_results_2023_DEER_hunt_success.csv,True,101776,192,29,True,192,2023,2024,harvest_results,"{""Deer"": 192}",RAW_GENERATED_CSV_PRESENT
