reported_hunt_year,hunt_code,species,hunt_name,source_file,classification,review_status
2023,DB1530 BEAVER,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1531 BOX ELDER,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1532 CACHE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1533 CENTRAL MTNS, MANTI/SAN RAFAEL",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1534 CENTRAL MTNS, NEBO",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1536 FILLMORE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1538 KAMAS,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1539 LA SAL, LA SAL MTNS",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1540 MONROE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1541 MT DUTTON,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1542 NINE MILE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1543 NORTH SLOPE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1544 OGDEN,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1545 OQUIRRH-STANSBURY,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1546 PANGUITCH LAKE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1547 PINE VALLEY,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1548 PLATEAU, BOULDER/KAIPAROWITS",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1549 PLATEAU, FISHLAKE",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1550 PLATEAU, THOUSAND LAKES",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1551 SAN JUAN, ABAJO MTNS",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1552 SOUTH SLOPE, BONANZA/VERNAL",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1553 SOUTH SLOPE, YELLOWSTONE",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1554 SOUTHWEST DESERT,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1555 WASATCH MTNS, EAST",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1556 WASATCH MTNS, WEST",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1557 WEST DESERT, TINTIC",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1558 WEST DESERT, WEST",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1559 ZION,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1560 BEAVER,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1561 BOX ELDER,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1562 CACHE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1563 CENTRAL MTNS, MANTI/SAN RAFAEL",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1564 CENTRAL MTNS, NEBO",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1566 FILLMORE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1568 KAMAS,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,"DB1569 LA SAL, LA SAL MTNS",Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1570 MONROE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1571 MT DUTTON,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1572 NINE MILE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1573 NORTH SLOPE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1574 OGDEN,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1575 OQUIRRH-STANSBURY,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1576 PANGUITCH LAKE,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
2023,DB1577 PINE VALLEY,Mule Deer,,23_bg_report.pdf,ENGINE_SUPPLEMENTAL_FEATURE_ROW_NOT_IN_NORMALIZED_TRUTH_FEATURES,KEEP_FOR_ENGINE_CONTEXT_UNLESS_LATER_TRUTH_REVIEW_DEMOTES
