hunt_code,harvest_reported_hunt_year,harvest_permits,harvest_permits_unique,harvest_hunt_name,harvest_row_count,harvest_source_files,same_year_draw_year,same_year_draw_total,same_year_status,same_year_draw_row_count,same_year_draw_by_residency,prior_draw_year_draw_year,prior_draw_year_draw_total,prior_draw_year_status,prior_draw_year_draw_row_count,prior_draw_year_draw_by_residency,next_draw_year_draw_year,next_draw_year_draw_total,next_draw_year_status,next_draw_year_draw_row_count,next_draw_year_draw_by_residency,best_alignment,best_alignment_status
BI6503,2021,18,18,Henry Mtns (hunter's choice),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,14,PERMIT_CONFLICT,52,"{""Nonresident"": ""5"", ""Resident"": ""9""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,21,PERMIT_CONFLICT,55,"{""Nonresident"": ""1"", ""Resident"": ""20""}",same_year,PERMIT_CONFLICT
BI6504,2021,15,15,Henry Mtns (hunter's choice),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,17,PERMIT_CONFLICT,53,"{""Nonresident"": ""15"", ""Resident"": ""2""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,20,PERMIT_CONFLICT,51,"{""Nonresident"": ""3"", ""Resident"": ""17""}",same_year,PERMIT_CONFLICT
BI6505,2021,14,14,Henry Mtns (cow only),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,13,PERMIT_CONFLICT,50,"{""Nonresident"": ""12"", ""Resident"": ""1""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,19,PERMIT_CONFLICT,39,"{""Nonresident"": ""2"", ""Resident"": ""17""}",same_year,PERMIT_CONFLICT
BI6506,2021,13,13,Henry Mtns (cow only),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,12,PERMIT_CONFLICT,50,"{""Nonresident"": ""12"", ""Resident"": ""0""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,18,PERMIT_CONFLICT,38,"{""Nonresident"": ""2"", ""Resident"": ""16""}",same_year,PERMIT_CONFLICT
BI6509,2021,7,7,"Henry Mtns (archery, hunter's choice)",8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,6,PERMIT_CONFLICT,51,"{""Nonresident"": ""6"", ""Resident"": ""0""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,7,PERMIT_MATCH,22,"{""Nonresident"": ""0"", ""Resident"": ""7""}",next_draw_year,PERMIT_MATCH
BI6516,2021,15,15,Henry Mtns (hunter's choice),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,14,PERMIT_CONFLICT,52,"{""Nonresident"": ""13"", ""Resident"": ""1""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,18,PERMIT_CONFLICT,50,"{""Nonresident"": ""2"", ""Resident"": ""16""}",same_year,PERMIT_CONFLICT
BI6517,2021,9,9,Book Cliffs (hunter's choice),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,5,PERMIT_CONFLICT,50,"{""Nonresident"": ""1"", ""Resident"": ""4""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,8,PERMIT_CONFLICT,53,"{""Nonresident"": ""1"", ""Resident"": ""7""}",same_year,PERMIT_CONFLICT
BI6519,2021,19,19,"Book Cliffs, Little Creek Roadless (hunter's choice)",8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,18,PERMIT_CONFLICT,52,"{""Nonresident"": ""8"", ""Resident"": ""10""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,20,PERMIT_CONFLICT,50,"{""Nonresident"": ""2"", ""Resident"": ""18""}",same_year,PERMIT_CONFLICT
BI6520,2021,6,6,Book Cliffs (cow only),8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,3,PERMIT_CONFLICT,50,"{""Nonresident"": ""3"", ""Resident"": ""0""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,4,PERMIT_CONFLICT,38,"{""Nonresident"": ""1"", ""Resident"": ""3""}",same_year,PERMIT_CONFLICT
BI6521,2021,5,5,"Book Cliffs (archery, hunter's choice)",8,21_bg_report.pdf|harvest_quality_features_by_hunt_code_2021_for_2022.csv|harvest_results_2021_for_2022_hunt_code_keyed.csv,2021,5,PERMIT_MATCH,52,"{""Nonresident"": ""4"", ""Resident"": ""1""}",2020,,DRAW_BLANK_HARVEST_AVAILABLE,0,{},2022,5,PERMIT_MATCH,44,"{""Nonresident"": ""1"", ""Resident"": ""4""}",same_year,PERMIT_MATCH
