hunt_code,boundary_id,hunt_name,species,sex_type,weapon,hunt_type,hunt_class,in_hunt_research_summary,harvest_feature_match,harvest_feature_match_method,harvest_feature_data_quality_grade,harvest_feature_source_years,historical_harvest_year_count,historical_metric_nonblank_counts,safe_display_fields_present,safe_model_feature_fields_present,forbidden_fields_to_leave_unchanged,harvest_quality_index,demand_pressure_signal,demand_pressure_category,point_creep_quality_adjustment,harvest_success_3yr_avg,average_age_3yr_avg,harvest_feature_reason_codes,promotion_status,promotion_decision,promotion_notes
BI1000,5000,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,Statewide Permit,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,B,2022|2025,2,"{""average_days"": 9, ""harvest_total"": 9, ""hunters_afield"": 9, ""percent_success"": 7}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",98.718,98.718,HIGH_DEMAND_SIGNAL,0.25,100,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED|SPARSE_HISTORY,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6500,1,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2022|2023|2025,3,"{""average_days"": 22, ""harvest_total"": 22, ""hunters_afield"": 22, ""percent_success"": 20}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",98.889,73.007,HIGH_DEMAND_SIGNAL,0.1,100,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6503,94,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,5,"{""average_days"": 50, ""harvest_total"": 52, ""hunters_afield"": 52, ""percent_success"": 48}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",80.455,82.332,HIGH_DEMAND_SIGNAL,0.25,65.867,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6504,94,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,5,"{""average_days"": 50, ""harvest_total"": 52, ""hunters_afield"": 52, ""percent_success"": 48}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",78.867,80.878,HIGH_DEMAND_SIGNAL,0.25,64.267,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6505,94,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,5,"{""average_days"": 50, ""harvest_total"": 52, ""hunters_afield"": 52, ""percent_success"": 48}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",67.92,73.962,HIGH_DEMAND_SIGNAL,0.1,47.9,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6506,94,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,Antlerless,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,5,"{""average_days"": 50, ""harvest_total"": 52, ""hunters_afield"": 52, ""percent_success"": 48}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",74.748,77.764,HIGH_DEMAND_SIGNAL,0.25,61.467,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6509,94,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,Once-in-a-lifetime,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,5,"{""average_days"": 50, ""harvest_total"": 52, ""hunters_afield"": 52, ""percent_success"": 48}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",60.415,60.666,MODERATE_DEMAND_SIGNAL,0,23.567,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6516,94,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,Once-in-a-lifetime,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,5,"{""average_days"": 50, ""harvest_total"": 52, ""hunters_afield"": 52, ""percent_success"": 48}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",81.178,82.79,HIGH_DEMAND_SIGNAL,0.25,61.933,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6527,615,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,General Season,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2022|2024|2025,4,"{""average_days"": 43, ""harvest_total"": 45, ""hunters_afield"": 45, ""percent_success"": 41}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",56.333,44.275,MODERATE_DEMAND_SIGNAL,0,38.667,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
BI6528,889,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,Once-in-a-lifetime,TRUE,TRUE,EXACT_HUNT_CODE_HISTORY,A,2023|2024|2025,4,"{""average_days"": 46, ""harvest_total"": 48, ""hunters_afield"": 48, ""percent_success"": 44}","harvest_success_recent,harvest_success_3yr_avg,hunter_effort_days_recent,hunter_effort_days_3yr_avg,harvest_recent,harvest_3yr_avg,hunters_afield_recent,hunters_afield_3yr_avg,harvest_quality_index,demand_pressure_signal,demand_pressure_category","harvest_quality_index,demand_pressure_signal,point_creep_quality_adjustment,harvest_success_3yr_avg,harvest_success_trend_direction,hunter_effort_days_3yr_avg,harvest_3yr_avg,hunters_afield_3yr_avg","p_draw,p_draw_pct,display_odds_pct,p_max_pool_mean,p_random_pool,permits_2026_res,permits_2026_nr,permits_2026_total,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,max_point_permits_2026,random_permits_2026",84.844,82.868,HIGH_DEMAND_SIGNAL,0.25,67.667,,DO_NOT_USE_FOR_2026_QUOTA|DO_NOT_USE_FOR_P_DRAW|HARVEST_QUALITY_SIGNAL_ONLY|NO_AVERAGE_AGE|QUALITY_INDEX_COMPONENT_REWEIGHTED,READY_FOR_HUNT_RESEARCH_CONTEXT,PROMOTE_CONTEXT_ONLY,Safe for Hunt Research quality/context display and demand-feature modeling; not allowed to mutate odds or quotas.
