table,reported_hunt_year,source_file,source_filename_years,row_count,classification,review_status
harvest_truth_long,2021,harvest_quality_features_by_hunt_code_2021_for_2022.csv,2021|2022,1948,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_long,2021,harvest_results_2021_for_2022_hunt_code_keyed.csv,2021|2022,1948,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_long,2022,harvest_quality_features_by_hunt_code_2022_for_2023.csv,2022|2023,1848,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_long,2023,2024_antlerless_hr.csv,2024,225,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_long,2025,2026-03-06-2025-preliminary-bg-harvest.xlsx,2025|2026,10080,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_features,2021,harvest_results_2021_for_2022_hunt_code_keyed.csv,2021|2022,974,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_features,2023,2024_antlerless_hr.csv,2024,48,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_truth_features,2025,2026-03-06-2025-preliminary-bg-harvest.xlsx,2025|2026,1120,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_long,2021,harvest_quality_features_by_hunt_code_2021_for_2022.csv,2021|2022,1948,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_long,2021,harvest_results_2021_for_2022_hunt_code_keyed.csv,2021|2022,1948,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_long,2022,harvest_quality_features_by_hunt_code_2022_for_2023.csv,2022|2023,1848,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_long,2023,2024_antlerless_hr.csv,2024,225,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_long,2025,2026-03-06-2025-preliminary-bg-harvest.xlsx,2025|2026,10080,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_features,2021,harvest_results_2021_for_2022_hunt_code_keyed.csv,2021|2022,974,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_features,2023,2024_antlerless_hr.csv,2024,48,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_features,2025,2026-03-06-2025-preliminary-bg-harvest.pdf,2025|2026,1114,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
harvest_model_features,2025,2026-03-06-2025-preliminary-bg-harvest.xlsx,2025|2026,6,PUBLICATION_DATE_AFTER_HUNT_YEAR,EXPECTED_IF_SOURCE_TITLE_CONFIRMS_PRIOR_HARVEST_YEAR
