path,local_exists,local_size_bytes,row_count,column_count,hunt_codes,stub_hint,manifest_key,manifest_classification,manifest_used_by_frontend,manifest_served_live,manifest_size_bytes,canonical_url,remote_status,remote_size_bytes,manifest_size_matches_remote,remote_etag,remote_error,engine_groups,consumer_modules,classification,recommendation
data_model/harvest_quality/harvest_feature_model_by_hunt_code_2026.csv,True,462884,1471,30,1471,False,,,,,,,,,,,,harvest_quality|utah_predictive_mixed,engine.utah.quality.materialize_harvest_feature_model|engine.utah_predictive_mixed.materialize,LOCAL_MODEL_FEEDER_AUTHORITATIVE,"Harvest model feeder is a local generated model input/output, not R2 runtime canonical."
data_model/harvest_quality/harvest_quality_features_all_years_by_hunt_code.csv,True,2087901,5570,35,1561,False,,,,,,,,,,,,harvest_quality,engine.utah.quality.materialize_harvest_feature_model,LOCAL_MODEL_FEEDER_AUTHORITATIVE,"Harvest model feeder is a local generated model input/output, not R2 runtime canonical."
data_model/harvest_quality/harvest_results_all_years_long.csv,True,24881298,68657,35,1424,False,,,,,,,,,,,,harvest_quality,engine.utah.quality.materialize_harvest_feature_model,LOCAL_MODEL_FEEDER_AUTHORITATIVE,"Harvest model feeder is a local generated model input/output, not R2 runtime canonical."
data_model/quality/promoted_draw_sources.csv,True,76852,204,12,0,False,,,,,,,,,,,,harvest_quality,engine.utah.quality.*,LOCAL_ENGINE_FEEDER_AUTHORITATIVE,Engine contract references this generated local feeder.
data_model/quality/promoted_quality_sources.csv,True,100536,253,12,0,False,,,,,,,,,,,,harvest_quality,engine.utah.quality.*,LOCAL_ENGINE_FEEDER_AUTHORITATIVE,Engine contract references this generated local feeder.
data_model/quality/raw_pdf_inventory_audit.csv,True,544937,1286,16,0,False,,,,,,,,,,,,harvest_quality,engine.utah.quality.*,LOCAL_ENGINE_FEEDER_AUTHORITATIVE,Engine contract references this generated local feeder.
data_model/runtime_drafts/mixed_predictive_engine_2026.audit.csv,True,13731420,27822,7,1006,False,,,,,,,,,,,,,,LOCAL_RUNTIME_DRAFT_AUTHORITATIVE,Runtime draft output is local authoritative until promoted/published.
data_model/runtime_drafts/mixed_predictive_engine_2026.materialized.csv,True,42943037,26389,173,864,False,,,,,,,,,,,,,,LOCAL_RUNTIME_DRAFT_AUTHORITATIVE,Runtime draft output is local authoritative until promoted/published.
data_model/runtime_drafts/mixed_predictive_engine_2026.predictions.csv,True,47860018,27822,181,1006,False,,,,,,,,,,,,,,LOCAL_RUNTIME_DRAFT_AUTHORITATIVE,Runtime draft output is local authoritative until promoted/published.
data_model/runtime_drafts/predictive_bonus_engine_2026.audit.csv,True,169464,756,22,452,False,,,,,,,,,,,,utah_bonus_predictive_skip_upstream,engine.utah_bonus_predictive.materialize --skip-upstream,LOCAL_RUNTIME_DRAFT_AUTHORITATIVE,Runtime draft output is local authoritative until promoted/published.
