source_file,output_file,source_pages,output_pages,cover_pages_removed,output_bytes
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\rm  sheep non res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__rm_sheep_non_res__UOGA_FORMATTED.pdf,32,32,0,1036125
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\rm sheep res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__rm_sheep_res__UOGA_FORMATTED.pdf,33,32,1,1261242
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\bison non res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__bison_non_res__UOGA_FORMATTED.pdf,35,34,1,1072593
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\bison res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__bison_res__UOGA_FORMATTED.pdf,35,34,1,1336747
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\black bear pursuit res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__black_bear_pursuit_res__UOGA_FORMATTED.pdf,10,10,0,316063
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\deer  buck non res l.e..pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__deer_buck_non_res_l_e__UOGA_FORMATTED.pdf,386,386,0,10817747
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\des sheep nr.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__des_sheep_nr__UOGA_FORMATTED.pdf,39,38,1,1227672
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\desert sheep res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__desert_sheep_res__UOGA_FORMATTED.pdf,39,38,1,1491471
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\goat non res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__goat_non_res__UOGA_FORMATTED.pdf,37,36,1,1121215
C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\goat res.pdf,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\output\pdf\2026_formatted_like_bison_cow_only\2026_PERMITS_2027_MODEL__goat_res__UOGA_FORMATTED.pdf,37,36,1,996150
