hunt_code,blank_count
DA1001,34
DA1002,34
DA1003,34
DA1009,34
DA1011,34
DA1012,34
DA1013,34
DA1018,34
DA1027,34
DA1030,34
DA1031,34
DA1033,34
DA1041,34
DA1042,34
EA1010,34
EA1011,34
EA1012,34
EA1013,34
EA1015,34
EA1017,34
EA1018,34
EA1020,34
EA1021,34
EA1022,34
EA1023,34
EA1024,34
EA1025,34
EA1026,34
EA1030,34
EA1031,34
EA1033,34
EA1035,34
EA1037,34
EA1038,34
EA1039,34
EA1044,34
EA1049,34
EA1054,34
EA1056,34
EA1058,34
EA1060,34
EA1061,34
EA1063,34
EA1064,34
EA1069,34
EA1073,34
EA1075,34
EA1076,34
EA1077,34
EA1078,34
EA1079,34
EA1080,34
EA1081,34
EA1085,34
EA1087,34
EA1089,34
EA1090,34
EA1094,34
EA1101,34
EA1110,34
EA1111,34
EA1112,34
EA1113,34
EA1114,34
EA1117,34
EA1118,34
EA1119,34
EA1120,34
EA1121,34
EA1122,34
EA1124,34
EA1125,34
EA1129,34
EA1130,34
EA1131,34
EA1132,34
EA1134,34
EA1135,34
EA1136,34
EA1137,34
EA1138,34
EA1139,34
EA1140,34
EA1141,34
EA1142,34
EA1143,34
EA1145,34
EA1146,34
EA1147,34
EA1149,34
EA1151,34
EA1153,34
EA1156,34
EA1157,34
EA1158,34
EA1159,34
EA1160,34
EA1161,34
EA1162,34
EA1163,34
