column,before_blank_count,after_blank_count,filled_count
source_year,0,0,0
year,0,0,0
actual_draw_year,0,0,0
model_year,0,0,0
model_target_year,0,0,0
truth_year,0,0,0
permits_year,0,0,0
source_scope,0,0,0
source_namespace,0,0,0
draw_source_namespace,0,0,0
source_file,0,0,0
draw_source_file,0,0,0
source_path,66945,66945,0
source_pdf,0,0,0
pdf_page,0,0,0
official_page,0,0,0
page_kind,66945,0,66945
hunt_code,0,0,0
hunt_name,0,0,0
raw_hunt_name,0,0,0
unit,66945,66945,0
species,0,0,0
sex,686,686,0
sex_type,686,686,0
draw_design,8704,4658,4046
weapon,1008,1008,0
hunt_draw_class,0,0,0
hunt_type,0,0,0
hunt_class,0,0,0
season,66945,66945,0
residency,0,0,0
points,0,0,0
eligible_applicants,0,0,0
bonus_permits,0,0,0
regular_permits,11,11,0
total_permits,0,0,0
success_ratio,58125,58125,0
p_draw,48139,48139,0
p_draw_percent,48139,48139,0
row_type,0,0,0
record_type,0,0,0
successful_applicants,66945,66945,0
unsuccessful_applicants,66945,66945,0
boundary_id,8619,8619,0
candidate_promotion_status,0,0,0
algorithm_status,0,0,0
source_dataset,0,0,0
extraction_status,0,0,0
parse_method,66945,0,66945
qa_status,0,0,0
qa_notes,0,0,0
notes,66945,66945,0
permits_year_res,56,56,0
permits_year_nr,26883,56,26827
permits_year_total,56,56,0
