hunt_code,hunt_line,parsed_unit,parsed_unit_norm,source_pdf,pdf_page
GO6800,Hunt: GO6800 Mountain Goat - Beaver - Any Legal Weapon Page 386,Beaver,beaver,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,1
GO6801,Hunt: GO6801 Mountain Goat - Beaver - Any Legal Weapon Page 387,Beaver,beaver,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,2
GO6803,"Hunt: GO6803 Mountain Goat - Central Mtns, Nebo - Any Legal Weapon Page 388","Central Mtns, Nebo",central mtns nebo,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,3
GO6804,"Hunt: GO6804 Mountain Goat - Chalk Creek/kamas, Uintas - Any Legal Weapon Page 389","Chalk Creek/kamas, Uintas",chalk creek kamas uintas,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,4
GO6805,"Hunt: GO6805 Mountain Goat - North Slope/south Slope, High Uintas Central - Any Legal Weapon Page 390","North Slope/south Slope, High Uintas Central",north slope south slope high uintas central,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,5
GO6806,"Hunt: GO6806 Mountain Goat - North Slope/south Slope, High Uintas East - Any Legal Weapon Page 391","North Slope/south Slope, High Uintas East",north slope south slope high uintas east,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,6
GO6807,"Hunt: GO6807 Mountain Goat - North Slope/south Slope, High Uintas Leidy Peak - Any Legal Weapon Page 392","North Slope/south Slope, High Uintas Leidy Peak",north slope south slope high uintas leidy peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,7
GO6808,"Hunt: GO6808 Mountain Goat - North Slope/south Slope, High Uintas West - Any Legal Weapon Page 393","North Slope/south Slope, High Uintas West",north slope south slope high uintas west,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,8
GO6809,"Hunt: GO6809 Mountain Goat - Ogden, Willard Peak - Any Legal Weapon Page 394","Ogden, Willard Peak",ogden willard peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,9
GO6810,"Hunt: GO6810 Mountain Goat - Ogden, Willard Peak - Any Legal Weapon Page 395","Ogden, Willard Peak",ogden willard peak,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,10
GO6811,"Hunt: GO6811 Mountain Goat - Ogden, Willard Peak (female Goat Only) - Any Legal Weapon Page 396","Ogden, Willard Peak (female Goat Only)",ogden willard peak female goat only,data_truth\draw_results_truth\raw_pdfs\2019_PERMITS=2020_MODEL\2019_PERMITS=2020_MODEL__0.I.L MOUNTAIN GOAT DRAW RESULTS.pdf,11
