record_kind,source_dataset,reported_draw_year,model_target_year,source_record_id,candidate_promotion_status,candidate_promotion_reason,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,database_hunt_code_status,database_boundary_id,database_hunt_name,database_species,database_sex_type,database_weapon,database_hunt_type,hunt_name,raw_hunt_name,species,sex_type,hunt_type,hunt_class,weapon,season,year,draw_pool,draw_method,residency,points,eligible_applicants,bonus_permits,preference_permits,regular_permits,total_permits,total_drawn,success_ratio,p_draw_percent,source_file,source_path,source_file_path,source_sha256,page_number,source_pdf_page,pdf_page_number,source_report_page,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,total_public_permits,total_public_draw_permits,total_quota,source_family,source_classification,source_class,validation_status,normalization_status,database_permits_2025_draw_total,database_permits_2025_total,draw_type,status,reference_match_status,metadata_status,missing_required_metadata,hunt_name_source,boundary_id_source,species_source,sex_type_source,hunt_type_source,weapon_source,hunt_class_source,season_source,database_2026_match,hunt_master_enriched_match,required_metadata_complete,database_truth_match,normalized_family,normalized_species_family,normalized_age_class,normalized_antlerless_family,actual_draw_year,source_report_family
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::DB0007,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,DB0007,,,,,,,,,,,,,Sportsman Buck Deer,Sportsman Buck Deer,Deer,Buck,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,15826,0,,1,1,1,1 in 15826.0,0.00631872,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,1,1,1,1,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,DEER,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::EB1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,EB1000,,,,,,,,,,,,,Sportsman Bull Elk,Sportsman Bull Elk,Elk,Bull,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,16001,0,,1,1,1,1 in 16001.0,0.00624961,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,2,2,2,2,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,ELK,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::PB1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,PB1000,,,,,,,,,,,,,Sportsman Buck Pronghorn,Sportsman Buck Pronghorn,Pronghorn,Buck,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,6415,0,,1,1,1,1 in 6415.0,0.01558846,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,3,3,3,3,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,PRONGHORN,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::MB1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,MB1000,,,,,,,,,,,,,Sportsman Bull Moose,Sportsman Bull Moose,Moose,Bull,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,9193,0,,1,1,1,1 in 9193.0,0.01087784,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,4,4,4,4,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,MOOSE,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::BI1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,BI1000,,,,,,,,,,,,,Sportsman Bison,Sportsman Bison,Bison,Either Sex,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,7893,0,,1,1,1,1 in 7893.0,0.01266945,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,5,5,5,5,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,BISON,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::RS0001,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,RS0001,,,,,,,,,,,,,Sportsman Rocky Mountain Bighorn Sheep,Sportsman Rocky Mountain Bighorn Sheep,Rocky Mountain Bighorn Sheep,Ram,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,7220,0,,1,1,1,1 in 7220.0,0.01385042,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,6,6,6,6,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,ROCKY_MOUNTAIN_BIGHORN_SHEEP,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::DS1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,DS1000,,,,,,,,,,,,,Sportsman Desert Bighorn Sheep,Sportsman Desert Bighorn Sheep,Desert Bighorn Sheep,Ram,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,7132,0,,1,1,1,1 in 7132.0,0.01402131,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,7,7,7,7,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,DESERT_BIGHORN_SHEEP,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::GO1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,GO1000,,,,,,,,,,,,,Sportsman Mountain Goat,Sportsman Mountain Goat,Mountain Goat,Either Sex,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,5675,0,,1,1,1,1 in 5675.0,0.01762115,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,8,8,8,8,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,MOUNTAIN_GOAT,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::BR1000,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,BR1000,,,,,,,,,,,,,Sportsman Black Bear,Sportsman Black Bear,Black Bear,Either Sex,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,3490,0,,1,1,1,1 in 3490.0,0.02865330,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,9,9,9,9,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,BLACK_BEAR,ADULT,,2025,SPORTSMAN
SPORTSMAN_TOTAL,official_2025_sportsman_pdf_truth,2025,2026,2025_SPORTSMAN::TK0001,PDF_GROUNDED_PROMOTED_CANDIDATE,Added source-backed 2025 Sportsman separate-lane total row; not an ordinary point-ladder prediction row.,TK0001,,,,,,,,,,,,,Sportsman Bearded Turkey,Sportsman Bearded Turkey,Turkey,Bearded,Sportsman,Sportsman,Any Legal Weapon,,2025,sportsman,SPORTSMAN_RANDOM_ONLY,Resident,,1922,0,,1,1,1,1 in 1922.0,0.05202914,2025_PERMITS=2026_MODEL__SPORTSMAN PERMITS DRAW RESULTS.pdf,,,,10,10,10,10,,,,,,,,,,,,SPORTSMAN,SPORTSMAN,SPORTSMAN,OK,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,SPORTSMAN_SEPARATE_LANE_ADDED_2025,,,,,,,,,,,,,,SPORTSMAN_RANDOM_ONLY,TURKEY,ADULT,,2025,SPORTSMAN
