slug,key,different_columns,live_participant_count,previous_participant_count,live_successful_count,previous_successful_count,live_successful_by_regular_round_count,previous_successful_by_regular_round_count,live_successful_by_max_point_round_count,previous_successful_by_max_point_round_count,live_hunt_name,previous_hunt_name,live_hunt_category_name,previous_hunt_category_name,live_species_subtype_name,previous_species_subtype_name
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|8,participant_count,258,254,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|9,participant_count,167,165,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|19,participant_count,35,34,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|4,participant_count,1487,1447,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|15,participant_count,22,21,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|9,participant_count,584,576,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|1,participant_count,4590,4410,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|3,participant_count,2148,2095,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|11,participant_count,66,64,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|4,participant_count,1599,1574,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|1,participant_count,2229,2188,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|3,participant_count,1771,1735,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|11,participant_count,299,295,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|5,participant_count,936,922,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|16,participant_count,128,126,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|7,participant_count,361,356,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|10,participant_count,391,380,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|0,participant_count,5779,5390,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|8,participant_count,782,768,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|5,participant_count,1456,1437,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|7,participant_count,965,963,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|14,participant_count,57,56,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|1|False|2,participant_count,3064,2971,,,,,,,,,,,,
2026_big_game_05_general_season_buck_deer,1948|GDR|2|False|15,participant_count,375,373,,,,,,,,,,,,
