year,family,title,url,official_basename
2025,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/25_drawing_odds.pdf,25_drawing_odds.pdf
2024,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/24_drawing_odds.pdf,24_drawing_odds.pdf
2023,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/23_drawing_odds.pdf,23_drawing_odds.pdf
2022,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/22_drawing_odds.pdf,22_drawing_odds.pdf
2021,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/21_drawing_odds.pdf,21_drawing_odds.pdf
2020,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/20_drawing_odds.pdf,20_drawing_odds.pdf
2019,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/19_drawing_odds.pdf,19_drawing_odds.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/18_drawing_odds.pdf,18_drawing_odds.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/17_drawing_odds.pdf,17_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/17_bonus_points.pdf,17_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/16_drawing_odds.pdf,16_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/16_bonus_points.pdf,16_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/15_drawing_odds.pdf,15_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/15_bonus_points.pdf,15_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/14_drawing_odds.pdf,14_drawing_odds.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/13_drawing_odds.pdf,13_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/13_bonus_points.pdf,13_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/12_drawing_odds.pdf,12_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/12_bonus_points.pdf,12_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/11_drawing_odds.pdf,11_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/11_bonus_points.pdf,11_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/10_drawing_odds.pdf,10_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/10_bonus_points.pdf,10_bonus_points.pdf
,BEAR,Drawing odds,https://wildlife.utah.gov/pdf/bear/09_drawing_odds.pdf,09_drawing_odds.pdf
,BEAR,Bonus point results,https://wildlife.utah.gov/pdf/bear/09_bonus_points.pdf,09_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2023_cougar_odds_report.pdf,2023_cougar_odds_report.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2022_cougar_odds_report.pdf,2022_cougar_odds_report.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2021_cougar_odds_report.pdf,2021_cougar_odds_report.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2020_cougar_odds_report.pdf,2020_cougar_odds_report.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2019_cougar_odds_report.pdf,2019_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2018_cougar_bonus_points.pdf,2018_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2018_cougar_odds_report.pdf,2018_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2017_cougar_bonus_points.pdf,2017_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2017_cougar_odds_report.pdf,2017_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2016_cougar_bonus_points.pdf,2016_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2016_cougar_odds_report.pdf,2016_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2015_cougar_bonus_points.pdf,2015_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2015_cougar_odds_report.pdf,2015_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2014_cougar_bonus_points.pdf,2014_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2014_cougar_odds_report.pdf,2014_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2013_cougar_bonus_points.pdf,2013_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2013_cougar_odds_report.pdf,2013_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2012_cougar_bonus_points.pdf,2012_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2012_cougar_odds_report.pdf,2012_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2011_cougar_bonus_points.pdf,2011_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2011_cougar_odds_report.pdf,2011_cougar_odds_report.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2010_cougar_bonus_points.pdf,2010_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2010_cougar_odds.pdf,2010_cougar_odds.pdf
,COUGAR,Purchase point results,https://wildlife.utah.gov/pdf/cougar/2010_cougar_purchase_points.pdf,2010_cougar_purchase_points.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2009_cougar_bonus_points.pdf,2009_cougar_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2009_cougar_draw_odds.pdf,2009_cougar_draw_odds.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2008_bonus_points.pdf,2008_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2008_draw_odds.pdf,2008_draw_odds.pdf
,COUGAR,Bonus point results,https://wildlife.utah.gov/pdf/cougar/2007_bonus_points.pdf,2007_bonus_points.pdf
,COUGAR,Drawing odds,https://wildlife.utah.gov/pdf/cougar/2007_draw_odds.pdf,2007_draw_odds.pdf
,TURKEY,Drawing results and bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf,2025_turkey_bonus_points_draw_results.pdf
,TURKEY,Youth drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf,2025_youth_turkey_draw_results.pdf
,TURKEY,Drawing results and bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf,2024_turkey_bonus_points_draw_results.pdf
,TURKEY,Youth drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_youth_turkey_draw_results.pdf,2024_youth_turkey_draw_results.pdf
,TURKEY,Drawing results and bonus point purchase results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_turkey_bonus_points_draw_results.pdf,2023_turkey_bonus_points_draw_results.pdf
,TURKEY,Youth drawing results,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_youth_turkey_draw_results.pdf,2023_youth_turkey_draw_results.pdf
