year,title,url,official_basename
2025,General-season buck deer draw results,https://wildlife.utah.gov/pdf/bg/2025/25_deer_odds.pdf,25_deer_odds.pdf
2025,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2025/25_lifetime_deer.pdf,25_lifetime_deer.pdf
2025,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2025/25_youth_deer.pdf,25_youth_deer.pdf
2025,Youth draw-only elk draw results,https://wildlife.utah.gov/pdf/bg/2025/25_youth_elk.pdf,25_youth_elk.pdf
2025,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2025/25_bg-odds.pdf,25_bg-odds.pdf
2025,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2025/25_antlerless_drawing_odds_report.pdf,25_antlerless_drawing_odds_report.pdf
2025,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2025/25_youth_antlerless_drawing_odds_report.pdf,25_youth_antlerless_drawing_odds_report.pdf
2025,Big game and antlerless bonus and preference point purchase results,https://wildlife.utah.gov/pdf/bg/2025/25_point-only_purchases_for_big_game_and_antlerless.pdf,25_point-only_purchases_for_big_game_and_antlerless.pdf
2025,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2025/25_dh_odds.pdf,25_dh_odds.pdf
2025,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2025/25_youth_dh_odds.pdf,25_youth_dh_odds.pdf
2024,General-season buck deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_deer_odds.pdf,24_deer_odds.pdf
2024,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_lifetime_deer.pdf,24_lifetime_deer.pdf
2024,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_deer.pdf,24_youth_deer.pdf
2024,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_elk.pdf,24_youth_elk.pdf
2024,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2024/24_bg-odds.pdf,24_bg-odds.pdf
2024,Antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2024/24_antlerless_drawing_odds_report.pdf,24_antlerless_drawing_odds_report.pdf
2024,Youth antlerless big game draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_antlerless_drawing_odds_report.pdf,24_youth_antlerless_drawing_odds_report.pdf
2024,Big game and antlerless bonus and preference point purchase results,https://wildlife.utah.gov/pdf/bg/2024/24_point-only_purchases_for_big_game_and_antlerless.pdf,24_point-only_purchases_for_big_game_and_antlerless.pdf
2024,Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_dh_odds.pdf,24_dh_odds.pdf
2024,Youth Dedicated Hunter deer draw results,https://wildlife.utah.gov/pdf/bg/2024/24_youth_dh_odds.pdf,24_youth_dh_odds.pdf
2024,Sportsman draw odds report,https://wildlife.utah.gov/pdf/bg/2024/24-25_sportsman_odds.pdf,24-25_sportsman_odds.pdf
2023,General-season deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_deer_odds.pdf,23_deer_odds.pdf
2023,Lifetime general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_lifetime_deer.pdf,23_lifetime_deer.pdf
2023,Youth general-season deer draw results,https://wildlife.utah.gov/pdf/bg/2023/23_youth_deer.pdf,23_youth_deer.pdf
2023,Youth draw-only elk bonus point draw results,https://wildlife.utah.gov/pdf/bg/2023/23_youth_elk.pdf,23_youth_elk.pdf
2023,Big game limited-entry & once-in-a-lifetime draw results,https://wildlife.utah.gov/pdf/bg/2023/23_bg-odds.pdf,23_bg-odds.pdf
