key,hunt_code,residency,draw_pool,points,eligible_applicants,total_drawn,source_file
2026|2027|BI1000|Resident|sportsman|0,BI1000,Resident,sportsman,0,7893,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Bison
2026|2027|BR1000|Resident|sportsman|0,BR1000,Resident,sportsman,0,3490,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Black Bear
2026|2027|DB0007|Resident|sportsman|0,DB0007,Resident,sportsman,0,15826,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Deer
2026|2027|DS1000|Resident|sportsman|0,DS1000,Resident,sportsman,0,7132,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Desert Bighorn Sheep
2026|2027|EB1000|Resident|sportsman|0,EB1000,Resident,sportsman,0,16001,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Elk
2026|2027|GO1000|Resident|sportsman|0,GO1000,Resident,sportsman,0,5675,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Mountain Goat
2026|2027|MB1000|Resident|sportsman|0,MB1000,Resident,sportsman,0,9193,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Moose
2026|2027|PB1000|Resident|sportsman|0,PB1000,Resident,sportsman,0,6415,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Pronghorn
2026|2027|RS0001|Resident|sportsman|0,RS0001,Resident,sportsman,0,7220,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Rocky Mtn Bighorn Sheep
2026|2027|TK0001|Resident|sportsman|0,TK0001,Resident,sportsman,0,1922,1,UtahDraws live DrawOddsData: Sportsman:Sportsman Turkey
2026|2027|TK1003|Nonresident|youth_turkey|0,TK1003,Nonresident,youth_turkey,0,0,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1003|Nonresident|youth_turkey|1,TK1003,Nonresident,youth_turkey,1,1,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1003|Resident|youth_turkey|0,TK1003,Resident,youth_turkey,0,233,18,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1003|Resident|youth_turkey|1,TK1003,Resident,youth_turkey,1,108,27,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1003|Resident|youth_turkey|2,TK1003,Resident,youth_turkey,2,41,9,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1003|Resident|youth_turkey|3,TK1003,Resident,youth_turkey,3,30,30,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1003|Resident|youth_turkey|4,TK1003,Resident,youth_turkey,4,6,6,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1004|Nonresident|youth_turkey|0,TK1004,Nonresident,youth_turkey,0,0,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1004|Resident|youth_turkey|0,TK1004,Resident,youth_turkey,0,99,24,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1004|Resident|youth_turkey|1,TK1004,Resident,youth_turkey,1,28,15,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1004|Resident|youth_turkey|2,TK1004,Resident,youth_turkey,2,10,10,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1004|Resident|youth_turkey|3,TK1004,Resident,youth_turkey,3,3,3,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1005|Nonresident|youth_turkey|0,TK1005,Nonresident,youth_turkey,0,1,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1005|Resident|youth_turkey|0,TK1005,Resident,youth_turkey,0,118,33,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1005|Resident|youth_turkey|1,TK1005,Resident,youth_turkey,1,51,27,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1005|Resident|youth_turkey|2,TK1005,Resident,youth_turkey,2,14,14,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1005|Resident|youth_turkey|3,TK1005,Resident,youth_turkey,3,0,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1005|Resident|youth_turkey|4,TK1005,Resident,youth_turkey,4,1,1,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1006|Nonresident|youth_turkey|0,TK1006,Nonresident,youth_turkey,0,3,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1006|Nonresident|youth_turkey|1,TK1006,Nonresident,youth_turkey,1,2,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1006|Resident|youth_turkey|0,TK1006,Resident,youth_turkey,0,61,8,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1006|Resident|youth_turkey|1,TK1006,Resident,youth_turkey,1,32,10,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1006|Resident|youth_turkey|2,TK1006,Resident,youth_turkey,2,12,12,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1006|Resident|youth_turkey|3,TK1006,Resident,youth_turkey,3,7,7,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1007|Nonresident|youth_turkey|0,TK1007,Nonresident,youth_turkey,0,10,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1007|Nonresident|youth_turkey|1,TK1007,Nonresident,youth_turkey,1,4,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1007|Resident|youth_turkey|0,TK1007,Resident,youth_turkey,0,246,20,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1007|Resident|youth_turkey|1,TK1007,Resident,youth_turkey,1,108,20,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1007|Resident|youth_turkey|2,TK1007,Resident,youth_turkey,2,66,24,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1007|Resident|youth_turkey|3,TK1007,Resident,youth_turkey,3,17,17,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Nonresident|youth_turkey|1,TK1018,Nonresident,youth_turkey,1,0,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Resident|youth_turkey|0,TK1018,Resident,youth_turkey,0,1,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Resident|youth_turkey|1,TK1018,Resident,youth_turkey,1,1,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Resident|youth_turkey|2,TK1018,Resident,youth_turkey,2,2,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Resident|youth_turkey|3,TK1018,Resident,youth_turkey,3,2,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Resident|youth_turkey|4,TK1018,Resident,youth_turkey,4,1,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1018|Resident|youth_turkey|5,TK1018,Resident,youth_turkey,5,2,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1021|Nonresident|youth_turkey|1,TK1021,Nonresident,youth_turkey,1,1,0,UtahDraws live DrawOddsData: Turkey:Turkey
2026|2027|TK1021|Resident|youth_turkey|0,TK1021,Resident,youth_turkey,0,7,0,UtahDraws live DrawOddsData: Turkey:Turkey
