key,hunt_code,residency,draw_pool,points,different_columns,pdf_eligible_applicants,pdf_bonus_permits,pdf_regular_permits,pdf_total_permits,pdf_total_drawn,pdf_success_ratio,pdf_p_draw_percent,api_eligible_applicants,api_bonus_permits,api_regular_permits,api_total_permits,api_total_drawn,api_success_ratio,api_p_draw_percent
2026|2027|BI6500|Resident|standard|0,BI6500,Resident,standard,0,total_permits,529,0,0,0,0,0,0,529,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|1,BI6500,Resident,standard,1,total_permits,326,0,0,0,0,0,0,326,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|10,BI6500,Resident,standard,10,total_permits,98,0,0,0,0,0,0,98,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|11,BI6500,Resident,standard,11,total_permits,97,0,0,0,0,0,0,97,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|12,BI6500,Resident,standard,12,total_permits,69,0,0,0,0,0,0,69,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|13,BI6500,Resident,standard,13,total_permits,73,0,0,0,0,0,0,73,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|14,BI6500,Resident,standard,14,total_permits,59,0,0,0,0,0,0,59,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|15,BI6500,Resident,standard,15,total_permits,54,0,1,1,1,0.0185185185,1.851852,54,0,1,2,1,0.01851852,1.851852
2026|2027|BI6500|Resident|standard|16,BI6500,Resident,standard,16,total_permits,50,0,0,0,0,0,0,50,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|17,BI6500,Resident,standard,17,total_permits,42,0,0,0,0,0,0,42,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|18,BI6500,Resident,standard,18,total_permits,34,0,0,0,0,0,0,34,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|19,BI6500,Resident,standard,19,total_permits,41,0,0,0,0,0,0,41,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|2,BI6500,Resident,standard,2,total_permits,260,0,0,0,0,0,0,260,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|20,BI6500,Resident,standard,20,total_permits,31,0,0,0,0,0,0,31,0,0,2,0,0,0
2026|2027|BI6500|Resident|standard|21,BI6500,Resident,standard,21,total_permits,32,0,0,0,0,0,0,32,0,0,2,0,0,0
