key,hunt_code,residency,draw_pool,points,eligible_applicants,total_drawn,source_report_family,source_file
2026|2027|BI6500|Nonresident|standard|0,BI6500,Nonresident,standard,0,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|1,BI6500,Nonresident,standard,1,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|10,BI6500,Nonresident,standard,10,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|11,BI6500,Nonresident,standard,11,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|12,BI6500,Nonresident,standard,12,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|13,BI6500,Nonresident,standard,13,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|14,BI6500,Nonresident,standard,14,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|15,BI6500,Nonresident,standard,15,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|16,BI6500,Nonresident,standard,16,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|17,BI6500,Nonresident,standard,17,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|18,BI6500,Nonresident,standard,18,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|19,BI6500,Nonresident,standard,19,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|2,BI6500,Nonresident,standard,2,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|20,BI6500,Nonresident,standard,20,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|21,BI6500,Nonresident,standard,21,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|22,BI6500,Nonresident,standard,22,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|23,BI6500,Nonresident,standard,23,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|24,BI6500,Nonresident,standard,24,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
2026|2027|BI6500|Nonresident|standard|25,BI6500,Nonresident,standard,25,0,0,OIL_BISON,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2026\.pdf\2026_PERMITS=2027_MODEL__O.I.L. BISON.pdf
