normalized_family,before_rows,after_rows,delta
ANTLERLESS,8680,8680,0
BLACK_BEAR,4559,4559,0
CWMU,213,15129,14916
DEDICATED_HUNTER,1302,1302,0
GENERAL_SEASON_DEER,9160,9160,0
LE,32651,113,-32538
LIMITED_ENTRY_DEER,0,4686,4686
LIMITED_ENTRY_ELK,0,9504,9504
LIMITED_ENTRY_PRONGHORN,0,4356,4356
OIL,6744,78,-6666
OIL_BISON,0,990,990
OIL_BULL_MOOSE,0,858,858
OIL_DESERT_BIGHORN_SHEEP,0,1188,1188
OIL_MTN_GOAT,0,1122,1122
OIL_ROCKY_MTN_SHEEP,0,990,990
PLE,14,608,594
YOUTH_ANTLERLESS,6368,6368,0
YOUTH_DEDICATED_HUNTER,966,966,0
YOUTH_DEER,4664,4664,0
YOUTH_GENERAL_SEASON_ELK,66,66,0
YOUTH_TURKEY,200,200,0
