row_number,hunt_code,raw_hunt_name,normalized_family_before,normalized_family_after,source_classification_before,source_classification_after,hunt_type_before,hunt_type_after,numeric_fields_changed
36385,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36386,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36387,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36388,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36389,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36390,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36391,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36392,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36393,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36394,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36395,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36396,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36397,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36398,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36399,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36400,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36401,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36402,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36403,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36404,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36405,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36406,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36407,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36408,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36409,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36410,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36411,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36412,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36413,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36414,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36415,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36416,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36417,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36418,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36419,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36420,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36421,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36422,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36423,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36424,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36425,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36426,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36427,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36428,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36429,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36430,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36431,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36432,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36433,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36434,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36435,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36436,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36437,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36438,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36439,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36440,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36441,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36442,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
36443,DB1000,Premium Le Archery Buck Deer - Henry Mtns - Archery,LE,PLE,LIMITED_ENTRY_DEER,PREMIUM_LIMITED_ENTRY,L.E.,P.L.E.,false
