hunt_code,boundary_id,hunt_name,species,hunt_class,hunt_type,draw_family,weapon,sex_type,season,access_type,permits_2024_res,permits_2024_nr,permits_2024_total,permits_2024_source,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2025_source,permits_2026_res,permits_2026_nr,permits_2026_total,permits_2026_source,permits_2026_draw_source,permit_allotment_2026_res,permit_allotment_2026_nr,permit_allotment_2026_total,permit_allotment_2026_source,permit_allotment_2026_source_file,permit_allotment_2026_status,draw_2026_system_type,draw_2025_bg_pdf_page,draw_2025_bg_report_page,draw_2025_type,percent_harvest_success_previous_hunting_season,average_harvest_age,average_harvest_age_3yr_reported,current_age_3yr_average,average_harvest_age_source_file,average_harvest_age_review_status,dwr_huntplanner_age_objective,dwr_huntplanner_population_objective,dwr_huntplanner_current_population_estimate,conservation_permits_2026_total,conservation_permits_2026_source,notes,source_authority,source_file,data_status,generated_at,huntCode,code,title,huntTitle,unitName,unitCode,boundaryId,boundaryID,BoundaryID,boundary_id_numeric,totalPermits,permitsTotal,quota,dates,sex,sexType,type,category,Weapon,boundaryLink
BI1000,5000,Statewide,Bison,Random,Statewide,SPORTSMAN_RANDOM_ONLY,Any Legal Weapon,Hunters Choice,"Aug 1, 2026 - Jan 31, 2027",Public,1,0,1,REBUILD_2023_DRAW_RESULTS_FOR_2024_MODELING_V2,1,0,1,CANONICAL_YEARLY_DRAW_RESULTS_2025_FOR_2026_MODEL,1,0,1,CANONICAL_YEARLY_DRAW_RESULTS_2026_FOR_2027_MODEL,,1,0,1,DERIVED_FROM_PUBLISHED_2026_PERMITS_COMPAT,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,DERIVED_FROM_PUBLISHED_2026_PERMITS_COMPAT,SPORTSMAN_RANDOM_ONLY,,,,100,,,,,,,,,1,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI1000,BI1000,Statewide,Statewide,Statewide,5000,5000,5000,5000,5000,1,1,1,"Aug 1, 2026 - Jan 31, 2027",Hunters Choice,Hunters Choice,Statewide,Random,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI1000
BI6500,1,Antelope Island,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Hunters Choice,Dec 07 2026 - Dec 09 2026,Public,2,0,2,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,2,0,2,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2,0,2,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,535,1,Bonus Point Draw Results,100,,,,,,,,,,,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6500,BI6500,Antelope Island,Antelope Island,Antelope Island,1,1,1,1,1,2,2,2,Dec 07 2026 - Dec 09 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6500
BI6501,7,Book Cliffs;Book Cliffs (hunter's Choice),Bison,BIG_GAME_BISON;BIG_GAME_LIMITED_ENTRY_BISON,Limited Entry;Once-in-a-Lifetime;Once-in-a-lifetime,,Any Legal Weapon,Either Sex,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF_CONFIRMED_TRUTH_ONLY_BACKFILL; source=draw_results_long/canonical_yearly; raw_pdf_confirmed=TRUE; matched_pdfs=17_big_game_odds_report.pdf | 2019_PERMITS=2020_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6501,BI6501,Book Cliffs;Book Cliffs (hunter's Choice),Book Cliffs;Book Cliffs (hunter's Choice),Book Cliffs;Book Cliffs (hunter's Choice),7,7,7,7,7,,,,,Either Sex,Either Sex,Limited Entry;Once-in-a-Lifetime;Once-in-a-lifetime,BIG_GAME_BISON;BIG_GAME_LIMITED_ENTRY_BISON,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6501
BI6503,94,Henry Mtns,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Hunters Choice,Oct 28 2026 - Nov 8 2026,Public,9,1,10,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,4,2,6,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,4,2,6,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,536,2,Bonus Point Draw Results,93.3,,,,,,,650 adults,569 adults,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6503,BI6503,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,6,6,6,Oct 28 2026 - Nov 8 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6503
BI6504,94,Henry Mtns,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Hunters Choice,Nov 11 2026 - Nov 22 2026,Public,11,1,12,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,5,2,7,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,5,2,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,2,7,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,537,3,Bonus Point Draw Results,100,,,,,,,650 adults,569 adults,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6504,BI6504,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,7,7,7,Nov 11 2026 - Nov 22 2026,Hunters Choice,Hunters Choice,Once-in-a-lifetime,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6504
BI6505,94,Henry Mtns,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Female Only,Dec 9 2026 - Dec 20 2026,Public,5,1,6,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,25,3,28,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,8,3,11,2026_PERMITS_WORKBOOK_BY_HUNT_CODE,2026_PERMITS_WORKBOOK_BY_HUNT_CODE,8,3,11,MIRRORED_FROM_PERMITS_2026_AUTHORITY,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,LEGACY_MIRROR_OF_PUBLISHED_PERMITS_2026,MAX_WEIGHTED_SPLIT,538,4,Bonus Point Draw Results,78.6,,,,,,,650 adults,569 adults,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,2025_RES_NR_TOTAL_CONFIRMED_AGAINST_RAW_PDF_20250625,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6505,BI6505,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,11,11,11,Dec 9 2026 - Dec 20 2026,Female Only,Female Only,Once-in-a-lifetime,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6505
BI6506,94,Henry Mtns,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Any Legal Weapon,Female Only,"Dec 23, 2026 - Jan 3, 2027",Public,6,1,7,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,30,0,30,pipeline/RAW/hunt_unit_database/2026/pdf/draw_odds/2025 O.I.L. Draw Results.pdf,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,2026_RAC_CURRENT_YEAR_ALLOTMENT,11,0,11,2026_RAC_CURRENT_YEAR_ALLOTMENT,pipeline/RAW/hunt_unit_database/2026/csv/2026_rac_oial_bison_permits.csv,RAC_CURRENT_YEAR_SPLIT,MAX_WEIGHTED_SPLIT,539,5,Bonus Point Draw Results,93.1,,,,,,,650 adults,569 adults,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,2025_RES_NR_TOTAL_CONFIRMED_AGAINST_RAW_PDF_20250625,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6506,BI6506,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,11,11,11,"Dec 23, 2026 - Jan 3, 2027",Female Only,Female Only,Once-in-a-lifetime,Max/Weighted Split,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6506
BI6507,822,"Book Cliffs, Wild Horse Bench/nine Mile (hunters Choice);Book Cliffs, Wild Horse Bench/nine Mile, Anthro",Bison,BIG_GAME_BISON;BIG_GAME_LIMITED_ENTRY_BISON,Limited Entry;Once-in-a-Lifetime;Once-in-a-lifetime,,Any Legal Weapon,Either Sex;Hunters Choice,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF_CONFIRMED_TRUTH_ONLY_BACKFILL; source=draw_results_long/canonical_yearly; raw_pdf_confirmed=TRUE; matched_pdfs=17_big_game_odds_report.pdf | 2019_PERMITS=2020_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf | 2020_PERMITS=2021_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6507,BI6507,"Book Cliffs, Wild Horse Bench/nine Mile (hunters Choice);Book Cliffs, Wild Horse Bench/nine Mile, Anthro","Book Cliffs, Wild Horse Bench/nine Mile (hunters Choice);Book Cliffs, Wild Horse Bench/nine Mile, Anthro","Book Cliffs, Wild Horse Bench/nine Mile (hunters Choice);Book Cliffs, Wild Horse Bench/nine Mile, Anthro",822,822,822,822,822,,,,,Either Sex;Hunters Choice,Either Sex;Hunters Choice,Limited Entry;Once-in-a-Lifetime;Once-in-a-lifetime,BIG_GAME_BISON;BIG_GAME_LIMITED_ENTRY_BISON,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6507
BI6508,7,Book Cliffs;Book Cliffs (cow Only),Bison,BIG_GAME_BISON;BIG_GAME_LIMITED_ENTRY_BISON,Limited Entry;Once-in-a-Lifetime;Once-in-a-lifetime,,Any Legal Weapon,Either Sex,,Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDF_CONFIRMED_TRUTH_ONLY_BACKFILL; source=draw_results_long/canonical_yearly; raw_pdf_confirmed=TRUE; matched_pdfs=17_big_game_odds_report.pdf | 2019_PERMITS=2020_MODEL__O.I.L._BISON_DRAW_RESULTS.pdf,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6508,BI6508,Book Cliffs;Book Cliffs (cow Only),Book Cliffs;Book Cliffs (cow Only),Book Cliffs;Book Cliffs (cow Only),7,7,7,7,7,,,,,Either Sex,Either Sex,Limited Entry;Once-in-a-Lifetime;Once-in-a-lifetime,BIG_GAME_BISON;BIG_GAME_LIMITED_ENTRY_BISON,Any Legal Weapon,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6508
BI6509,94,Henry Mtns,Bison,Max/Weighted Split,Once-in-a-lifetime,MAX_WEIGHTED_SPLIT,Archery,Hunters Choice,"Jan 18 - 31, 2027",Public,4,1,5,REBUIlT_2023_DRAW_RESULTS_FOR_2024_MODELING;SUPPLEMENT:draw_results_2023_for_2024_long,4,0,4,REBUIlT_2024_DRAW_RESULTS_FOR_2025_MODELING,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,5,0,5,2026_LIVE_DWR_HUNT_PLANNER_COMPREHENSIVE,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice,LIVE_DWR_RES_NR_SPLIT,MAX_WEIGHTED_SPLIT,540,6,Bonus Point Draw Results,66.7,,,,,,,650 adults,569 adults,3,data/conservation-permit-hunt-table-2025-27.json; reviewed official DWR 2025-27 conservation-permit crosswalk; non-additive per-hunt-code coverage; checked 2026-08-28,,DATABASE.csv,pipeline/RAW/hunt_unit_database/2026/csv/DATABASE.csv,CURRENT_DATABASE_CANONICAL,2026-09-21T00:10:07Z,BI6509,BI6509,Henry Mtns,Henry Mtns,Henry Mtns,94,94,94,94,94,5,5,5,"Jan 18 - 31, 2027",Hunters Choice,Hunters Choice,Once-in-a-lifetime,Max/Weighted Split,Archery,https://dwrapps.utah.gov/huntboundary/hbstart?HN=BI6509
