hunt_code,boundary_id,boundary_id_source,primary_universe_bucket,scoring_bucket,hunt_name,species,sex_type,hunt_type,weapon,prefix,present_regulation_pdf,present_draw_result_pdf,present_canonical_yearly,present_database_year_support,present_long_file,present_locked_2026_reference,canonical_row_count,canonical_scorable_row_count,pdf_evidence_row_count,regulation_pdf_sources,permit_quota_pdf_sources,draw_result_pdf_sources,audit_note,locked_year,model_target_year,active_year_truth,locked_reconciled_bucket,prediction_accuracy_treatment,database_next_year_support,source_year_artifact,excluded_from_lock_prefix_filter,lock_status,lock_note
BI6526,638,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,"Book Cliffs, Wild Horse Bench (hunter's Choice) - Closed",Bison,Bull,Once-in-a-Lifetime,Any Legal Weapon,BI,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DA1045,474,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,"Fillmore, Oak City",Deer,Antlerless,General Season,Archery,DA,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DA1046,11,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,"Nine Mile, Price River Valley",Deer,Antlerless,General Season,"Archery, Muzzleloader, Shotgun",DA,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1328,494,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,Clear Creek,Deer,Buck,CWMU,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1329,877,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,Indian Canyon,Deer,Buck,Limited Entry,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1330,876,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,Iron Springs,Deer,Buck,CWMU,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1331,875,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,Raft River,Deer,Buck,CWMU,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1332,874,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,West Ridge,Deer,Buck,CWMU,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1333,878,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,5S Land and Livestock,Deer,Buck,CWMU,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
DB1334,526,DATABASE.boundary_id,DATABASE_NONSCORABLE_REFERENCE_APPENDIX,SUPPORT_ONLY_REVIEW,Alton,Deer,Buck,CWMU,Any Legal Weapon,DB,NO,NO,NO,YES,NO,YES,0,0,0,,,,Hunt code appears only in DATABASE reference fields for this year; retain as non-scorable appendix unless confirmed by next-year canonical truth.,2020,2021,NO,DATABASE_NEXT_YEAR_PERMIT_SUPPORT,EXCLUDED_FROM_ACTIVE_YEAR_ACCURACY_NEXT_YEAR_SUPPORT,YES,NO,NO,LOCKED_2020_UNTIL_NEXT_YEAR_DATA_ADDED,"DATABASE reference support exists without same-year canonical or PDF draw evidence, and the code appears in next-year canonical truth; retain for crosswalk support and exclude from active-year scoring."
