hunt_code,species,hunt_type,hunt_name,weapon,draw_res,draw_nr,draw_total,expo_res,expo_nr,expo_total,planner_res,planner_nr,planner_total,status,planner_source,draw_source,expo_source,expo_source_page
BI6503,Bison,Once-in-a-lifetime,Henry Mtns,Any Legal Weapon,3,2,5,1,0,1,4,2,6,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6503,2026_big_game_12_bison.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
BI6531,Bison,Once-in-a-lifetime,"Book Cliffs, Little Creek/South",Any Legal Weapon,9,0,9,1,0,1,10,0,10,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=BI6531,2026_big_game_12_bison.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1001,Deer,Premium Limited Entry,Paunsaugunt,Archery,25,3,28,1,0,1,26,3,29,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1001,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1003,Deer,Premium Limited Entry,Henry Mtns,Any Legal Weapon,23,3,26,1,0,1,24,3,27,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1003,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1015,Deer,Limited Entry,Diamond Mtn,Archery,21,2,23,1,0,1,22,2,24,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1015,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1016,Deer,Limited Entry,"West Desert, Vernon",Archery,44,4,48,2,1,3,46,5,51,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1016,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1019,Deer,Limited Entry,"Fillmore, Oak Creek LE",Any Legal Weapon,31,4,35,2,0,2,33,4,37,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1019,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1022,Deer,Limited Entry,"San Juan, Elk Ridge",Any Legal Weapon,41,4,45,1,1,2,42,5,47,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1022,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1023,Deer,Limited Entry,Diamond Mtn,Any Legal Weapon,59,6,65,2,1,3,61,7,68,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1023,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
DB1024,Deer,Limited Entry,"West Desert, Vernon",Any Legal Weapon,127,13,140,3,1,4,130,14,144,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=DB1024,2026_big_game_08_limited_entry_buck_deer.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
EB3158,Elk,Limited Entry,"Beaver, East",Archery,17,2,19,1,0,1,18,2,20,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3158,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3159,Elk,Limited Entry,"Beaver, East",Any Legal Weapon,26,3,29,1,0,1,27,3,30,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3159,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3164,Elk,Limited Entry,"Book Cliffs, Bitter Creek/East",Any Legal Weapon,25,2,27,0,1,1,25,3,28,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3164,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3183,Elk,Limited Entry,La Sal Mtns,Any Legal Weapon,41,4,45,1,1,2,42,5,47,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3183,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3187,Elk,Limited Entry,Mt Dutton,Any Legal Weapon,21,3,24,1,0,1,22,3,25,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3187,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3189,Elk,Limited Entry,Panguitch Lake,Any Legal Weapon,19,2,21,1,0,1,20,2,22,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3189,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3191,Elk,Limited Entry,Boulder,Any Legal Weapon,36,3,39,1,1,2,37,4,41,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3191,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3194,Elk,Limited Entry,San Juan Bull Elk,Any Legal Weapon,33,3,36,0,1,1,33,4,37,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3194,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3198,Elk,Limited Entry,"Southwest Desert, South",Any Legal Weapon,45,4,49,1,1,2,46,5,51,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3198,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
EB3199,Elk,Limited Entry,Wasatch Mtns,Archery,8,1,9,1,0,1,9,1,10,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=EB3199,2026_big_game_09_limited_entry_bull_elk.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,136
GO6821,Mountain Goat,Once-in-a-lifetime,Nebo,Archery,11,0,11,1,0,1,12,0,12,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=GO6821,2026_big_game_15_mountain_goat.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,137
PB5025,Pronghorn,Limited Entry,Beaver,Any Legal Weapon,42,5,47,1,0,1,43,5,48,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5025,2026_big_game_10_limited_entry_buck_pronghorn.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
PB5026,Pronghorn,Limited Entry,"Book Cliffs, Bitter Creek",Any Legal Weapon,49,6,55,1,0,1,50,6,56,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5026,2026_big_game_10_limited_entry_buck_pronghorn.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
PB5033,Pronghorn,Limited Entry,"Fillmore, Oak Creek South",Any Legal Weapon,44,5,49,2,0,2,46,5,51,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5033,2026_big_game_10_limited_entry_buck_pronghorn.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
PB5037,Pronghorn,Limited Entry,"Nine Mile, Anthro-Myton Bench",Any Legal Weapon,87,9,96,2,1,3,89,10,99,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=PB5037,2026_big_game_10_limited_entry_buck_pronghorn.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,135
RS6720,Rocky Mountain Bighorn Sheep,Once-in-a-lifetime,"Fillmore, Oak Creek",Any Legal Weapon,3,0,3,1,0,1,4,0,4,MATCH,https://dwrapps.utah.gov/huntboundary/HaNumber?roles=&hn=RS6720,2026_big_game_14_rocky_mtn_bighorn_sheep.json,https://wildlife.utah.gov/public_meetings/board/2025-09-18-board-packet.pdf,137
