actual_draw_year,model_target_year,boundary_id,hunt_code,hunt_name,sex_type,species,hunt_type,weapon,season,draw_design,points,record_type,resident_eligible_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,resident_success_ratio,resident_p_draw,resident_p_draw_percent,nonresident_eligible_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,nonresident_success_ratio,nonresident_p_draw,nonresident_p_draw_percent,total_eligible_applicants,total_bonus_permits,total_regular_permits,total_permits,total_success_ratio,total_p_draw,total_p_draw_percent,permits_year_res,permits_year_nr,permits_year_total,permits_2020_res,permits_2020_nr,permits_2020_total,source_scope,source_namespace,draw_source_namespace,source_file,pdf_page,page_kind,algorithm_status,source_dataset,extraction_status,parse_method,qa_status,notes,source_residencies,source_row_count,collapse_conflict_count,source_year,year,model_year,truth_year,permits_year,draw_source_file,source_path,source_pdf,official_page,raw_hunt_name,unit,sex,hunt_draw_class,hunt_class,row_type,successful_applicants,unsuccessful_applicants,candidate_promotion_status,qa_notes
2020,2021,,CG7605,"Central Mtns, Nebo (excludes West Face)",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,320,7,6,13,1 in 24.6,0.040625,4.0625,27,0,1,1,1 in 27.0,0.03703703704,3.7037037,347,7,7,14,1 in 24.8,0.04034582133,4.0625,13,1,14,13,1,14,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,10,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,10,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7610,"East Canyon, Davis",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,39,3,2,5,1 in 7.8,0.1282051282,12.82051282,0,0,0,0,,,,39,3,2,5,1 in 7.8,0.1282051282,12.82051282,5,,5,5,0,5,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,11,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,11,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7612,Monroe,Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,145,10,10,20,1 in 7.3,0.1379310345,13.79310345,45,1,1,2,1 in 22.5,0.04444444444,4.44444444,190,11,11,22,1 in 8.6,0.1157894737,13.79310345,20,2,22,20,2,22,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,12,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,12,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7613,Mt Dutton,Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,66,7,6,13,1 in 5.1,0.196969697,19.6969697,30,0,1,1,1 in 30.0,0.03333333333,3.33333333,96,7,7,14,1 in 6.9,0.1458333333,19.6969697,13,1,14,13,1,14,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,13,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,13,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7615,Panguitch Lake,Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,125,8,8,16,1 in 7.8,0.128,12.8,18,0,1,1,1 in 18.0,0.05555555556,5.55555556,143,8,9,17,1 in 8.4,0.1188811189,12.8,16,1,17,16,1,17,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,14,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,14,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7619,"Plateau, Fishlake",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,152,5,5,10,1 in 15.2,0.06578947368,6.57894737,35,0,1,1,1 in 35.0,0.02857142857,2.85714286,187,5,6,11,1 in 17,0.05882352941,6.57894737,10,1,11,10,1,11,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,15,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,15,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG1029,"Oquirrh-stansbury, East",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,218,6,5,11,1 in 19.8,0.0504587156,5.04587156,13,0,1,1,1 in 13.0,0.07692307692,7.69230769,231,6,6,12,1 in 19.2,0.05194805195,5.04587156,11,1,12,11,1,12,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,2,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,2,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG1030,"Beaver, East",Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,203,14,13,27,1 in 7.5,0.1330049261,13.30049261,37,2,1,3,1 in 12.3,0.08108108108,8.10810811,240,16,14,30,1 in 8,0.125,13.30049261,27,3,30,27,3,30,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,3,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,3,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG1034,Kamas,Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,114,4,3,7,1 in 16.3,0.06140350877,6.14035088,0,0,0,0,,,,114,4,3,7,1 in 16.3,0.06140350877,6.14035088,7,,7,7,0,7,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,4,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,4,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
2020,2021,,CG7502,East Canyon,Either Sex,Cougar,Limited Entry,Any Legal Weapon,,Preference,TOTAL,hunt_total_draw_result,235,5,4,9,1 in 26.1,0.03829787234,3.82978723,22,0,1,1,1 in 22.0,0.04545454545,4.54545455,257,5,5,10,1 in 25.7,0.03891050584,3.82978723,9,1,10,9,1,10,2020_cougar_odds_report(3).pdf,2020_PERMITS=2021_MODEL_REBUILT_FIXED,2020_SOURCE_FIRST_REBUILD_V2,2020_cougar_odds_report(3).pdf,5,,SOURCE_FIRST_REBUILT,REMAINING_PARENT_FILES,OK,,PENDING_REPO_VALIDATION,,nonresident; resident,2,0,2020,2020,2021,2020,2021,2020_cougar_odds_report(3).pdf,,2020_cougar_odds_report(3).pdf,5,19,,Either,COUGAR,COUGAR,hunt_total_draw_result,,,REBUILT_FIXED_2020_READY_FOR_PROMOTION,rebuilt_bucket=COUGAR; source_group=REMAINING_PARENT_FILES; original_row_type=TOTAL_ROW; parser_family=DWR_ROTATED_POINT_TABLE
