row_key,hunt_code,residency,species,hunt_name,unit_name,average_harvest_age,harvest_success_pct,average_days_hunted,age_source_lineage,blank_classification,likely_should_exist_from_harvest_or_days,classification_reason
BI1000|Nonresident,BI1000,Nonresident,Bison,Bison - Statewide Permit,Bison - Statewide Permit,,100.0,1.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI1000|Resident,BI1000,Resident,Bison,Bison - Statewide Permit,Bison - Statewide Permit,,100.0,1.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6500|Nonresident,BI6500,Nonresident,Bison,Antelope Island,Antelope Island,,100.0,1.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6500|Resident,BI6500,Resident,Bison,Antelope Island,Antelope Island,,100.0,1.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6503|Nonresident,BI6503,Nonresident,Bison,Henry Mtns,Henry Mtns,,93.3,2.4,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6503|Resident,BI6503,Resident,Bison,Henry Mtns,Henry Mtns,,93.3,2.4,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6504|Nonresident,BI6504,Nonresident,Bison,Henry Mtns,Henry Mtns,,100.0,4.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6504|Resident,BI6504,Resident,Bison,Henry Mtns,Henry Mtns,,100.0,4.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6505|Nonresident,BI6505,Nonresident,Bison,Henry Mtns,Henry Mtns,,78.6,4.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6505|Resident,BI6505,Resident,Bison,Henry Mtns,Henry Mtns,,78.6,4.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6506|Nonresident,BI6506,Nonresident,Bison,Henry Mtns,Henry Mtns,,93.1,5.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6506|Resident,BI6506,Resident,Bison,Henry Mtns,Henry Mtns,,93.1,5.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6509|Nonresident,BI6509,Nonresident,Bison,Henry Mtns,Henry Mtns,,66.7,7.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6509|Resident,BI6509,Resident,Bison,Henry Mtns,Henry Mtns,,66.7,7.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6516|Nonresident,BI6516,Nonresident,Bison,Henry Mtns,Henry Mtns,,100.0,3.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6516|Resident,BI6516,Resident,Bison,Henry Mtns,Henry Mtns,,100.0,3.5,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
BI6527|Nonresident,BI6527,Nonresident,Bison,Nine Mile,Nine Mile,,0.0,9.0,UNAVAILABLE,SOURCE_MISSING,YES,No valid direct or safe repeated age evidence available in current sources.
