file,status,rows_touched,average_harvest_age_filled,current_age_3yr_filled,columns_added,old_header_replaced,write_mode
2025-27 Conservation Permits.xlsx,NO_HUNT_CODE_HEADER,,,,,,
2026 BISON COW ONLY ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026 BISON HUNTERS CHOICE GENERAL SEASON ANY LEGAL WEAPON.xlsx,UPDATED,2,0,0,1,1,in_place_full
2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ANY LEGAL WEAPON.xlsx,UPDATED,8,0,0,1,1,in_place_full
2026 BISON HUNTERS CHOICE ONCE-IN-A-LIFETIME ARCHERY.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 BISON HUNTERS CHOICE STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 BLACK BEAR EITHER SEX PURSUIT PURSUIT ONLY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 BLACK BEAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 COUGAR EITHER SEX STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER ANTLERLESS CWMU ANY LEGAL WEAPON.xlsx,UPDATED,4,0,0,1,1,in_place_full
2026 DEER ANTLERLESS GENERAL SEASON ANY LEGAL WEAPON.xlsx,UPDATED,4,0,0,1,1,in_place_full
2026 DEER ANTLERLESS GENERAL SEASON ARCHERY MUZZLELOADER SHOTGUN.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026 DEER ANTLERLESS GENERAL SEASON ARCHERY.xlsx,UPDATED,7,0,0,1,1,in_place_full
2026 DEER BUCK CACTUS BUCK ANY LEGAL WEAPON 2.xlsx,NO_HUNT_CODE_HEADER,,,,,,
2026 DEER BUCK CACTUS BUCK ANY LEGAL WEAPON.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 DEER BUCK CONSERVATION ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK CONSERVATION ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK CONSERVATION MULTISEASON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK CONSERVATION MUZZLELOADER.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK CWMU ANY LEGAL WEAPON.xlsx,UPDATED,110,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON EARLY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON LATE.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,UPDATED,36,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY ARCHERY.xlsx,UPDATED,31,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY MUZZLELOADER.xlsx,UPDATED,28,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY RESTRICTED MUZZLELOADER.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON - PRIVATE LAND ONLY RESTRICTED RIFLE.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON ANY LEGAL WEAPON EARLY.xlsx,UPDATED,12,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON ANY LEGAL WEAPON LATE.xlsx,UPDATED,28,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON ARCHERY.xlsx,UPDATED,31,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON DEDICATED HUNTER.xlsx,UPDATED,31,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON MUZZLELOADER.xlsx,UPDATED,28,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON RESTRICTED MUZZLELOADER.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER BUCK GENERAL SEASON RESTRICTED RIFLE.xlsx,UPDATED,3,0,0,1,1,in_place_full
2026 DEER BUCK L.E - PRIVATE LAND ONLY ANY LEGAL WEAPON.xlsx,UPDATED,4,1,0,1,1,in_place_full
2026 DEER BUCK L.E - PRIVATE LAND ONLY ARCHERY.xlsx,UPDATED,2,1,0,1,1,in_place_full
2026 DEER BUCK L.E - PRIVATE LAND ONLY MUZZLELOADER.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 DEER BUCK L.E - PRIVATE LAND ONLY RESTRICTED RIFLE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK L.E ANY LEGAL WEAPON.xlsx,UPDATED,10,0,0,1,1,in_place_full
2026 DEER BUCK L.E ARCHERY.xlsx,UPDATED,6,0,0,1,1,in_place_full
2026 DEER BUCK L.E HAMSS HANDGUN ARCHERY MUZZLELOADER SHOTGUN OR STRAIGHT-WALLED RIFLE.xlsx,UPDATED,4,0,0,1,1,in_place_full
2026 DEER BUCK L.E MULTISEASON.xlsx,UPDATED,5,0,0,1,1,in_place_full
2026 DEER BUCK L.E MUZZLELOADER.xlsx,UPDATED,38,0,0,1,1,in_place_full
2026 DEER BUCK L.E RESTRICTED ARCHERY.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK L.E RESTRICTED MULTISEASON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK L.E RESTRICTED MUZZLELOADER.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK L.E RESTRICTED RIFLE.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK MANAGEMENT BUCK DEER ANY LEGAL WEAPON.xlsx,UPDATED,3,1,0,1,1,in_place_full
2026 DEER BUCK MANAGEMENT BUCK DEER ARCHERY.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 DEER BUCK MANAGEMENT BUCK DEER MUZZLELOADER.xlsx,UPDATED,1,1,0,1,1,in_place_full
2026 DEER BUCK P.L.E ANY LEGAL WEAPON.xlsx,UPDATED,4,2,0,1,1,in_place_full
2026 DEER BUCK P.L.E ARCHERY.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 DEER BUCK P.L.E MULTISEASON.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 DEER BUCK P.L.E MUZZLELOADER.xlsx,UPDATED,2,2,0,1,1,in_place_full
2026 DEER BUCK STATEWIDE ANY LEGAL WEAPON.xlsx,UPDATED,1,0,0,1,1,in_place_full
2026 DEER BUCK TRIBAL ANY LEGAL WEAPON.xlsx,UPDATED,4,0,0,1,1,in_place_full
