year_folder,draw_results_year,model_year,old_path,old_name,new_path,new_name,extension,status,action_taken,category,reason
2018,2018,2019,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2018\2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2018\2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,2018_PERMITS=2019_MODEL__SPORTSMAN DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,SPORTSMAN DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__ANTLERLESS DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__ANTLERLESS DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__ANTLERLESS DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,ANTLERLESS DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__BEAR DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__BEAR DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__BEAR DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__BEAR DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,BEAR DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__COUGAR DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__COUGAR DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__COUGAR DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__COUGAR DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,COUGAR DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__D.H. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,D.H. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__G.S. BUCK DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,G.S. BUCK DEER DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__L.E. BIG GAME DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,L.E. BIG GAME DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__LIFETIME G.S. DEER DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,LIFETIME G.S. DEER DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__SPORTSMAN DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__SPORTSMAN DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__SPORTSMAN DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__SPORTSMAN DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,SPORTSMAN DRAW RESULTS,already normalized naming structure with non-reference category
2019,2019,2020,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,C:\Users\tyler\Desktop\BIBLE HUNT CODES\2019\2019_PERMITS=2020_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,2019_PERMITS=2020_MODEL__YOUTH ANTLERLESS DRAW RESULTS.pdf,.pdf,ALREADY_NORMALIZED,NO_ACTION,YOUTH ANTLERLESS DRAW RESULTS,already normalized naming structure with non-reference category
