report_year,draw_year,model_year,source_file,source_extension,source_location,source_label,source_family,hunt_code_raw,comparison_hunt_code,prefix,species_from_prefix,hunt_title_or_row_text,unit_or_area_inferred,weapon_or_last_segment_inferred,hunt_code_review_status,candidate_normalized_hunt_code,source_priority
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_1,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1770,DB1770,DB,Buck Deer,Hunt: DB1770 Box Elder,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_2,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1772,DB1772,DB,Buck Deer,Hunt: DB1772 Manti/San Rafael,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_2,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1771,DB1771,DB,Buck Deer,Hunt: DB1771 Cache,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_3,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1773,DB1773,DB,Buck Deer,Hunt: DB1773 Nebo,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_4,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1775,DB1775,DB,Buck Deer,Hunt: DB1775 Fillmore,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_4,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1777,DB1777,DB,Buck Deer,Hunt: DB1777 Kamas,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_5,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1778,DB1778,DB,Buck Deer,"Hunt: DB1778 La Sal, La Sal Mtns",,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_5,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1779,DB1779,DB,Buck Deer,Hunt: DB1779 Monroe,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_6,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1780,DB1780,DB,Buck Deer,Hunt: DB1780 Mt Dutton,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
2026,2026,2027,2026/.pdf/2026_PERMITS=2027_MODEL__D.H. DEER DRAW RESULTS2.pdf,.pdf,pdf_page_7,D.H. DEER DRAW RESULTS2,DEDICATED_HUNTER_DEER,DB1782,DB1782,DB,Buck Deer,Hunt: DB1782 North Slope,,,AS_EXTRACTED,,TIER_1_OR_2_PDF_SOURCE
