hunt_code,prefix,confirmation_status,in_bible_2020,in_harvest_reports,bible_species,bible_title,bible_source_files,harvest_source_files,harvest_source_pages,harvest_context_samples,notes
BI1000,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,"BI1000 Sportsman Bison 1 0 5,805 0 5,806 1 N/A 1 1 in 5,806.0 N/A",2020/.pdf/2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI1000 Bison - Statewide Permit Sportsman/Conservation 2 No data,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6500,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6500 Bison - Antelope Island - Any Legal Weapon Page 1,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6500 Antelope Island OIAL 8 8 8 8 0 1.1 100.0 4.9,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6503,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6503 Bison - Henry Mtns (hunter's Choice) - Any Legal Weapon Page 2,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6503 Henry Mtns OIAL 6 6 6 6 0 3.3 100.0 4.8,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6504,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6504 Bison - Henry Mtns (hunter's Choice) - Any Legal Weapon Page 3,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6504 Henry Mtns OIAL 4 4 4 4 0 3.8 100.0 3.8,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6505,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6505 Bison - Henry Mtns (cow Only) - Any Legal Weapon Page 4,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6505 Henry Mtns OIAL 11 11 9 0 9 3.5 81.8 3.9,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6506,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6506 Bison - Henry Mtns (cow Only) - Any Legal Weapon Page 5,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6506 Henry Mtns OIAL 10 10 5 0 5 5.4 50.0 3.6,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6507,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,"Hunt: BI6507 Bison - Book Cliffs, Wild Horse Bench/nine Mile, Anthro (hunter's Choice) -An y Legal Weapon Page 6",2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,"BI6507 Book Cliffs, Wild Horse Bench/Nine Mile, Anthro OIAL 10 No data",Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6509,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6509 Bison Archery - Henry Mtns (hunter's Choice) - Archery Page 7,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6509 Henry Mtns OIAL 4 4 4 4 0 1.8 100.0 5.0,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6515,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6515 Bison Archery - Henry Mtns (cow Only) - Archery Page 8,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6515 Henry Mtns OIAL 3 3 2 0 2 4.7 66.7 4.3,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6516,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6516 Bison - Henry Mtns (hunter's Choice) - Any Legal Weapon Page 9,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6516 Henry Mtns OIAL 8 8 8 6 2 3.3 100.0 4.9,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6517,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6517 Bison - Book Cliffs (hunter's Choice) - Any Legal Weapon Page 10,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6517 Book Cliffs OIAL 9 9 9 7 2 3.7 100.0 4.4,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6519,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,"Hunt: BI6519 Bison - Book Cliffs, Little Creek Roadless (hunter's Choice) - Any Legal Weapon Page 11",2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,"BI6519 Book Cliffs, Little Creek Roadless OIAL 14 13 13 13 0 1.4 100.0 4.9",Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6520,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6520 Bison - Book Cliffs (cow Only) - Any Legal Weapon Page 12,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6520 Book Cliffs OIAL 6 6 5 0 5 6.5 83.3 4.0,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6521,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,Hunt: BI6521 Bison Archery - Book Cliffs (hunter's Choice) - Archery Page 13,2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,BI6521 Book Cliffs OIAL 5 5 5 3 2 4.8 100.0 4.2,Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6522,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,"Hunt: BI6522 Bison - Book Cliffs, Bitter Creek/south (cow Only) - Any Legal Weapon Page 14",2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,"BI6522 Book Cliffs, Bitter Creek/South OIAL 6 6 5 1 4 4.8 83.3 4.3",Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6523,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,"Hunt: BI6523 Bison - Book Cliffs, Bitter Creek/south (hunter's Choice) - Any Legal Weapon Page 15",2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,"BI6523 Book Cliffs, Bitter Creek/South OIAL 8 8 8 6 2 5.6 100.0 4.1",Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BI6524,BI,CONFIRMED_BY_2020_HARVEST_REPORT,YES,YES,Bison,"Hunt: BI6524 Bison - Book Cliffs, Little Creek Roadless (cow Only) - Any Legal Weapon Page 16",2020/.pdf/2020_PERMITS=2021_MODEL__L.E. BIG GAME DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. BISON DRAW RESULTS.pdf|2020/.pdf/2020_PERMITS=2021_MODEL__O.I.L. DRAW RESULTS.pdf,pipeline/RAW/hunt_unit_database/2020/pdf/harvest_report/2020_le_oial_all.pdf,14,"BI6524 Book Cliffs, Little Creek Roadless OIAL 10 10 9 1 8 4.5 90.0 3.9",Hunt code appears in both the 2020 BIBLE draw-result document and the selected 2020 harvest reports.
BR1000,BR,BIBLE_ONLY_NOT_IN_SELECTED_HARVEST_REPORTS,YES,NO,Black Bear,"BR1000 Sportsman Black Bear 1 0 1,572 0 1,573 1 N/A 1 1 in 1,573.0 N/A",2020/.pdf/2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf,,,,Code appears in BIBLE 2020 but not in the three selected harvest reports; this can be expected for species/families not covered by the selected harvest PDFs.
BR1008,BR,BIBLE_ONLY_NOT_IN_SELECTED_HARVEST_REPORTS,YES,NO,Black Bear,Hunt: BR1008,2020/.pdf/2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,,,,Code appears in BIBLE 2020 but not in the three selected harvest reports; this can be expected for species/families not covered by the selected harvest PDFs.
BR1009,BR,BIBLE_ONLY_NOT_IN_SELECTED_HARVEST_REPORTS,YES,NO,Black Bear,Hunt: BR1009,2020/.pdf/2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,,,,Code appears in BIBLE 2020 but not in the three selected harvest reports; this can be expected for species/families not covered by the selected harvest PDFs.
BR1010,BR,BIBLE_ONLY_NOT_IN_SELECTED_HARVEST_REPORTS,YES,NO,Black Bear,Hunt: BR1010,2020/.pdf/2020_PERMITS=2021_MODEL__BEAR DRAW RESULTS.pdf,,,,Code appears in BIBLE 2020 but not in the three selected harvest reports; this can be expected for species/families not covered by the selected harvest PDFs.
