hunt_code,hunt_name,sex_type,species,weapon,hunt_type,season,xlsx_res,xlsx_nr,xlsx_total,xlsx_total_printed,xlsx_permit_shape,xlsx_row_start,xlsx_continuation_rows_collapsed,pasted_res,pasted_nr,pasted_total,pasted_permit_shape,xlsx_vs_pasted_status,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,external_agreement_status,recommended_action,source_file,source_sha256
DB0001,Southeastern Navajo Buck Deer,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,2,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0002,Southeastern Navajo Buck Deer,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,3,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0003,Southeastern Navajo Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,4,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0004,Southern Navajo Buck Deer,Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,5,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0005,Southern Navajo Buck Deer,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,6,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0006,Southern Navajo Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,7,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0007,Buck Deer - Statewide Permit,Buck,Deer,Any Legal Weapon,Statewide,"Archery: Aug 15 - Aug 31, 2026 | ALW: Sept 1, 2026 - Jan 15, 2027",,,,,NO_PERMIT_NUMBER_IN_XLSX,8,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,1,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0009,Antelope Island - Conservation/Expo,Buck,Deer,Any Legal Weapon,Premium Limited Entry,"Nov 9, 2026 - Nov 16, 2026",,,,,NO_PERMIT_NUMBER_IN_XLSX,9,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0010,Southern Paiute Buck Deer (early),Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,10,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0011,Southern Paiute Buck Deer,Buck,Deer,Archery,Tribal,"Aug 16, 2025 - Sept 12, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,11,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0012,Southern Paiute Buck Deer,Buck,Deer,Muzzleloader,Tribal,"Sept 24 - Oct 2, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,12,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB0013,Southern Paiute Buck Deer (late),Buck,Deer,Any Legal Weapon,Tribal,"Oct 18, 2025 - Oct 26, 2025",,,,,NO_PERMIT_NUMBER_IN_XLSX,13,,,,,NO_PERMIT_NUMBER_IN_PASTE,MATCH_EXACT,0,0,,,,,,,,NO_PERMIT_VALUE,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
DB1000,Henry Mtns,Buck,Deer,Archery,Premium Limited Entry,Aug 15 2026 - Sept 11 2026,8,1,9,,RES_NR_SPLIT_TOTAL_COMPUTED,14,15,8,1,9,RES_NR_SPLIT_TOTAL_COMPUTED,MATCH_EXACT,8,1,9,8,1,9,8,1,9,MATCHES_ALL_EXTERNAL_SOURCES_EXACT,XLSX_PERMIT_ROWS_REPAIRED_AND_EXTERNALLY_CONFIRMED,C:\Users\tyler\Desktop\BIBLE HUNT CODES\buck deer.xlsx,f15ce5b1537513333c721de327687fdf7c1ef96959bfd4334608a4ab28bc8b26
