synthetic_display_code,permit_class,species,official_hunt_code_status,hunt_code_authority,geometry_rule,truth_guardrail
CBB1000,CONSERVATION,Black Bear,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CBI1000,CONSERVATION,Bison,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CD1000,CONSERVATION,Deer,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CDS1000,CONSERVATION,Desert Bighorn Sheep,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CE1000,CONSERVATION,Elk,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CM1000,CONSERVATION,Moose,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CMG1000,CONSERVATION,Mountain Goat,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CP1000,CONSERVATION,Pronghorn,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CRS1000,CONSERVATION,Rocky Mountain Bighorn Sheep,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
CTK1000,CONSERVATION,Turkey,BLANK_UNLESS_DWR_ASSIGNS_ONE,UOGA_SYNTHETIC_DISPLAY_CODE,Use only when a conservation permit row needs display/map identity and no official conservation hunt code is available.,Do not treat as an official DWR hunt code and do not overwrite sportsman permit codes.
