hunt_code,species_family,first_seen_report_year,last_seen_report_year,terminal_dropoff_after_report_year,terminal_absent_years_through_2026,observed_years,source_years,source_files,current_database_status,current_database_hunt_name,current_database_species,interpretation,notes
CG1000,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__SPORTSMAN DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__SPORTSMAN DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG1029,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG1030,Cougar,2020,2020,2020,2021|2022|2023|2024|2025|2026,2020,2020,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG1034,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7502,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7503,Cougar,2020,2021,2021,2022|2023|2024|2025|2026,2020|2021,2020|2021,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7506,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7602,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7603,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7605,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7610,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7612,Cougar,2020,2022,2022,2023|2024|2025|2026,2020|2021|2022,2020|2021|2022,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf|2021/2021_PERMITS=2022_MODEL__COUGAR DRAW RESULTS.pdf|2022/2022_PERMITS=2023_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7613,Cougar,2020,2020,2020,2021|2022|2023|2024|2025|2026,2020,2020,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7615,Cougar,2020,2020,2020,2021|2022|2023|2024|2025|2026,2020,2020,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG7619,Cougar,2020,2020,2020,2021|2022|2023|2024|2025|2026,2020,2020,2020/2020_PERMITS=2021_MODEL__COUGAR DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
CG9999,Cougar,2021,2021,2021,2022|2023|2024|2025|2026,2021,2021,2021/2021_PERMITS=2022_MODEL__SPORTSMAN DRAW RESULTS.pdf,NOT_IN_2026_DATABASE,,,TERMINAL_ABSENT_NO_REAPPEARANCE_THROUGH_2026,No later reappearance found through 2026 source-hit universe; treat as terminal dropoff candidate unless a missing Cougar/Sportsman source is supplied.
