hunt_code,universe_status,likely_cause,prefix,present_in_bible_years,present_in_2025_bible,present_in_2026_bible,present_in_live_2026_hunttable,present_in_database,hanumber_fetch_status,live_presence_status,live_comparison_status,live_shape_status,hunt_name,species,sex_type,weapon,hunt_type,live_res,live_nr,live_total,database_compared_res,database_compared_nr,database_compared_total,source_url
BI1000,LIVE_2026_NOT_IN_2025_BIBLE,SPORTSMAN_CURRENT_PLANNER,BI,2020|2021|2022|2023|2024,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Bison - Statewide Permit,Bison,Hunters Choice,Any Legal Weapon,Statewide,,,,,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6500,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Antelope Island,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,2,0,2,2,0,2,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6503,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,4,2,6,4,2,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6504,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,5,2,7,5,2,7,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6505,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,8,3,11,
BI6506,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2020|2021|2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,Henry Mtns,Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,11,0,11,
BI6507,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020,no,no,no,no,,,,,,,,,,,,,,,,
BI6509,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Archery,Once-in-a-lifetime,5,0,5,5,0,5,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6515,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020,no,no,no,no,,,,,,,,,,,,,,,,
BI6516,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2020|2021|2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,Henry Mtns,Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,6,0,6,6,0,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6517,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020|2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6519,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020|2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6520,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020|2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6521,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020|2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6522,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020,no,no,no,no,,,,,,,,,,,,,,,,
BI6523,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020|2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6524,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2020|2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6526,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2021,no,no,no,no,,,,,,,,,,,,,,,,
BI6527,LIVE_2026_NOT_IN_2025_BIBLE,OTHER_CURRENT_PLANNER_NOT_IN_2025_BIBLE,BI,,no,no,yes,yes,OK,LIVE_AND_DATABASE,BOTH_BLANK,LIVE_DWR_NO_QUOTA_PUBLISHED,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,,,,,,,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6528,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Archery,Once-in-a-lifetime,6,0,6,6,0,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6529,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Little Creek/South",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,8,0,8,
BI6530,DATABASE_NOT_IN_LIVE_TABLE,DATABASE_REFERENCE_OR_ARCHIVE_REVIEW,BI,2022|2023|2024,no,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,,,,3,1,4,
BI6531,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,10,0,10,10,0,10,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6532,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Archery,Once-in-a-lifetime,6,0,6,6,0,6,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6533,BIBLE_HISTORICAL_ONLY,HISTORICAL_LIBRARY,BI,2022|2023,no,no,no,no,,,,,,,,,,,,,,,,
BI6534,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,10,0,10,10,0,10,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6535,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2022|2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,"Book Cliffs, Bitter Creek",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,8,0,8,8,0,8,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
BI6536,BIBLE_2025_NOT_IN_LIVE_2026_TABLE,DROPPED_OR_NOT_EXPOSED_IN_CURRENT_TABLE,BI,2022|2023|2024|2025,yes,no,no,yes,OK,DATABASE_ONLY,DATABASE_ONLY,,"Book Cliffs, Bitter Creek",Bison,Female Only,Any Legal Weapon,Once-in-a-lifetime,,,,15,0,15,
BI6537,LIVE_2026_AND_2025_BIBLE,CONTINUITY,BI,2023|2024|2025,yes,no,yes,yes,OK,LIVE_AND_DATABASE,MATCH,LIVE_DWR_RES_NR_SPLIT,"Book Cliffs, Little Creek/South",Bison,Hunters Choice,Any Legal Weapon,Once-in-a-lifetime,8,7,15,8,7,15,https://dwrapps.utah.gov/huntboundary/HuntTableData?species=Bison&gender=Hunters+Choice
