current_hunt_code,historical_hunt_code,draw_year,model_year,historical_hunt_name,current_hunt_name,species,sex_type,weapon,hunt_type,historical_unit_name,current_unit_name,historical_boundary_id,current_boundary_id,boundary_match,permits_res_historical,permits_nr_historical,permits_total_historical,permits_res_current,permits_nr_current,permits_total_current,crosswalk_status,confidence,evidence_source,evidence_notes,source_file_historical,source_file_current,source_priority_historical,source_priority_current,merge_split_flag,statewide_flag,unlimited_flag,source_permit_conflict_flag,unresolved_split_bucket,regulation_presence_status,recommended_action
BI6505,,,2026,,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,,Henry Mtns,,94,YES,,,,8,3,11,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,boundary_xlsx,Current code exists in 2026 boundary crosswalk workbook.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\processed_data\hunt_boundary_crosswalk_2026.xlsx,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6503,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,UNKNOWN,,,10,8,3,11,NEEDS_MANUAL_REMAP,HIGH,model_year_crosswalk,Model-year crosswalk candidate needs review.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6504,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,UNKNOWN,,,10,8,3,11,NEEDS_MANUAL_REMAP,HIGH,model_year_crosswalk,Model-year crosswalk candidate needs review.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6505,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,YES,,,5,8,3,11,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_IN_2025_PDF_AND_CURRENT_ACTIVE.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6505,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,YES,,,5,8,3,11,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_IN_2025_PDF_AND_CURRENT_ACTIVE.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6505,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,YES,,,5,8,3,11,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,model_year_crosswalk,Model-year crosswalk status: SAME_CODE_IN_2025_PDF_AND_CURRENT_ACTIVE.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6506,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,UNKNOWN,,,7,8,3,11,NEEDS_MANUAL_REMAP,HIGH,model_year_crosswalk,Model-year crosswalk candidate needs review.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,BI6516,2025,2026,Henry Mtns,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,Henry Mtns,Henry Mtns,94,94,UNKNOWN,,,7,8,3,11,NEEDS_MANUAL_REMAP,HIGH,model_year_crosswalk,Model-year crosswalk candidate needs review.,CURRENT_ACTIVE_DATABASE_2026,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_truth\crosswalk_truth\validation\hunt_code_crosswalk_2024_pdf_to_2025_pdf_model_years.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6505,,,2026,,Henry Mtns,Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,,Henry Mtns,,94,YES,,,,8,3,11,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,runtime_boundary_draft,Current code appears in runtime draft boundary crosswalk.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\data_model\runtime_drafts\hunt_boundary_crosswalk_v2.csv,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
BI6536,,,2026,,"Book Cliffs, Bitter Creek",Bison,Cow Only,Any Legal Weapon,Once-in-a-lifetime,,"Book Cliffs, Bitter Creek",,667,YES,,,,15,0,15,CODE_MATCH_BOUNDARY_CONFIRMED,HIGH,boundary_xlsx,Current code exists in 2026 boundary crosswalk workbook.,,D:\DOCUMENTS\GitHub\HUNTS\HUNTS\processed_data\hunt_boundary_crosswalk_2026.xlsx,prior_verified_crosswalk_file,current_database_or_verified_crosswalk,,false,false,true,true_source_conflicts,REGULATION_CODE_PRESENT,REVIEW_BEFORE_PROMOTION
