hunt_code,hunt_name,species,sex_type,weapon,hunt_type,season,source_presence,hanumber_res,hanumber_nr,hanumber_total,hunttable_res,hunttable_nr,hunttable_total,utahdraws_res,utahdraws_nr,utahdraws_total,buck_deer_res,buck_deer_nr,buck_deer_total,database_res_reference,database_nr_reference,database_total_reference,recommended_res,recommended_nr,recommended_total,winner_source,confidence,source_support_count,conflicting_sources,database_alignment,recommended_action,decision_reason,hanumber_status,hunttable_status,utahdraws_status,buck_deer_status,database_status,split_bucket,matching_non_database_sources,matching_source_count,matching_res,matching_nr,matching_total,split_review_note,remaining_unresolved_bucket,remaining_review_required,resolution_status,resolved_res,resolved_nr,resolved_total,resolved_matching_sources,resolved_matching_source_count,resolved_source_rule
EA1180,La Sal (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 17 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,8,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,8,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
EA1270,Fishlake (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 22 - Dec 31, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,4,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,4,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
EA1271,Manti (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 19, 2025 - Jan 31, 2026",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,4,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,4,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
EA2041,Cache (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 26, 2025",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,6,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,6,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
EA2045,Wasatch Mtns (Conservation),Elk,Antlerless,Any Legal Weapon,Conservation,"Oct 4 - Oct 16, 2025 & Nov 15, 2025 - Jan 31, 2026",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,10,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,10,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
EB3128,"Box Elder, Grouse Creek",Elk,Bull,Multiseason,Conservation,"Any Legal Weapon: Sept 16-20, 2026 & Oct 3 - 15, 2026 | Muzz: Sept 21-Oct 2, 2026",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,TOTAL_ONLY,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,1,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
EB3209,"Box Elder, Pilot Mtn",Elk,Bull,Multiseason,Conservation,"Archery: Aug 15-Sept 6, 2026 | Any Legal Weapon: Sept 12-Oct 2, 2026",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,1,,,,NONE_EXTERNAL_DATABASE_REFERENCE_ONLY,REVIEW_REQUIRED,0,,DATABASE_HAS_VALUE_NO_RECOMMENDATION,FIND_EXTERNAL_SOURCE_BEFORE_PROMOTION,No non-database current source has permit values; database has a reference value only.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,TOTAL_ONLY,database_only_external_missing,,0,,,,Only DATABASE reference value is present; external current source still needed before promotion.,database_only_external_missing,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,1,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
BI6527,Nine Mile,Bison,Hunters Choice,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,,,,,NONE,NO_PERMIT_VALUE,0,,NOT_COMPARED,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,true_no_permit_value,,0,,,,No current permit value found in the compared sources.,true_no_permit_value,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
BI6538,"Nine Mile, Private Lands Only",Bison,Hunters Choice,Any Legal Weapon,General Season,"Aug 1, 2025 - Jan 31, 2026 | Harvest survey due by Feb 15, 2026 Visit: http://wildlife.utah.gov/harvest to submit your survey",HANUMBER|HUNTTABLE|DATABASE,,,,,,,,,,,,,,,,,,,NONE,NO_PERMIT_VALUE,0,,NOT_COMPARED,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,,NO_QUOTA_PUBLISHED,true_no_permit_value,,0,,,,No current permit value found in the compared sources.,true_no_permit_value,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
LO0009,Diamond Mtn Landowner Association,Deer,Buck,Any Legal Weapon,Limited Entry - Private Land Only,Oct 17 2026 - Oct 25 2026 - Valid only on property enrolled in the Diamond Mtn LOA,HANUMBER|HUNTTABLE|BUCK_DEER|DATABASE,,,,,,,,,,,,,,,,,,,NONE,NO_PERMIT_VALUE,0,,NOT_COMPARED,NO_CURRENT_PERMIT_VALUE_FOUND,No source in this pass has current permit values.,OK,LIVE_AND_DATABASE,DATABASE_ONLY,XLSX_PERMIT_ROWS_REPAIRED_MATCH_PASTED_SOURCE,NO_QUOTA_PUBLISHED,true_no_permit_value,,0,,,,No current permit value found in the compared sources.,true_no_permit_value,false,RESOLVED_BY_EXACT_CODE_HISTORY_CROSSWALK,,,,CURRENT_HISTORICAL_EXACT_CODE_CROSSWALK,1,Exact-code historical continuity was confirmed; this row remains sourced through historical crosswalk evidence and is moved out of unresolved current-permit review.
